nuts,December Extreme Precipitation Days (days) ensemble median - RCP8.5 - (2071 - 2100)
DE50,1.3529933750629426
DE60,1.2946532840530078
DE71,1.3560632022718588
DE72,1.443364030122757
DE73,1.4202136032904187
DE80,1.3195999570190906
DE91,1.1792194694280624
BG41,0.7983550189683835
BG42,0.6536167641652042
CH01,1.036407052601377
AT32,1.0896401196718215
AT33,1.0082989253103734
AT34,1.0058870141704876
BE10,1.2911972944935164
BE23,1.3433081525067487
BE24,1.2719689264893532
BE25,1.3279703746239344
BE31,1.2995788196722666
BE32,1.2651132901332207
BE33,1.3630131259560585
BE34,1.3614400388052066
BE35,1.342088953529795
BG31,0.7488372625162204
BG32,0.7001287353963688
BG33,0.4947865245863795
BG34,0.625393197250863
DE92,1.3323870043802475
DE93,1.2132531091570855
DE94,1.3223577991127968
CZ07,1.0462005751828352
CZ08,1.0249178926150004
AL01,0.9457961574196816
AL02,0.7390128227571646
AL03,0.7535687679424882
AT11,0.9957054688284794
AT12,0.9515022662778695
AT13,0.9230222147086571
AT21,0.7696703425298135
AT22,1.0659545596068105
AT31,1.1032052968939146
DK05,1.6280708588659762
BE21,1.4510781932622194
BE22,1.4691725350916385
ES43,0.3633635897921132
ES51,0.3391754360248645
ES52,0.3298544388264418
ES53,0.5039297919720411
ES61,0.311767301398019
ES62,0.17712062001228332
ES63,0.4112748185793559
ES64,0.1
CH02,1.0339745707809924
CH03,1.0999841839075089
CH04,1.0623300515115262
CH05,1.010318407167991
CH06,0.9378146519263585
CH07,0.5840889809032281
CY00,0.42681980865697067
CZ01,0.7069938143094381
CZ02,0.8428135553995768
CZ03,1.0280893410245577
CZ04,0.9929817647983631
CZ05,1.0145767599344253
CZ06,1.0085677426308393
DE40,1.1542443816860517
EL53,0.7197055759529273
EL54,0.7361463052531083
EL61,0.702957325677077
EL62,0.9523391554752986
EL63,0.7395193205525478
ES70,0.15839430491129558
ITC1,0.5166964432845513
ITC2,0.7394909831384818
DE11,1.3578428556521733
DE12,1.5009161661068597
DE13,1.476527593533198
DE14,1.1321977064013482
DE21,1.1689667533440837
DE22,1.2897025547921657
DE23,1.272191303782165
DE24,1.2654426195969184
DE25,1.4232790840168794
DE26,1.3441707144180934
DE27,1.171282451471378
DE30,1.2111090473059951
EL42,0.66907742669185
LV00,1.5282692631085715
ME00,1.0143228699763616
MK00,0.8317245082308848
MT00,0.5082675879200299
NL11,1.4406398763259252
NL12,1.6169203321139018
EL64,0.667065475632747
EL65,0.5553299619505803
ES11,0.888094465780471
ES12,0.7851305366804202
ES13,0.7045153208076954
ES21,0.7672121725976467
ES22,0.6139517497892181
ES23,0.6804319351911545
ES24,0.45659832926145916
ES30,0.4396951672931512
IE05,1.4177622179190317
IE06,1.3045348924895128
IS00,1.5033223380645115
ITC3,0.5446706652641297
FI19,1.2155279897774258
FI1B,1.5782416328787803
FI1C,1.3992164140411962
DEA1,1.4415115987261136
DEA2,1.4028673191865286
DEA3,1.449461973139218
DEA4,1.3414782136678696
DEA5,1.3755320616066455
DEB1,1.261293678979079
DEB2,1.3577666677534581
DEB3,1.3707473759849866
DEC0,1.4008831110383784
DED2,1.0431309769550958
DED4,1.0960076112300157
DED5,1.0338902048766614
DEE0,1.0945150683323541
DEF0,1.3462265588343143
DEG0,1.2104572852452595
DK01,1.3662343299637238
DK02,1.3292300905411443
DK03,1.3359862727423508
DK04,1.3174195416271686
ES41,0.6118546423812707
ES42,0.4049519551436192
HU23,0.9256110648314159
HU31,0.8201273354391257
HU32,0.8209853719786874
HU33,1.0039777477582297
IE04,1.7320691217978796
EE00,1.4304161921143532
EL30,0.4303142836938302
EL41,0.7489865319182475
EL43,0.6111190839317339
EL51,0.5805207968999943
EL52,0.7346945825065004
FI20,1.3753361000368993
FR10,1.0267732337117195
FRB0,1.0269937105476856
FRC1,1.13655464562277
FRC2,1.4821709290146827
FRD1,1.2700804760058721
FRD2,1.1380206008024256
FRE1,1.4270895838737487
FRE2,1.3283063261459271
FRF1,1.4302584966023764
NL13,1.4299696177244186
NL21,1.327365163465341
NL22,1.3525928653776647
NL23,1.3433859646320343
NL31,1.30415498316288
NL32,1.556302595262726
ITG2,0.5397315343221029
ITH1,0.8320429583390554
ITH2,0.45700748910506567
FRI3,1.0292587428043285
FRJ1,0.45745549456526835
FRJ2,0.6105068551509508
FRK1,0.8740146726680299
FRK2,0.8607321192643472
FRL0,0.42600729167461393
FRM0,0.6884666322065252
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.6959056722000241
TR32,0.5145706019674738
TR33,0.57283145960035
HR03,0.9564095476064188
HR02,0.9656156641741593
HU11,0.9586691538492839
HU12,0.9604834952702125
HU21,1.0103597889343898
HU22,1.057591703099509
PT16,0.47190590044483544
PT17,0.41921648681163787
FRF2,1.2199650625033038
FRF3,1.4017698114427428
FRG0,0.9843261281959712
FRH0,1.4091488585389893
FRI1,0.8274530962109565
FRI2,1.062642767528693
ITC4,0.5068941860770185
ITF1,0.548294453509152
ITF2,0.6379464567949374
ITF3,0.7933073244988919
ITF4,0.6660663198679686
ITF5,0.5231178306043148
ITF6,0.6319909393787384
ITG1,0.5498921899745862
LT01,1.8711678101370732
LT02,1.708340804775556
LU00,1.353909826775392
PL22,1.1507962591432292
PL41,1.2598296135663987
PL42,1.329059933622678
PT18,0.36372717941800753
PT20,0.0
PT30,0.0
RO11,0.8680789982279141
RO12,0.8886381862064202
RO21,0.7508365279684465
RO22,0.551404608724018
RO31,0.761382707208395
RO32,0.8234197206795215
ITH3,0.4281223675236106
ITH4,0.5922464470068614
ITH5,0.5429547316084306
ITI1,0.7167027569996814
ITI2,0.7326142447690169
ITI3,0.5607065054188881
ITI4,0.7704048747646397
LI00,0.949960841735204
FI1D,1.4044309839872378
TR82,1.0629394594579935
TR83,0.8032096693913142
TR90,1.0223266906265556
TRA1,0.9845002422730128
TRA2,1.0509984041082447
PL43,1.1425669119382897
PL51,1.2422154001891612
PL52,1.1372324352463086
PL61,1.445220009006303
PL62,1.3019478535590072
PL63,1.183915308614572
PL71,1.2144345737372835
PL72,1.4275988593697548
PL81,1.4608010003964107
PL82,1.275049014389515
PL84,1.3850619594876965
PL91,1.2181868944317102
PL92,1.3642024954160055
PT11,0.6042845140521725
PT15,0.30335479229688644
TRB1,0.8938178871447842
TRB2,1.1173703834414481
TRC1,0.6518410677090287
RS12,0.9870402701199055
RS21,1.1564366253713767
RS22,0.9596981316804886
SE11,1.0703020292023817
SE12,0.9950976118445396
NL33,1.353608071555694
NL34,1.4725670407215754
NL41,1.4426606502383947
NL42,1.423957493422287
PL21,1.2144031089184613
UKM6,1.7526631891727447
TR22,0.8262590271110336
TRC2,0.7671056111032765
TRC3,0.6459520970781644
UKC1,1.0314166699846585
UKC2,1.058674178024133
UKD1,1.6460151260097822
UKD3,1.3364117021361988
UKD4,1.5054531921943028
UKD6,1.1292273504038652
UKD7,1.5324192735056081
UKE1,0.9394460481901964
UKE2,1.0158835291862487
UKE3,0.954331190387408
RO41,0.8896142778918147
RO42,0.8610069433162952
RS11,0.963989331573248
TR41,0.7994370937347413
TR42,1.0661978373924892
TR51,0.6785106001111368
TR52,0.524134969462951
TR61,0.48631002574131404
TR62,0.4860446971530716
TR63,0.591710922042174
TR71,0.6213135350495577
TR72,0.8157809521382053
TR81,1.2718225157466427
UKK1,1.13696032166481
UKK2,1.1846959009766578
UKK3,1.3108346104621886
UKK4,1.2615967041502396
UKL1,1.291419731080532
UKL2,1.1496848620474338
UKM5,1.1505842057367166
UKM7,1.349644544472297
UKM8,1.5614671225349108
UKM9,1.3358369228740534
UKN0,1.4061949466665586
SE21,1.4414648227393627
SE22,1.2508005376905202
SE23,1.3620756377776464
SE31,1.077799578383565
SE32,1.3280534317096075
SE33,1.3232085421681403
SI03,0.9265221623082955
SI04,0.8683869607746602
SK01,0.8966347101543631
SK02,0.9672238610941788
SK03,0.9896441949852581
SK04,1.0467462221781412
TR10,0.993927164748311
TR21,0.5859907458225886
UKE4,0.9892551998297373
UKF1,0.815324271346132
UKF2,0.8989123533169429
UKF3,0.9598349346468846
UKG1,0.9655831673492988
UKG2,0.9847832364340623
UKG3,0.9003477628032367
UKH1,1.116160320987304
UKH2,1.00252697194616
UKH3,1.2772056385874748
UKI3,1.1666666666666667
UKI4,1.1666666666666667
UKI5,1.1936123579740525
UKI6,1.3112021202842394
UKI7,1.1112538437048594
UKJ1,1.021929722900192
UKJ2,1.2452465616166593
UKJ3,1.2121145837008953
UKJ4,1.2568840883672237
NO09,1.329040967921416
NO0A,1.7798469573259355
NO0B,2.04564498513937
HR05,0.8941408038139343
HR06,0.9228060824175676
NO02,1.2546003580093383
NO06,1.5665709699193637
NO07,1.2571091300674848
NO08,1.1715985614185531
