nuts,July Days With High Fire Danger (days) ensemble median - RCP8.5 - (2011 - 2040)
DE50,0.4278953954577446
DE60,0.7734825412432352
DE71,0.998998404170076
DE72,0.4335609428584576
DE73,0.39777099192142484
DE80,0.8195431292057037
DE91,0.8862528192500273
BG41,1.5733050553749004
BG42,5.675677489768714
CH01,0.04179756318529447
AT32,0.0034329804281393685
AT33,0.0017650829007228215
AT34,0.0017427766074736913
BE10,0.7000879923502604
BE23,0.48351758321126304
BE24,0.5533536329865456
BE25,0.4432982365290324
BE31,0.5743119180202484
BE32,0.5068430579577883
BE33,0.3301831861337026
BE34,0.33106413582960764
BE35,0.2868795736382405
BG31,5.607946803172429
BG32,3.675259693960349
BG33,4.092040136704842
BG34,5.433650370438894
DE92,0.5682849312822024
DE93,0.7577827990986407
DE94,0.48022333017239965
CZ07,0.4445148319005966
CZ08,0.2381677284836769
AL01,2.500155283262332
AL02,8.945658191045124
AL03,10.907974382241568
AT11,1.4000000264495611
AT12,0.8577230001799763
AT13,2.211324827869733
AT21,0.0037276461720466615
AT22,0.013948980594674747
AT31,0.06444480021794637
DK05,0.5800234722594421
BE21,0.6495107584943374
BE22,0.5675654395172993
ES43,27.416712538401285
ES51,9.039756441116333
ES52,21.096313381195067
ES53,11.507211317618689
ES61,27.611826388041177
ES62,27.589112854003908
ES63,0.0
ES64,0.0
CH02,0.14449618856112162
CH03,0.23458113769690195
CH04,0.15704736908276876
CH05,0.0277284840742747
CH06,0.03445937670767307
CH07,0.005929698050022125
CY00,28.68602771759033
CZ01,0.7534672846396764
CZ02,0.778556780392925
CZ03,0.3424357286033531
CZ04,0.7547776617730657
CZ05,0.46599638008822997
CZ06,0.8464796370826662
DE40,1.353861319180578
EL53,10.43613596757253
EL54,10.483839052915574
EL61,13.457980918884278
EL62,0.0
EL63,17.360624758402505
ES70,0.0
ITC1,1.1443356518633663
ITC2,0.09587058226267496
DE11,0.6186369650065899
DE12,0.7605329837650061
DE13,0.488811623180906
DE14,0.1682750346759955
DE21,0.1391860251625379
DE22,0.25088643984248243
DE23,0.5396705099691947
DE24,0.6072860571866234
DE25,0.7800215660904845
DE26,0.6754039807866017
DE27,0.1928490072488785
DE30,1.6461090445518494
EL42,17.8
LV00,0.39303538352251055
ME00,0.9568121251960595
MK00,7.899132769306501
MT00,0.0
NL11,0.3795125623544057
NL12,0.30011292845010756
EL64,18.627792835235596
EL65,22.952272574106853
ES11,2.1044152937829494
ES12,0.09539994994799296
ES13,0.29544310867786405
ES21,0.7884037482241789
ES22,7.3927570899327595
ES23,7.094089101751646
ES24,16.360617860158285
ES30,23.860898542404176
IE05,0.1613548239072164
IE06,0.17956145082910854
IS00,0.04671572340497126
ITC3,0.6241441294550896
FI19,0.36093684534231824
FI1B,0.6261737897992135
FI1C,0.504135226799796
DEA1,0.5223338921864827
DEA2,0.4489260816946626
DEA3,0.5045846331864595
DEA4,0.44167897533625367
DEA5,0.39528658681859574
DEB1,0.7129547137146195
DEB2,0.7338509743412336
DEB3,1.433822640652458
DEC0,1.1169743458429973
DED2,0.7154520100603501
DED4,0.4259836241602898
DED5,0.9950428679585457
DEE0,1.2975317776203155
DEF0,0.5721427279214064
DEG0,0.5636248517781496
DK01,0.9055441513657569
DK02,0.689717834442854
DK03,0.6229790337383747
DK04,0.625759050808847
ES41,14.19042633374532
ES42,26.272972043355306
HU23,2.4543478075414895
HU31,3.181226256241401
HU32,4.234917403260867
HU33,4.717854395074149
IE04,0.06702355692783991
EE00,0.32208373852384586
EL30,27.702049763997397
EL41,28.916666666666668
EL43,27.004643630981445
EL51,9.865397624174754
EL52,9.406659992535909
FI20,0.23333333333333334
FR10,1.488924208159248
FRB0,2.1171568566312393
FRC1,1.410490192162494
FRC2,1.3268815360963344
FRD1,0.804470564921697
FRD2,0.90135026636223
FRE1,0.5783785595248143
FRE2,0.9362603968009353
FRF1,1.1780056760956843
NL13,0.4734772185484568
NL21,0.5329198719312748
NL22,0.7584388559684158
NL23,0.5154748273392519
NL31,0.7251072744528453
NL32,0.4302253792683283
ITG2,22.487914768854775
ITH1,0.002901349092523257
ITH2,0.005605427175760269
FRI3,2.322243514160315
FRJ1,9.094883026679357
FRJ2,1.6365394049013655
FRK1,1.1189694085003188
FRK2,2.10581345508496
FRL0,9.292946378389994
FRM0,6.606950796147188
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,28.561073557535806
TR32,28.060478909810385
TR33,24.649141184488933
HR03,3.805066554248333
HR02,1.4007517859960597
HU11,3.788081929087639
HU12,4.2577665810783705
HU21,3.4995257603625456
HU22,2.4406542596717675
PT16,18.511602862675986
PT17,22.559586509068808
FRF2,1.386061343488594
FRF3,1.2026819113641978
FRG0,1.7913602706044913
FRH0,0.608535350424548
FRI1,1.468410564151903
FRI2,0.873965062511464
ITC4,1.0454588500161965
ITF1,4.755771925052007
ITF2,10.2969735622406
ITF3,11.938094028830529
ITF4,21.871522744496662
ITF5,18.251489782333373
ITF6,8.675491058826447
ITG1,23.969912433624266
LT01,0.43436777194341025
LT02,0.4441291014353434
LU00,0.557553897301356
PL22,0.4771536000072956
PL41,1.2377586436768373
PL42,1.0819143573443095
PT18,27.00347681045532
PT20,0.0
PT30,0.0
RO11,0.5216549014362196
RO12,0.0742163592328628
RO21,1.3149495880740385
RO22,4.958262224992116
RO31,2.9935743073622385
RO32,1.643639834970236
ITH3,0.4033558694024881
ITH4,0.043370169152816135
ITH5,3.998115515212218
ITI1,6.709863515694936
ITI2,10.762976356347401
