nuts,Summer Days With High Fire Danger (days) ensemble median - RCP8.5 - (2011 - 2040)
DE50,1.1291338103512922
DE60,1.9037423193454743
DE71,2.5904362398510177
DE72,0.9572908721243342
DE73,0.8251546758537491
DE80,2.347900924148659
DE91,1.8997984411815803
BG41,3.202470531066259
BG42,13.992097409566243
CH01,0.057841635992129645
AT32,0.009702853113412856
AT33,0.009637786696354548
AT34,0.013970852891604105
BE10,1.7833993275960287
BE23,1.7091446050753196
BE24,1.5568589632709822
BE25,1.7972262906531493
BE31,1.5385153551896413
BE32,1.7999130601063371
BE33,0.7892928125957648
BE34,1.071351205309232
BE35,1.022484091296792
BG31,10.667592457930247
BG32,8.104860041538874
BG33,9.563949000338713
BG34,12.897723094622295
DE92,1.6523823959752917
DE93,2.0348622048894565
DE94,1.5267935359229645
CZ07,1.4790004751334587
CZ08,0.6323733409866691
AL01,5.265466722349326
AL02,18.46117545465628
AL03,23.142146348953247
AT11,4.056988396743933
AT12,2.679427947445462
AT13,6.400374069809914
AT21,0.011757257332404455
AT22,0.059364927311738334
AT31,0.1918990593093137
DK05,1.3127844986816248
BE21,1.6734276035179694
BE22,1.2856212155272564
ES43,70.77063471476237
ES51,19.310087585449217
ES52,49.54648628234863
ES53,28.52605832417806
ES61,71.3894204457601
ES62,72.2510336558024
ES63,0.0
ES64,0.0
CH02,0.2675612242271503
CH03,0.5235204706589381
CH04,0.40952484086155894
CH05,0.0706609409302473
CH06,0.06150936931371689
CH07,0.01185939610004425
CY00,82.27882410685221
CZ01,2.319203277428945
CZ02,2.319145224181314
CZ03,0.8268382821232081
CZ04,2.102104980746905
CZ05,1.6513845071817437
CZ06,2.6622414256756506
DE40,3.2110704968372983
EL53,24.550277868906658
EL54,22.998637501398722
EL61,30.448652712504067
EL62,0.0
EL63,46.05922323862712
ES70,0.0
ITC1,2.3919285129755736
ITC2,0.20179707184433937
DE11,1.5976905510450403
DE12,2.0780448825409015
DE13,1.004193055195113
DE14,0.44637719249973695
DE21,0.3405880434128145
DE22,0.6364157532652219
DE23,1.362315484508872
DE24,1.712393828978141
DE25,2.022380489980181
DE26,1.817687196781238
DE27,0.49408288337290285
DE30,4.046074201663335
EL42,45.266666666666666
LV00,0.9078864599267642
ME00,2.4518201500798265
MK00,17.789414087931316
MT00,0.0
NL11,0.74134155412515
NL12,0.5379717921217283
EL64,48.951871681213376
EL65,62.30033226013184
ES11,6.2583011547724405
ES12,0.3718929968774319
ES13,0.8724621171752612
ES21,2.3435271432002387
ES22,18.08539775212606
ES23,17.475282446543375
ES24,37.83951133092244
ES30,59.39970537821452
IE05,0.3889477384587129
IE06,0.43019155859947206
IS00,0.14389108108201373
ITC3,1.1542830156783264
FI19,0.636464430578053
FI1B,1.2499154363448421
FI1C,1.1045334863786895
DEA1,1.1518526556591193
DEA2,1.0286695895716549
DEA3,1.5643568072468041
DEA4,1.2577158418794474
DEA5,0.8175286248947183
DEB1,1.4331400740891695
DEB2,1.5199346974492074
DEB3,2.926415003898243
DEC0,2.2213212635368107
DED2,1.8773793568834662
DED4,1.1975641906261445
DED5,2.9272885819276175
DEE0,2.9280638546372453
DEF0,1.5151525052885215
DEG0,1.3877257001275818
DK01,2.316123625636101
DK02,1.5615363476177058
DK03,1.4739519500484068
DK04,1.2880531838784615
ES41,35.21959171295166
ES42,65.36097030639648
HU23,6.087455979858835
HU31,7.28813090796272
HU32,9.837531607970595
HU33,10.61044967789203
IE04,0.17479087753842273
EE00,0.7510958519764245
EL30,77.36233851114909
