nuts,Annual Days With High Fire Danger (days) ensemble median - RCP8.5 - (2011 - 2040)
DE50,1.4565393942097822
DE60,2.340061893314123
DE71,3.3802061264713603
DE72,1.35842459294945
DE73,1.2889117097482086
DE80,2.854719716776162
DE91,2.505625686546167
BG41,4.285854371388753
BG42,20.247075748443603
CH01,0.08440119363367557
AT32,0.028354798381527265
AT33,0.02451498064522942
AT34,0.027994751557707788
BE10,2.4831793467203775
BE23,2.4051520084341367
BE24,2.2800898081312577
BE25,2.505703158179919
BE31,1.9976175206402937
BE32,2.4397491215417784
BE33,1.186752076074481
BE34,1.3106977048019568
BE35,1.5306895251075427
BG31,15.34085817337036
BG32,11.946699567635854
BG33,13.968814301490784
BG34,18.237216186523437
DE92,2.0698260312279064
DE93,2.888838210205237
DE94,1.9640677680571874
CZ07,1.9050727551802993
CZ08,0.8947443038846056
AL01,6.3310504587988055
AL02,22.45225731531779
AL03,26.869550514221192
AT11,5.026709618171056
AT12,3.244596434539805
AT13,7.3557292809089025
AT21,0.015493312602241833
AT22,0.09362883865833282
AT31,0.32073034436131515
DK05,1.5826521982749304
BE21,2.4188328811277944
BE22,1.9201666456957658
ES43,104.28145662943523
ES51,29.042985852559408
ES52,78.34017550150553
ES53,35.62073040008545
ES61,109.55199406941732
ES62,116.89067052205404
ES63,0.0
ES64,0.0
CH02,0.30647104382514956
CH03,0.5977198163668315
CH04,0.44996409490704536
CH05,0.07909488615890344
CH06,0.0873795526723067
CH07,0.0217157947520415
CY00,142.47982991536458
CZ01,3.2433019250631334
CZ02,3.305741490175327
CZ03,1.1721907516320547
CZ04,2.8469598308205604
CZ05,2.262949304531018
CZ06,3.414645363452534
DE40,4.505879163742065
EL53,29.44295425415039
EL54,27.590285062789917
EL61,38.84374917348226
EL62,0.0
EL63,55.198707326253256
ES70,0.0
ITC1,2.678180357441306
ITC2,0.23087639038761457
DE11,2.0905896753072737
DE12,2.5140289394184947
DE13,1.2312764753897985
DE14,0.5626624482373397
DE21,0.5229791924978296
DE22,1.0319882567661505
DE23,1.7510816817482313
DE24,2.331366387071709
DE25,2.5996466918538013
DE26,2.3796835277229547
DE27,0.6466077834367752
DE30,5.524921541412671
EL42,76.2
LV00,1.0976645015645772
ME00,3.1106041851763924
MK00,22.522717253367105
MT00,0.0
NL11,1.1799671570460002
NL12,0.8877726969619592
EL64,63.90511131286621
EL65,80.6864252726237
ES11,10.175423447291056
ES12,0.7505571163569887
ES13,1.834128908564647
ES21,4.305381587147712
ES22,26.818419965108237
ES23,24.55358584721883
ES24,59.284823989868165
ES30,83.94259554545084
IE05,0.56601342059051
IE06,0.6109494129195809
IS00,0.17024366010446101
ITC3,1.3219289280474187
FI19,0.7970720146549866
FI1B,1.412700724353393
FI1C,1.1796145941441258
DEA1,1.767391679311792
DEA2,1.6032409982134899
DEA3,2.1755786115924516
DEA4,1.601141785643995
DEA5,1.2951586440205574
DEB1,2.3293870511775214
DEB2,2.245623084406058
DEB3,4.032878785083692
DEC0,2.8432911208520335
DED2,2.455690935626626
DED4,1.7716603275388478
DED5,4.374405211458604
DEE0,4.009214345738291
DEF0,2.0109652419885
DEG0,2.162641018380721
DK01,3.1273874804377555
DK02,2.0920972492545844
DK03,1.6952635701124867
DK04,1.3946107922742763
ES41,51.60958061218262
ES42,96.86881014506022
HU23,7.755598030487696
HU31,10.595636399586995
HU32,13.236172889669737
HU33,13.677751437822979
IE04,0.3034995594993234
EE00,0.7894447559956461
EL30,121.77270787556967
EL41,98.6
EL43,123.79389902750651
EL51,38.219480450948076
EL52,26.248853747049967
FI20,0.9
FR10,5.544833402397732
FRB0,7.106642130048325
FRC1,3.9401286012182632
FRC2,3.620929471279184
FRD1,2.600034908329447
FRD2,3.131514270603657
FRE1,2.798127169162035
FRE2,3.5610877915595966
FRF1,2.7633129684254527
NL13,1.7817495713631313
NL21,2.1154180347919462
NL22,2.3317024481793243
NL23,1.8570279777050018
NL31,1.8612133090694745
NL32,1.2394316206375757
ITG2,67.85983378092448
ITH1,0.03338126571228107
ITH2,0.03532619612912337
FRI3,8.506418206294377
FRJ1,25.848052390416463
FRJ2,5.258030893901984
FRK1,3.673201023042202
FRK2,5.46710956171155
FRL0,26.499308649698893
FRM0,16.36917759577433
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,108.18398577372233
TR32,118.57412821451823
TR33,102.60989125569661
HR03,9.83272404273351
HR02,4.541010589897633
HU11,12.034836479524772
HU12,13.035272181034088
HU21,10.511174897352854
HU22,8.303723699847858
PT16,68.83531506856282
PT17,78.70670331319174
FRF2,4.000598278719311
FRF3,3.2426940321922304
FRG0,7.150370200226704
FRH0,3.5472365751862527
FRI1,5.364837759298583
FRI2,3.4614511435230573
ITC4,3.267407029370467
ITF1,11.822675001621246
ITF2,27.87429402669271
ITF3,31.901522986094157
ITF4,67.78447608947754
ITF5,53.63039442698161
ITF6,23.022356494267783
ITG1,75.81638577779134
