nuts,Spring Days With High Fire Danger (days) (1981 - 2010)
DE50,0.00478971004486084
DE60,0.0
DE71,0.13009350647528967
DE72,0.08491459687550863
DE73,0.04922944704691569
DE80,0.09103243875627716
DE91,0.07295254568258921
BG41,0.018133963892857232
BG42,0.23779930248856546
CH01,0.0
AT32,0.0
AT33,0.0
AT34,0.0
BE10,0.15822157164414724
BE23,0.13334738487998646
BE24,0.1637771397829056
BE25,0.06670529966553053
BE31,0.11663341522216797
BE32,0.05425033171971639
BE33,0.04495635430018107
BE34,0.015066744883855183
BE35,0.04183119535446167
BG31,1.1316867550214131
BG32,0.9164194987465938
BG33,0.43071067531903584
BG34,0.2119666600599885
DE92,0.06832255646586419
DE93,0.12819643840193748
DE94,0.1341521006077528
CZ07,0.11751657159378132
CZ08,0.02062138666709264
AL01,0.0
AL02,0.2284803488602241
AL03,0.22661772010227044
AT11,0.4325463076432546
AT12,0.3757990773767233
AT13,0.5495943913857142
AT21,0.0
AT22,0.004793572301665942
AT31,0.024057608842849732
DK05,0.03613031307856242
BE21,0.25219238152106604
BE22,0.16915791779756545
ES43,7.298210669184725
ES51,3.7796567370494207
ES52,10.234729539354642
ES53,1.820806685835123
ES61,8.74853276113669
ES62,19.938499724368253
ES63,1.4876376628875732
ES64,11.5
CH02,0.0
CH03,0.0
CH04,0.0
CH05,0.0
CH06,0.0
CH07,0.04581587637464205
CY00,7.726378226280213
CZ01,0.5389350483814875
CZ02,0.45151709715525307
CZ03,0.04758365489542484
CZ04,0.40893236274520556
CZ05,0.21924555332710347
CZ06,0.48501648344099524
DE40,0.4750577948366602
EL53,0.16811764178176722
EL54,0.0358578659594059
EL61,0.6006701276948054
EL62,0.06391103280087312
EL63,0.4964258620515466
ES70,12.688787110646565
ITC1,0.10628918493166566
ITC2,0.006694502631823222
DE11,0.07006294609357913
DE12,0.06653056070208549
DE13,0.016002204020818075
DE14,0.015459027886390687
DE21,0.02308401813109716
DE22,0.07325376806159814
DE23,0.08069841420898835
DE24,0.14395269354184467
DE25,0.1294151283800602
DE26,0.12241694927215577
DE27,0.023696011304855345
DE30,0.654285259048144
EL42,1.506617197394371
LV00,0.1601534959860146
ME00,0.0
MK00,0.3581080983703335
MT00,0.8999211097757022
NL11,0.029049379626909892
NL12,0.022386446595191956
EL64,3.510255550282697
EL65,2.5211597409720223
ES11,0.13230837468678752
ES12,0.005726832461853822
ES13,0.011191080013910929
ES21,0.009403614203135173
ES22,2.044879149397214
ES23,1.0620493854085604
ES24,8.144773868719737
ES30,5.143535615503788
IE05,0.0
IE06,0.0
IS00,0.0
ITC3,0.04117884586254756
FI19,0.007978714102258285
FI1B,0.09606742486357689
FI1C,0.04810859967644016
DEA1,0.28073979665835697
DEA2,0.11385393043359121
DEA3,0.3585246384143829
DEA4,0.107282093167305
DEA5,0.1360820546746254
DEB1,0.06854093770186107
DEB2,0.02595591942469279
DEB3,0.1068332636108001
DEC0,0.0693812370300293
DED2,0.21713660210371016
DED4,0.09199604913592338
DED5,0.4073325676222642
DEE0,0.3742987198755145
DEF0,0.012151372556885084
DEG0,0.11930265178283056
DK01,0.04884751339753469
DK02,0.011291432566940785
DK03,0.030710526431600254
DK04,0.04192855954170227
ES41,2.605048589160045
ES42,8.48388487038513
HU23,0.6773775314291318
HU31,1.8907691720873117
HU32,1.915499246927599
HU33,1.5778043503562609
IE04,0.0
EE00,0.10463610446701448
EL30,7.006525016327699
EL41,1.9489040601998568
EL43,7.935362958908081
EL51,0.6225912277897199
EL52,0.35210524033755064
FI20,0.0
FR10,0.06682322807610035
FRB0,0.13693321496248245
FRC1,0.01993768208970626
FRC2,0.0026699344938000045
FRD1,0.01428359809021155
FRD2,0.04124585787455241
FRE1,0.02787680278221766
FRE2,0.03278516568243504
FRF1,0.04841718276341756
NL13,0.1422392323613167
NL21,0.36719037691752116
NL22,0.36775264541308084
NL23,0.26213659544785817
NL31,0.325
NL32,0.09701208273569743
ITG2,2.108470353980859
ITH1,0.0
ITH2,0.0
FRI3,0.38945885890473925
FRJ1,1.5527893483638764
FRJ2,0.09457302900652091
FRK1,0.03605244324232141
FRK2,0.1731188978999853
FRL0,1.9685147130240996
FRM0,0.4067700078090032
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,3.2617387851079305
TR32,4.254780450463295
TR33,3.8338935332993667
HR03,0.0440244872123003
HR02,0.3705932071432471
HU11,1.8427531590064368
HU12,1.7831023304412763
HU21,0.9505765045682589
HU22,0.6619954953591028
PT16,2.9037511184811593
PT17,2.9599488218625387
FRF2,0.025667277288933595
FRF3,0.041660135984420775
FRG0,0.18576415224621692
FRH0,0.04871614873409271
FRI1,0.207835084417214
FRI2,0.16189523140589396
ITC4,0.2959304793427388
ITF1,0.024344464391469957
ITF2,0.36658492845793567
ITF3,0.09573015222946803
ITF4,1.8835065312683583
ITF5,1.2980496356884639
ITF6,0.42924542414645356
ITG1,3.2209408250947793
LT01,0.10622924317916234
LT02,0.1483478290339311
LU00,0.01803632577260335
PL22,0.18908005598932504
PL41,0.568130587755392
PL42,0.22604939670612414
PT18,7.768866063902776
PT20,0.0
PT30,0.37943238615989683
RO11,0.2835071881922583
RO12,0.02425688582782944
RO21,0.6813937105238438
RO22,1.5884447803720831
RO31,1.5291483553747336
RO32,1.6277236531178156
ITH3,0.0911170745268464
ITH4,0.010378349820772808
ITH5,0.44386536118884884
ITI1,0.11431020734210809
ITI2,0.23371648465593656
ITI3,0.07995503526180983
ITI4,0.14468002102027336
LI00,0.0
FI1D,0.0006098882217581074
TR82,0.9043743544568618
