nuts,March Days With High Fire Danger (days) ensemble median - RCP8.5 - (2011 - 2040)
DE50,0.0
DE60,0.0
DE71,0.0
DE72,0.0
DE73,0.0
DE80,0.0
DE91,0.0
BG41,0.0027979118128617603
BG42,0.004486333268384139
CH01,0.0
AT32,0.0
AT33,0.0004351645397643248
AT34,0.0
BE10,0.0
BE23,0.0
BE24,0.0
BE25,0.0
BE31,0.0
BE32,0.0
BE33,0.0
BE34,0.0
BE35,0.0
BG31,0.04831038632740577
BG32,0.0063593551516532894
BG33,0.007238442202409109
BG34,0.0030106269754469396
DE92,0.0
DE93,0.0
DE94,0.0
CZ07,0.0
CZ08,0.0
AL01,0.0006548435737689336
AL02,0.01157491554816564
AL03,0.011543790561457474
AT11,0.0
AT12,0.0
AT13,0.0
AT21,0.0
AT22,0.0
AT31,0.0
DK05,0.0
BE21,0.0
BE22,0.0
ES43,1.5613218577578665
ES51,0.9595210243326923
ES52,2.719116385281086
ES53,0.41115485578775407
ES61,1.9966264789303143
ES62,3.611311028897762
ES63,0.0
ES64,0.0
CH02,0.0
CH03,0.0
CH04,0.0
CH05,0.0
CH06,0.0
CH07,0.0
CY00,0.7939829419056574
CZ01,0.0
CZ02,0.0
CZ03,0.0
CZ04,0.0
CZ05,0.0
CZ06,0.0
DE40,0.0
EL53,0.008148079365491867
EL54,0.004065002004305522
EL61,0.009895427152514458
EL62,0.0
EL63,0.005526794741551082
ES70,0.0
ITC1,0.010658920587350925
ITC2,0.0
DE11,0.0
DE12,0.0
DE13,0.000619693472981453
DE14,0.0
DE21,0.00035060541704297067
DE22,0.0
DE23,0.0
DE24,0.0
DE25,0.0
DE26,0.0
DE27,0.0
DE30,0.0
EL42,0.03333333333333333
LV00,0.0
ME00,0.0
MK00,0.019549089235564074
MT00,0.0
NL11,0.0
NL12,0.0
EL64,0.05939939469099045
EL65,0.034187917783856395
ES11,0.012777497712522744
ES12,0.009540969878435135
ES13,0.013877940426270167
ES21,0.03548610657453537
ES22,0.3624843689302603
ES23,0.26607133882741135
ES24,1.946654915312926
ES30,0.9087227674822013
IE05,0.0
IE06,0.0
IS00,0.0
ITC3,0.012510581562916437
FI19,0.0
FI1B,0.0
FI1C,0.0
DEA1,0.0
DEA2,0.0
DEA3,0.0
DEA4,0.0
DEA5,0.0
DEB1,0.0
DEB2,0.0
DEB3,0.0
DEC0,0.0
DED2,0.0
DED4,0.0
DED5,0.0
DEE0,0.0
DEF0,0.0
DEG0,0.0
DK01,0.0
DK02,0.0
DK03,0.0
DK04,0.0
ES41,0.45799812604673207
ES42,1.7310084238648415
HU23,0.0
HU31,0.004930042227109273
HU32,0.0034345110257466634
HU33,0.007311676442623138
IE04,0.0
EE00,0.0
EL30,0.3219103808204333
EL41,0.016666666666666666
EL43,0.7336286949614684
EL51,0.009070531527201334
EL52,0.008490586901704471
FI20,0.0
FR10,0.0
FRB0,0.0
FRC1,0.0
FRC2,0.0004031333141028881
FRD1,0.0
FRD2,0.0
FRE1,0.0
FRE2,0.0
FRF1,0.0
NL13,0.0
NL21,0.0
NL22,0.0
NL23,0.0
NL31,0.0
NL32,0.0
ITG2,0.3069560748214523
ITH1,0.0
ITH2,0.0009201088920235634
FRI3,0.006422002613544464
FRJ1,0.2341396387045582
FRJ2,0.04971646536141634
FRK1,0.014786606840789317
FRK2,0.008972243902583917
FRL0,0.2518532716979583
FRM0,0.04288505638639132
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.002553057422240575
TR32,0.07630812202890715
TR33,0.06908552205810944
HR03,0.002493823350717624
HR02,0.00474129244685173
HU11,0.0
HU12,0.0
HU21,0.0
HU22,0.0
PT16,0.757394290001442
PT17,1.1928704172372817
FRF2,0.0
FRF3,0.0
FRG0,0.0007093340158462524
FRH0,0.0
FRI1,0.036783742780486746
FRI2,0.005118211607138315
ITC4,0.013822200614959002
ITF1,0.0013916657616694769
ITF2,0.007403761396805445
ITF3,0.007827380299568176
ITF4,0.10366884799053272
ITF5,0.03103223362316688
ITF6,0.014602087624371051
ITG1,0.21525276123235623
LT01,0.0
LT02,0.0
LU00,0.0
PL22,0.0
PL41,0.0
PL42,0.0
PT18,2.136446035032471
PT20,0.0
PT30,0.0
RO11,0.0
RO12,0.0008328568655997515
RO21,0.0025747279326121014
RO22,0.017665278088922303
RO31,0.01622944020976623
RO32,0.0
ITH3,0.00498987299700578
ITH4,0.0
ITH5,0.023752662943055232
ITI1,0.005315307776133219
ITI2,0.004447851578394572
ITI3,0.001812936117251714
ITI4,0.003341883203635613
LI00,0.0
FI1D,0.0
TR82,0.0183878170636793
TR83,0.03952914383262396
TR90,0.000505395947645108
TRA1,0.0009878089341024557
TRA2,0.0
PL43,0.0
PL51,0.0
PL52,0.0
PL61,0.0
PL62,0.0
PL63,0.0
PL71,0.0
PL72,0.0
PL81,0.0
PL82,0.0
PL84,0.0
PL91,0.0
PL92,0.0
PT11,0.09313867849608262
PT15,2.4923681865135827
TRB1,0.014793982030823827
TRB2,0.0
TRC1,0.14598307572305202
RS12,0.03792552783464392
RS21,0.0019218713666001956
RS22,0.007930828522269924
SE11,0.0
SE12,0.0045080567244440315
NL33,0.0
NL34,0.0
NL41,0.0
NL42,0.0
PL21,0.0
UKM6,0.0
TR22,0.01888286614169677
TRC2,0.4496859171272566
TRC3,0.3577673905839523
UKC1,0.0
UKC2,0.0
UKD1,0.0
UKD3,0.0
UKD4,0.0
UKD6,0.0
UKD7,0.0
UKE1,0.0
UKE2,0.0
UKE3,0.0
RO41,0.04249499994330108
RO42,0.0069697896639506025
RS11,0.015304580330848694
TR41,0.0738760184807082
TR42,0.004781416058540345
TR51,0.16543381238977115
TR52,0.6934169326132784
TR61,0.041810448405643304
TR62,0.04931098107869426
TR63,0.04055571419497331
TR71,0.41243653117368617
TR72,0.13800069441397986
TR81,0.0
UKK1,0.0
UKK2,0.0
UKK3,0.0
UKK4,0.0
UKL1,0.0
UKL2,0.0
UKM5,0.0
UKM7,0.0
UKM8,0.0
UKM9,0.0
UKN0,0.0
SE21,0.0016691211611032486
SE22,0.0
SE23,0.00024019229846696059
SE31,0.0030973071853319803
SE32,0.0
SE33,0.0
SI03,0.0004517123724023501
SI04,0.0007366289695103964
SK01,0.0
SK02,0.0012003641575574874
SK03,0.0
SK04,0.00040636317183574043
TR10,0.0020821160326401395
TR21,0.012610083073377609
UKE4,0.0
UKF1,0.0
UKF2,0.0
UKF3,0.0
UKG1,0.0
UKG2,0.0
UKG3,0.0
UKH1,0.0
UKH2,0.0
UKH3,0.0
UKI3,0.0
UKI4,0.0
UKI5,0.0
UKI6,0.0
UKI7,0.0
UKJ1,0.0
UKJ2,0.0
UKJ3,0.0
UKJ4,0.0
NO09,0.001370836297671
NO0A,0.0
NO0B,0.0
HR05,0.0
HR06,0.0
NO02,0.00010680162037412326
NO06,0.0
NO07,0.0
NO08,0.0004311940011878808
