nuts,May Days With High Fire Danger (days) (1981 - 2010)
DE50,0.00478971004486084
DE60,0.0
DE71,0.11445568352937699
DE72,0.08491459687550863
DE73,0.04922944704691569
DE80,0.0906080755405128
DE91,0.07295254568258921
BG41,0.012118284155925115
BG42,0.19805252104997634
CH01,0.0
AT32,0.0
AT33,0.0
AT34,0.0
BE10,0.11662196318308513
BE23,0.09747536182403564
BE24,0.12771817843119304
BE25,0.054805044333140054
BE31,0.10415835380554199
BE32,0.05425033171971639
BE33,0.04300534725189209
BE34,0.015066744883855183
BE35,0.03835837046305338
BG31,0.8023869027694066
BG32,0.7771555676435431
BG33,0.3725004899005095
BG34,0.16868970685948928
DE92,0.059278926750024157
DE93,0.1275400680800279
DE94,0.10225827010969321
CZ07,0.1034956078355511
CZ08,0.012687557935714721
AL01,0.0
AL02,0.17832150521377724
AL03,0.17871262468397617
AT11,0.38552084267139436
AT12,0.30483193260927993
AT13,0.4663421799739202
AT21,0.0
AT22,0.004793572301665942
AT31,0.024057608842849732
DK05,0.03613031307856242
BE21,0.1689560666680336
BE22,0.1387045457959175
ES43,4.745783156777422
ES51,1.6829414620995522
ES52,4.4966166283935305
ES53,0.8977155593534311
ES61,5.497248005121946
ES62,9.573516922692457
ES63,1.1545849859714508
ES64,7.133333333333334
CH02,0.0
CH03,0.0
CH04,0.0
CH05,0.0
CH06,0.0
CH07,0.02138714219133059
CY00,5.826293015480042
CZ01,0.405949729681015
CZ02,0.36355914138257506
CZ03,0.039727467795213064
CZ04,0.3226046865185102
CZ05,0.19206165224313737
CZ06,0.38748285931845505
DE40,0.4260180465256174
EL53,0.1492086841414372
EL54,0.0358578659594059
EL61,0.5456209725389878
EL62,0.049510893722375236
EL63,0.4540464557086428
ES70,5.450924881299337
ITC1,0.053226477621744074
ITC2,0.0
DE11,0.06131271918614705
DE12,0.0628669261932373
DE13,0.016002204020818075
DE14,0.015459027886390687
DE21,0.02308401813109716
DE22,0.07140342419346174
DE23,0.07511383996655543
DE24,0.11744917233784993
DE25,0.10599125797549884
DE26,0.10847097138563792
DE27,0.02285661498705546
DE30,0.5667616049448649
EL42,1.0851947954545418
LV00,0.1601534959860146
ME00,0.0
MK00,0.3206347511460384
MT00,0.7999211102724075
NL11,0.02455837701757749
NL12,0.015378085523843765
EL64,2.8190192875141897
EL65,2.180392867513001
ES11,0.029746203714360795
ES12,0.0
ES13,0.011191080013910929
ES21,0.001345684751868248
ES22,1.1247561181584993
ES23,0.5748670354485512
ES24,3.820913434649507
ES30,3.1000374600291254
IE05,0.0
IE06,0.0
IS00,0.0
ITC3,0.021903418004512787
FI19,0.007978714102258285
FI1B,0.09606742486357689
FI1C,0.04810859967644016
DEA1,0.22720748235781987
DEA2,0.09963734050591787
DEA3,0.28839309215545655
DEA4,0.08015463103850683
DEA5,0.1061543603738149
DEB1,0.06545079052448273
DEB2,0.02595591942469279
DEB3,0.09570805008212725
DEC0,0.06422597567240397
DED2,0.20385628640651704
DED4,0.08797639037171999
DED5,0.39077979351083436
DEE0,0.36542428365598123
DEF0,0.012151372556885084
DEG0,0.11215190241734187
DK01,0.04711137016614278
DK02,0.011291432566940785
DK03,0.029458629339933394
DK04,0.04192855954170227
ES41,1.6305358264750491
ES42,4.950200400253137
HU23,0.6028590758641561
HU31,1.4533667802810668
HU32,1.4854097495476404
HU33,1.3012394830584526
IE04,0.0
EE00,0.10463610446701448
EL30,5.456227758030097
EL41,1.6860375603040059
EL43,5.904188172022502
EL51,0.5721226532012225
EL52,0.30955396772672733
FI20,0.0
FR10,0.014501211419701576
FRB0,0.02035616139570872
FRC1,0.0023991122531394162
FRC2,0.0006690774733821551
FRD1,0.002486532429854075
FRD2,0.0
FRE1,0.02165022889773051
FRE2,0.0012149735043446223
FRF1,0.044028107325236
NL13,0.10876167168219884
NL21,0.294634081919988
NL22,0.29534950852394104
NL23,0.19536779820919037
NL31,0.25833333333333336
NL32,0.07649395068486532
ITG2,1.6573598951722184
ITH1,0.0
ITH2,0.0
FRI3,0.10834129167099794
FRJ1,0.7446960953374704
FRJ2,0.02055819674084584
FRK1,0.0009091781452298164
FRK2,0.06604225176076094
FRL0,1.1281377459565798
FRM0,0.29095132164657117
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,3.066303179661433
TR32,3.5677173480391504
TR33,3.008479392280181
HR03,0.03923225527008375
HR02,0.3308374112471938
HU11,1.3174568365017574
HU12,1.2743373194088539
HU21,0.7516238323102394
HU22,0.5651520361502965
PT16,1.9051716666668654
PT17,1.7475441344082356
FRF2,0.008777560790379842
FRF3,0.03511550376812617
FRG0,0.06339739343772331
FRH0,0.01872786780198415
FRI1,0.04240294964984059
FRI2,0.0014342586199442545
ITC4,0.13831832508246103
ITF1,0.022319742540518443
ITF2,0.32347474495569867
ITF3,0.09495971500873565
ITF4,1.564567211518685
ITF5,1.1481622762978076
ITF6,0.3758383252968391
ITG1,2.676901967450976
LT01,0.10622924317916234
LT02,0.14795258368055025
LU00,0.01803632577260335
PL22,0.11018873695284129
PL41,0.46539926674837867
PL42,0.2067600982884566
PT18,4.830143605669339
PT20,0.0
PT30,0.23301381667455037
RO11,0.22910844463234145
RO12,0.02165776469434301
RO21,0.6446742363274097
RO22,1.4196693592394392
RO31,1.3068123490860064
RO32,1.4975808292627335
ITH3,0.061162786868711315
ITH4,0.010378349820772808
ITH5,0.3537077122678359
ITI1,0.10748504210884373
ITI2,0.23371648465593656
ITI3,0.07995503526180983
ITI4,0.14468002102027336
LI00,0.0
FI1D,0.0006098882217581074
TR82,0.6791396077722311
