nuts,May Days With High Fire Danger (days) ensemble median - RCP8.5 - (2071 - 2100)
DE50,0.36960755861722505
DE60,0.4307959263141339
DE71,0.5859158016168154
DE72,0.2052888606603329
DE73,0.11686449985091503
DE80,0.27096306167256373
DE91,0.39882183031967056
BG41,0.6837754057577023
BG42,2.184434326795431
CH01,0.024176800480255715
AT32,0.02236854972747656
AT33,0.020298498396116953
AT34,0.040472631271068864
BE10,0.576872312105619
BE23,0.5415907639723557
BE24,0.3575516572365394
BE25,0.5746375540128121
BE31,0.26624118364774263
BE32,0.2628283388912678
BE33,0.2174078317788931
BE34,0.07694195554806636
BE35,0.18294511219629875
BG31,2.476432752150756
BG32,2.3553334463101168
BG33,1.881327545700165
BG34,2.084811994519371
DE92,0.2699323414036861
DE93,0.6446179640837587
DE94,0.6219033782298748
CZ07,0.39417106500611854
CZ08,0.13602788660388726
AL01,0.5187418403533789
AL02,2.3823440074920654
AL03,2.8422548381181865
AT11,0.6242264153865668
AT12,0.44417619318343127
AT13,0.7944402878101056
AT21,0.02124842657492711
AT22,0.011080637932396852
AT31,0.03886476187751843
DK05,0.1647208407521248
BE21,0.48568631593997663
BE22,0.38390155938955456
ES43,13.215908715358147
ES51,4.200003532262949
ES52,7.249883908491868
ES53,3.881025098837339
ES61,12.416505300081694
ES62,11.839528945776133
ES63,0.0
ES64,0.0
CH02,0.01736701910312359
CH03,0.006974444366418398
CH04,0.005491771377049959
CH05,0.022050183552962083
CH06,0.002867175695987848
CH07,0.018245224769298848
CY00,18.98034088428204
CZ01,0.57671325137982
CZ02,0.6191096122448261
CZ03,0.1472627388743254
CZ04,0.42498323435966784
CZ05,0.43409232028688377
CZ06,0.6480971506008735
DE40,0.754207003252724
EL53,3.339198044859446
EL54,2.5513236706073465
EL61,5.172783571940202
EL62,0.0
EL63,9.124639538618235
ES70,0.0
ITC1,0.15876133030710313
ITC2,0.026814532108031787
DE11,0.15668959299532267
DE12,0.18112946588259476
DE13,0.056789691058488995
DE14,0.02549736574292183
DE21,0.02145950238292034
DE22,0.06942181625904945
DE23,0.14890465541527823
DE24,0.2697799899257146
DE25,0.18505123859414688
DE26,0.2774683984999473
DE27,0.02670251477796298
DE30,0.8174794820638803
EL42,17.23076923076923
LV00,0.0881512113667738
ME00,0.22441004331295306
MK00,2.551559742540121
MT00,0.0
NL11,0.4024527949782518
NL12,0.3701022473665384
EL64,10.024232057424692
EL65,13.873956093421349
ES11,0.8057420228679593
ES12,0.08053416529527077
ES13,0.2858490055570236
ES21,0.5073494757883824
ES22,3.343564732716634
ES23,3.345066961187583
ES24,8.126627729489254
ES30,9.17604355628674
IE05,0.032093169597479015
IE06,0.02219326006105313
IS00,0.043837064715962
ITC3,0.09907888133938496
FI19,0.10508824584002678
FI1B,0.07067290722177579
FI1C,0.08222692631758176
DEA1,0.36879587488678783
DEA2,0.28973942536574143
DEA3,0.5469984766095877
DEA4,0.22541710189901865
DEA5,0.26536758802831173
DEB1,0.40521884781236833
DEB2,0.23527935835031363
DEB3,0.5302888877116717
DEC0,0.289371683047368
DED2,0.3395444383988014
DED4,0.21136325769699538
DED5,0.4556701871064993
DEE0,0.5869668034406809
DEF0,0.24393199040339544
DEG0,0.1530701803186765
DK01,0.28186250306092775
DK02,0.2221958958185636
DK03,0.23559422203554556
DK04,0.13128373198784316
ES41,5.686299357276696
ES42,12.560236302705912
HU23,1.4567453841177316
HU31,2.0691574670087833
HU32,2.562882646918297
HU33,2.535780514662082
IE04,0.025973824354318473
EE00,0.02242171191252195
EL30,19.61955422621507
EL41,15.153846153846153
EL43,19.781009894150955
EL51,4.605048979704197
EL52,3.744750806918511
FI20,0.0
FR10,0.6255916732435043
FRB0,1.0271774635721858
FRC1,0.3032511671145375
FRC2,0.39032647314553076
FRD1,0.2718409596440884
FRD2,0.21120400640826958
FRE1,0.27476850610512954
FRE2,0.2669294678534453
FRF1,0.2058331950639303
NL13,0.49258937342808795
NL21,0.5585041046142578
NL22,0.517558832008105
NL23,0.41917808239276594
NL31,0.37192452870882475
NL32,0.1638376139677488
ITG2,8.459102190457857
ITH1,0.011635856416362982
ITH2,0.02131469103579338
FRI3,1.2525165058099306
FRJ1,3.193117523709169
FRJ2,0.970299949296392
FRK1,0.5855440497398376
FRK2,0.6082202391698956
FRL0,3.930619684656939
FRM0,1.160878910468175
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,17.013868295229397
TR32,18.447634880359356
TR33,13.75509317104633
HR03,0.6197522060515789
HR02,1.0591135397553444
HU11,2.0485189809248996
HU12,2.3024297746328206
HU21,1.4298738917479148
HU22,0.9613654053268524
PT16,7.9964293366154795
PT17,9.728892775682302
FRF2,0.19366099857367003
FRF3,0.22937107365578413
FRG0,1.0477583408355713
FRH0,0.34663134870620876
FRI1,1.0972399624924247
FRI2,0.47761110947109187
ITC4,0.4422185438183638
ITF1,0.7207352221012115
ITF2,2.816772522834631
ITF3,2.485724682131639
ITF4,10.94786025927617
ITF5,7.623685939953877
ITF6,2.686961006659728
ITG1,15.425473506634052
LT01,0.05231946434539098
LT02,0.2004240476168119
LU00,0.07338189849486718
PL22,0.2978169700990503
PL41,0.7925895034478834
PL42,0.4842332544235083
PT18,13.551701582395113
PT20,0.0
PT30,0.0
RO11,0.4282966686699253
RO12,0.14412077845862278
RO21,0.6833846950187132
RO22,3.0270461005588563
RO31,3.494898984638544
RO32,3.6214335904671597
ITH3,0.37025707129102486
ITH4,0.022836820437357977
ITH5,1.4391987501428678
ITI1,1.7139649098882308
