nuts,Autumn Days With High Fire Danger (days) ensemble median - RCP4.5 - (2011 - 2040)
DE50,0.19683954119682312
DE60,0.3200018882751465
DE71,0.4784465978542964
DE72,0.178046669314305
DE73,0.12099620327353477
DE80,0.3669674312695861
DE91,0.23626354013880094
BG41,0.8679262155046066
BG42,4.354736387977997
CH01,0.012375959816078344
AT32,0.0013972779115041098
AT33,0.0039643401590486365
AT34,0.0017672311514616013
BE10,0.31664466857910156
BE23,0.5544730583826701
BE24,0.29985476012031237
BE25,0.45725727391739684
BE31,0.22821183676520984
BE32,0.32200311788668234
BE33,0.1252511203289032
BE34,0.1756067474683126
BE35,0.18051897746821244
BG31,2.9094464773622652
BG32,1.4825424649131795
BG33,2.065766776104768
BG34,3.4700288118173677
DE92,0.23003338960309824
DE93,0.3154292102903128
DE94,0.22829052358865737
CZ07,0.22904494032263756
CZ08,0.13157491236925126
AL01,0.7339195924500624
AL02,3.010692506780227
AL03,3.200481235484282
AT11,0.3804317533969879
AT12,0.25343025336042047
AT13,0.527724401652813
AT21,0.0012444257736206055
AT22,0.000395225298901399
AT31,0.004796377476304769
DK05,0.14125361070036888
BE21,0.3665366992354393
BE22,0.26643382298449675
ES43,22.90028480688731
ES51,3.6091119567553203
ES52,12.334472521146138
ES53,3.91581528087457
ES61,24.362455646197002
ES62,20.322489293416343
ES63,0.0
ES64,0.0
CH02,0.01429668782899777
CH03,0.03174613850812117
CH04,0.014306439956029256
CH05,0.01054955900957187
CH06,0.0024621973435084024
CH07,0.001976566016674042
CY00,39.11792456309001
CZ01,0.4163189738988876
CZ02,0.4205111123621464
CZ03,0.10192367086807887
CZ04,0.30787134990096093
CZ05,0.210914246737957
CZ06,0.329345232869188
DE40,0.5274305509558569
EL53,5.229466061418255
EL54,3.71365117020905
EL61,5.202725040912628
EL62,0.0
EL63,8.78926193167766
ES70,0.0
ITC1,0.1878370373820265
ITC2,0.0419914361089468
DE11,0.1409983487178882
DE12,0.20688880160450934
DE13,0.07674928729732831
DE14,0.015213876962661743
DE21,0.02603642884641886
DE22,0.048881202253202596
DE23,0.11086053159087897
DE24,0.17121996209025384
DE25,0.23022360652685164
DE26,0.21155015037705502
DE27,0.0318800492833058
DE30,0.5541594038407008
EL42,19.7
LV00,0.12441716440177213
ME00,0.30805394568790995
MK00,3.9341031382481257
MT00,0.0
NL11,0.1308374842007955
NL12,0.08539102822542191
EL64,10.482946733633677
EL65,15.151452414194743
ES11,2.9746023452530306
ES12,0.44184288904070856
ES13,1.0788560420274735
ES21,1.8585548125828306
ES22,6.2371370395024615
ES23,6.339616862932841
ES24,10.962687363227209
ES30,19.183129048347475
IE05,0.09147235260655483
IE06,0.0768207598477602
IS00,0.0022232173321147758
ITC3,0.07350633653501669
FI19,0.030261712435943385
FI1B,0.09613359067589045
FI1C,0.075019238392512
DEA1,0.16502191598216692
DEA2,0.18442064883808296
DEA3,0.19585608591636022
DEA4,0.19089746872584026
DEA5,0.12596872188150882
DEB1,0.3123415988559524
DEB2,0.24179660541315873
DEB3,0.5340121374775966
DEC0,0.4384709176917871
DED2,0.26050198059529067
DED4,0.14399159451325735
DED5,0.45121099973718326
DEE0,0.3836845140593747
DEF0,0.2071450762450695
DEG0,0.21509044729173182
DK01,0.2500527595480283
DK02,0.25173175844053425
DK03,0.14111493012557427
DK04,0.11846154034137726
ES41,11.12199250459671
ES42,20.640940634409585
HU23,0.6248096198153993
HU31,1.4735126102964082
HU32,1.9523746137817701
HU33,1.5643088861989478
IE04,0.040769625020523864
EE00,0.15411286791786552
EL30,28.013286844889322
EL41,25.816666666666666
EL43,31.465535163879395
EL51,9.592464876174926
EL52,4.691789645453294
FI20,0.1
FR10,1.607473302880923
FRB0,2.2992791422332326
FRC1,1.1256253180404505
FRC2,0.4182331886452933
FRD1,1.0636295755704244
FRD2,0.9785209588706494
FRE1,0.6850342894593875
FRE2,0.8879675511270761
FRF1,0.22611630211273828
NL13,0.15186712344487507
NL21,0.2086247205734253
NL22,0.15018747399250668
NL23,0.19279650052388508
NL31,0.16388634045918782
NL32,0.1417482296625773
ITG2,10.770999399820964
ITH1,0.0043396362413962684
ITH2,0.004617172790070375
FRI3,3.185006529962023
FRJ1,4.974111913144588
FRJ2,1.9624721455698213
FRK1,1.280150081589818
FRK2,1.0865288527371983
FRL0,4.326100220593314
FRM0,2.069140611340602
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,26.843865839640298
TR32,31.500019963582357
TR33,25.983709843953452
HR03,0.876309049129486
HR02,0.5899779576808214
HU11,1.241649449368318
HU12,1.42841755207628
HU21,0.8256656820575397
HU22,0.6328559632102648
PT16,14.722642946243287
PT17,16.04462609688441
FRF2,0.7308760353053609
FRF3,0.37239694719513255
FRG0,2.992125348901997
FRH0,1.4166537215933204
FRI1,2.35822334944581
FRI2,1.408663771674037
ITC4,0.19157791920006276
ITF1,0.6335106790065765
ITF2,2.990784428889553
ITF3,2.520657607788841
ITF4,8.369096666574478
ITF5,5.670811382432778
ITF6,1.8279988761991262
ITG1,8.442653661966323
LT01,0.13828487986077864
LT02,0.12199791331465046
LU00,0.251786399881045
PL22,0.32104931126038233
PL41,0.518239350259925
PL42,0.335751640299956
PT18,23.94277608791987
PT20,0.0
PT30,0.0
RO11,0.3874188046747198
RO12,0.08607777453338107
RO21,0.543807324860245
RO22,2.58728828219076
RO31,1.6081643318136534
RO32,1.0808681634565194
ITH3,0.14160779543841878
ITH4,0.020594407369693122
ITH5,0.7525002864499887
ITI1,1.0597525482376418
