nuts,October Days With High Fire Danger (days) ensemble median - RCP8.5 - (2041 - 2070)
DE50,0.06666666666666667
DE60,0.12993992765744528
DE71,0.21180649797121684
DE72,0.0615619162718455
DE73,0.12197270393371581
DE80,0.16769627866645653
DE91,0.1273699442545573
BG41,0.2079067804229756
BG42,0.9922758851821224
CH01,0.02538663987070322
AT32,0.007693097988764445
AT33,0.010548857972025871
AT34,0.003530406951904297
BE10,0.4
BE23,0.3904439385980368
BE24,0.3367903431256612
BE25,0.3199038505554199
BE31,0.3924085634450118
BE32,0.49231724739074706
BE33,0.2254400054613749
BE34,0.34889015605052315
BE35,0.3050681451956431
BG31,0.45658783465623853
BG32,0.18270292095839977
BG33,0.34444662897537154
BG34,0.48905314474056166
DE92,0.14486991508553426
DE93,0.11328555941581726
DE94,0.16085060288508732
CZ07,0.03338212172190348
CZ08,0.03491417566935221
AL01,0.16829649060964585
AL02,0.635644423464934
AL03,0.7060248038421074
AT11,0.08120291791856289
AT12,0.10455982411901156
AT13,0.23878208895524342
AT21,0.0037079567710558573
AT22,0.001985366145769755
AT31,0.0019152876610557237
DK05,0.024379230539004006
BE21,0.3151824633280436
BE22,0.2726038495699565
ES43,7.231425134837627
ES51,0.782869761188825
ES52,3.0147033197184405
ES53,0.848404393841823
ES61,7.350193770353993
ES62,4.855422145438691
ES63,0.0
ES64,0.0
CH02,0.0399892167498668
CH03,0.05301530932386716
CH04,0.0190548042456309
CH05,0.01813913838316997
CH06,0.0037273285289605457
CH07,0.011705235640207926
CY00,15.677790848414103
CZ01,0.08730342388153076
CZ02,0.11755457768837611
CZ03,0.02518127936248978
CZ04,0.13846614143500727
CZ05,0.06954535233477752
CZ06,0.059397683540980024
DE40,0.199693230787913
EL53,1.2899399608373643
EL54,1.2116192841902376
EL61,1.1157389683028063
EL62,0.0
EL63,2.69570154119283
ES70,0.0
ITC1,0.05690928151210149
ITC2,0.049181316420435904
DE11,0.10535937746365866
DE12,0.2173391657570998
DE13,0.11884590138991674
DE14,0.07131907294193904
DE21,0.011277360096573829
DE22,0.006738968690236409
DE23,0.06536684532960256
DE24,0.18069714009761811
DE25,0.0949452022711436
DE26,0.10771487951278687
DE27,0.016771122937401135
DE30,0.17919733424981435
EL42,8.0
LV00,0.027506107278168202
ME00,0.11845883677403132
MK00,0.9322927933186292
MT00,0.0
NL11,0.09735744794209798
NL12,0.09571816126505533
EL64,3.723322317004204
EL65,5.846790389964978
ES11,1.6588688291609288
ES12,0.3919772729277611
ES13,0.32589719171325365
ES21,0.4994313780218363
ES22,1.9556765055283905
ES23,1.6192118626708785
ES24,3.261309082619846
ES30,5.708290263265371
IE05,0.01503159177179138
IE06,0.003085444091508786
IS00,0.0002094692705820004
ITC3,0.03327784848709901
FI19,0.0
FI1B,0.02529145684093237
FI1C,0.006633028636376063
DEA1,0.1742385687927405
DEA2,0.2448575774828593
DEA3,0.1536134401957194
DEA4,0.1648929978410403
DEA5,0.15912397305170695
DEB1,0.25342779358228046
DEB2,0.41112209955851237
DEB3,0.30967889229456586
DEC0,0.3828304801136255
DED2,0.09527674516042074
DED4,0.07115282615025838
DED5,0.25419512192408245
DEE0,0.2185388780509432
DEF0,0.19305089091261227
DEG0,0.1270037295296788
DK01,0.11112282276153565
DK02,0.13151010448733966
DK03,0.05285987854003906
DK04,0.06796989155312379
ES41,3.4087585760746153
ES42,6.756132975717386
HU23,0.07063852343708277
HU31,0.20417775188883144
HU32,0.2687008212010066
HU33,0.2633537370711565
IE04,0.0038245808333158492
EE00,0.03689603606859843
EL30,11.84526921113332
EL41,9.966666666666667
EL43,13.00896550019582
EL51,2.715018833676974
EL52,0.7187023188918829
FI20,0.0
FR10,0.5739447553952535
FRB0,0.6665097285682956
FRC1,0.4178178562782705
FRC2,0.4584357020755609
FRD1,0.24507729411125184
FRD2,0.33544004472593464
FRE1,0.4396438301851352
FRE2,0.5784811156801879
FRF1,0.2783972761283318
NL13,0.14857768217722575
NL21,0.22642437020937603
NL22,0.2523343821366628
NL23,0.10763886769612631
NL31,0.23340993573268254
NL32,0.18765131632486978
ITG2,2.0574929038683574
ITH1,0.015237460968395074
ITH2,0.013851420084635416
FRI3,0.7429751253686845
FRJ1,0.8368479123959939
FRJ2,0.4616717476087312
FRK1,0.468386498807619
FRK2,0.2409733246701459
FRL0,0.7645189790055156
FRM0,0.23671022355556487
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,10.870913502573966
TR32,12.63495994011561
TR33,9.712623339891433
HR03,0.21919847872729104
HR02,0.08464150559157133
HU11,0.17908244878053664
HU12,0.17185683759550255
HU21,0.09401836171746254
HU22,0.08876412212848664
PT16,5.025222781548897
PT17,5.1489629666010535
FRF2,0.5036789370079835
FRF3,0.48354981541633607
FRG0,0.5686801053894063
FRH0,0.35912554201980434
FRI1,0.5718320048724611
FRI2,0.47337144364913303
ITC4,0.03748709388698141
ITF1,0.1490607353548209
ITF2,0.6630032669752837
ITF3,0.46611901354044677
ITF4,1.7419051620488366
ITF5,1.301309259980917
ITF6,0.3159536194056273
ITG1,2.1315029682591558
LT01,0.014014693101247151
LT02,0.020323604314277568
LU00,0.4365078528722127
PL22,0.09217708706855773
PL41,0.3316273645808299
PL42,0.23187266190846761
PT18,7.116891994979232
PT20,0.0
PT30,0.0
RO11,0.036114304016033806
RO12,0.012778733888020118
RO21,0.05272549412523707
RO22,0.33693668271104493
RO31,0.23092059288173913
RO32,0.08448197344938914
ITH3,0.030663554525623717
ITH4,0.03200420861442884
