nuts,Annual Days With High Fire Danger (days) ensemble median - RCP4.5 - (2071 - 2100)
DE50,2.235598537784356
DE60,3.116368509255923
DE71,5.191583556624559
DE72,2.1109242803202224
DE73,1.918458079202817
DE80,2.6922937313524575
DE91,2.662680950875466
BG41,7.7818476764055395
BG42,24.508770282451923
CH01,0.3113934794584146
AT32,0.12366807976594338
AT33,0.10710153327538417
AT34,0.10506645160225722
BE10,3.4235338064340444
BE23,2.6444786973297596
BE24,2.753356651044809
BE25,2.77961188984605
BE31,2.50858088181569
BE32,2.304577089846134
BE33,1.2892700181557581
BE34,1.8304019639125237
BE35,1.4229509741641009
BG31,21.34387889275184
BG32,14.835694698187021
BG33,17.976012009840744
BG34,22.788695848905125
DE92,2.8461743355370483
DE93,3.480242889589415
DE94,2.9028832538483234
CZ07,3.252978802443697
CZ08,1.913741639170509
AL01,10.329879742402296
AL02,33.28762391897348
AL03,38.295540002676155
AT11,6.02859709583796
AT12,4.4064242748113776
AT13,9.859437157328312
AT21,0.058415666509133116
AT22,0.20039776863100436
AT31,0.37113782806465256
DK05,1.1319599862282093
BE21,2.776624071196868
BE22,2.5104276560820065
ES43,113.49004716139574
ES51,38.616939544677734
ES52,88.56888580322266
ES53,41.17369490403395
ES61,122.0505629319411
ES62,124.13710315410907
ES63,0.0
ES64,0.0
CH02,0.5733152200969366
CH03,0.750599147608647
CH04,0.3848216241368881
CH05,0.11315053321707708
CH06,0.15063842214070833
CH07,0.09091174545196387
CY00,156.79993849534256
CZ01,4.688851264806894
CZ02,4.704006720262651
CZ03,1.900092454125675
CZ04,3.852580187412409
CZ05,2.9274996660936337
CZ06,5.034937851704084
DE40,4.738655498394599
EL53,38.94420886039734
EL54,36.030127598689155
EL61,45.437957983750564
EL62,0.0
EL63,64.91236701378456
ES70,0.0
ITC1,1.904253404874068
ITC2,0.6353655486152723
DE11,2.806515681055876
DE12,3.451666595844122
DE13,1.7894561663269997
DE14,0.7070008911765538
DE21,0.57644973996167
DE22,0.9722114544934951
DE23,2.097420346278411
DE24,2.6521426427822847
DE25,3.259307629787005
DE26,3.4014107447404127
DE27,0.809715652695069
DE30,5.779112233565404
EL42,95.53846153846153
LV00,1.1516924178800905
ME00,5.036044088693766
MK00,31.41781656558697
MT00,0.0
NL11,1.5457276426828825
NL12,1.1219988419459417
EL64,71.0344737126277
EL65,92.47455655611478
ES11,19.80403973506047
ES12,2.0381912073263755
ES13,3.221266297193674
ES21,7.226088175406823
ES22,33.088139900794395
ES23,35.016395862285904
ES24,72.42608085045448
ES30,91.72440103384164
IE05,1.3936412219817822
IE06,0.9315231502629243
IS00,0.2737778698165829
ITC3,1.0797585558432798
FI19,0.42834109110900986
FI1B,1.0302258357405663
FI1C,0.849441797974018
DEA1,2.4997417175999055
DEA2,2.2717746855834355
DEA3,3.1570437252521515
DEA4,2.28812778282624
DEA5,1.657006681825106
DEB1,3.217823414848401
DEB2,3.5027138874507866
DEB3,5.84262738778041
DEC0,5.67345718982128
DED2,3.159114165804707
DED4,2.3624234337073107
