nuts,October Days With High Fire Danger (days) (1981 - 2010)
DE50,0.0
DE60,0.0
DE71,0.0
DE72,0.0
DE73,0.0
DE80,0.004588907398283481
DE91,0.0
BG41,0.0820735798527797
BG42,0.5626691864182551
CH01,0.0
AT32,0.0
AT33,0.0
AT34,0.0
BE10,0.0
BE23,0.0205575168132782
BE24,0.005555555721124013
BE25,0.02383886973063151
BE31,0.0041583538055419925
BE32,0.013975510001182556
BE33,0.0
BE34,0.0
BE35,0.0
BG31,0.303651795287927
BG32,0.12146295395990213
BG33,0.11765843108296395
BG34,0.3189674463743965
DE92,0.0
DE93,0.0
DE94,0.0
CZ07,0.0
CZ08,0.0
AL01,0.08346693453689416
AL02,0.3305259401599566
AL03,0.37157738556464515
AT11,0.034820197025934856
AT12,0.04428467390437921
AT13,0.0748985985914866
AT21,0.0
AT22,0.0
AT31,0.0
DK05,0.0
BE21,0.0
BE22,0.0
ES43,4.5176263322432835
ES51,0.7700967653344075
ES52,2.653228372583787
ES53,0.8808555963138739
ES61,4.933472375075023
ES62,4.895101064443589
ES63,1.4216375370820364
ES64,4.166666666666667
CH02,0.0
CH03,0.0
CH04,0.0
CH05,0.0
CH06,0.0
CH07,0.0
CY00,7.996322466929754
CZ01,0.03987471212943395
CZ02,0.027853340903917948
CZ03,0.0
CZ04,0.01864531561732292
CZ05,0.011334935824076334
CZ06,0.025825962300101916
DE40,0.01805468201637268
EL53,0.6841698211928209
EL54,0.4251398182163636
EL61,0.8488475328932206
EL62,0.3381013758480549
EL63,1.2336696584398548
ES70,4.657536089420319
ITC1,0.02659553550183773
ITC2,0.002231501042842865
DE11,0.0
DE12,0.0024652873476346334
DE13,0.0
DE14,0.0
DE21,0.0
DE22,0.0
DE23,0.0
DE24,0.0
DE25,0.0
DE26,0.0
DE27,0.0
DE30,0.020857006311416626
EL42,7.726828773816426
LV00,0.0
ME00,0.034407995827496055
MK00,0.48925146150092286
MT00,1.5836488773425421
NL11,0.0
NL12,0.0
EL64,3.1985847644507883
EL65,4.2328267683585485
ES11,0.2771228817601999
ES12,0.005707261338829994
ES13,0.09263526995976766
ES21,0.12073336889346441
ES22,1.2795802806814511
ES23,1.0585384799788395
ES24,2.688353655859828
ES30,3.80119795439144
IE05,0.0
IE06,0.0
IS00,0.0
ITC3,0.1329962414999803
FI19,0.0
FI1B,0.0
FI1C,0.0
DEA1,0.0
DEA2,0.0
DEA3,0.0
DEA4,0.0
DEA5,0.0
DEB1,0.0
DEB2,0.0
DEB3,0.007003714640935262
DEC0,0.0077393929163614905
DED2,0.021011225382486978
DED4,0.0013184963415066402
DED5,0.008322015901406606
DEE0,0.0
DEF0,0.0005583149070541064
DEG0,0.0
DK01,0.0
DK02,0.0
DK03,0.008161114901304245
DK04,0.0
ES41,1.932489812420681
ES42,4.636422848453124
HU23,0.042319472630818686
HU31,0.0896208136032025
HU32,0.10239661422868569
HU33,0.12355955218275388
IE04,0.0
EE00,0.0
EL30,7.511095091700554
EL41,7.252672289808591
EL43,8.010611013571422
EL51,1.7599954664707185
EL52,0.47964407596737146
FI20,0.0
FR10,0.02620797889928023
FRB0,0.1005983656582733
FRC1,0.06509764144817988
FRC2,0.040658870215217274
FRD1,0.005617852012316386
FRD2,0.007956852143009504
FRE1,0.017021000385284424
FRE2,0.010302157203356425
FRF1,0.012091921766599019
NL13,0.0
NL21,0.0
NL22,0.0
NL23,0.0
NL31,0.0
NL32,0.0
ITG2,1.2577652625739575
ITH1,0.0
ITH2,0.0
FRI3,0.29565186897913615
FRJ1,0.6119208281859756
FRJ2,0.1287353474025925
FRK1,0.12429447248578071
FRK2,0.09849761339525381
FRL0,0.6428060294128954
FRM0,0.38695843468109764
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,7.306447084744772
TR32,8.448855868975322
TR33,7.2968410889307656
HR03,0.1318371372918288
HR02,0.0360887906824549
HU11,0.07509876688321432
HU12,0.10009947419166565
HU21,0.055520765980084735
HU22,0.05478038017948469
PT16,2.0435069647928077
PT17,1.4180506353576978
FRF2,0.011268462240695953
FRF3,0.01467012862364451
FRG0,0.12799590351060033
FRH0,0.022735773772001266
FRI1,0.22246447276944917
FRI2,0.16974678114056588
ITC4,0.0567315936088562
ITF1,0.0374752144018809
ITF2,0.3745306830853224
ITF3,0.21665925700217487
ITF4,1.03156549676011
ITF5,0.9331129031876723
ITF6,0.3086703317860762
ITG1,1.0702028821532925
LT01,0.0
LT02,0.0
LU00,0.0
PL22,0.001580772300561269
PL41,0.03274986557662487
PL42,0.021935611963272095
PT18,4.059875456492106
PT20,0.0
PT30,0.7055652682979902
RO11,0.007759939258297284
RO12,0.0
RO21,0.045765475121637186
RO22,0.15454376839722198
RO31,0.10661626160144806
RO32,0.0033333522578080496
ITH3,0.05859188437461853
ITH4,0.04162750244140625
ITH5,0.11696927081793547
ITI1,0.1570589179173112
ITI2,0.24629539797703426
ITI3,0.08105931729078293
ITI4,0.1910260551298658
LI00,0.0
FI1D,0.0
TR82,2.013210697968801
TR83,2.5340658855934937
TR90,0.3007119653125604
TRA1,1.8840095022693277
TRA2,1.209151123650372
PL43,0.041108477115631106
PL51,0.02655670903623104
PL52,0.008775861809651057
PL61,0.002954670290152232
PL62,0.0
PL63,0.0
PL71,0.007314800719420115
PL72,0.004396621386210124
PL81,0.0
PL82,0.0
PL84,0.0
PL91,0.0
PL92,0.0
PT11,0.9406032227600615
PT15,3.4413391545414926
TRB1,8.395110984643301
TRB2,4.8785595859090485
TRC1,14.236809154351553
RS12,0.3740903206169605
RS21,0.060623745806515215
RS22,0.13788023373732963
SE11,0.0
SE12,0.0
NL33,0.0
NL34,0.005565713346004486
NL41,0.0
NL42,0.0
PL21,0.002152766784032186
UKM6,0.0
TR22,4.165454706673821
TRC2,16.288348865509032
TRC3,13.687794989347458
UKC1,0.0
UKC2,0.0
UKD1,0.0
UKD3,0.0
UKD4,0.0
UKD6,0.0
UKD7,0.0
UKE1,0.03944605886936188
UKE2,0.004351058353980382
UKE3,0.04843129167954127
RO41,0.24289557732020814
RO42,0.1014653113981088
RS11,0.3605149601896604
TR41,4.536851565291484
TR42,0.8500475127249956
TR51,8.532246145357687
TR52,10.627190613746643
TR61,6.467390296856562
TR62,7.025050826867422
TR63,9.28499947488308
TR71,9.942462361355622
TR72,7.24801882704099
TR81,0.19350907827417055
UKK1,0.011045668770869573
UKK2,0.0
UKK3,0.0
UKK4,0.0
UKL1,0.0
UKL2,0.0
UKM5,0.0
UKM7,0.0
UKM8,0.0
UKM9,0.0
UKN0,0.0
SE21,0.0015768993645906449
SE22,0.0
SE23,0.0
SE31,0.0
SE32,0.0
SE33,0.0
SI03,0.0023495182394981384
SI04,0.02157495046655337
SK01,0.15157754570245743
SK02,0.07858878001570702
SK03,0.003368492859105269
SK04,0.006207879446446895
TR10,1.1180637139827012
TR21,2.714093045393626
UKE4,0.0077075868844985965
UKF1,0.04495341281096141
UKF2,0.05161416058739026
UKF3,0.06663748721281687
UKG1,0.017843738198280334
UKG2,0.002380983034769694
UKG3,0.011142685015996297
UKH1,0.051175159960985185
UKH2,0.05554320812225342
UKH3,0.04371107816696167
UKI3,0.03333333333333333
UKI4,0.03333333333333333
UKI5,0.046622610092163085
UKI6,0.02219188412030538
UKI7,0.05553516745567322
UKJ1,0.04401009281476339
UKJ2,0.02908140222231547
UKJ3,0.02030433217684428
UKJ4,0.019639801979064942
NO09,0.0002916348787645499
NO0A,0.0
NO0B,0.0
HR05,0.0
HR06,0.0
NO02,0.0
NO06,0.0
NO07,0.0
NO08,0.0
