nuts,Summer Days With High Fire Danger (days) ensemble median - RCP4.5 - (2041 - 2070)
DE50,1.5371824796001117
DE60,1.7805309747656186
DE71,4.426529798656702
DE72,2.0387109514325856
DE73,2.1500358705719314
DE80,3.0623436408738294
DE91,3.067017886911829
BG41,5.455144639809927
BG42,17.27767838637034
CH01,0.1443764492869377
AT32,0.03251718065390984
AT33,0.031296622256437936
AT34,0.05967498980462551
BE10,2.6500659942626954
BE23,2.443640744437774
BE24,2.7331043779850006
BE25,2.3005979138116044
BE31,2.5540142682691416
BE32,2.807718353656431
BE33,1.6422376953065396
BE34,1.9327692076563836
BE35,1.9986493916561205
BG31,15.787661282221476
BG32,13.901072351137797
BG33,14.99501326183478
BG34,17.29511690934499
DE92,2.469191380466024
DE93,2.4325535791305204
DE94,2.285608585799734
CZ07,1.593054324388504
CZ08,0.7264324605464936
AL01,8.168128543098767
AL02,23.38247822125753
AL03,32.50671599706014
AT11,4.408993905658523
AT12,2.892879999366899
AT13,5.978405457735062
AT21,0.02043864652514458
AT22,0.08210280866672595
AT31,0.23075330598900715
DK05,1.4485248977939287
BE21,2.8524501860141753
BE22,2.8818197975556057
ES43,75.70017636617025
ES51,23.877144384384156
ES52,55.05509281158447
ES53,31.66782978375753
ES61,73.36882565816244
ES62,76.53635050455729
ES63,0.0
ES64,0.0
CH02,0.5060216785098116
CH03,0.8942237369716167
CH04,0.4763199031352997
CH05,0.10842543977002303
CH06,0.1230700413386027
CH07,0.029569195707639058
CY00,84.55162785847982
CZ01,3.5094551463921864
CZ02,3.657306772718827
CZ03,1.3101718272392948
CZ04,3.186980962691208
CZ05,2.072894922023018
CZ06,3.1810491961737473
DE40,4.3434624908491966
EL53,29.73507095972697
EL54,33.53096872965495
EL61,37.72374013264974
EL62,0.0
EL63,54.40272331237793
ES70,0.0
ITC1,2.276718536019325
ITC2,0.28408190024395785
DE11,2.209814981309076
DE12,2.8858646885181467
DE13,1.403315424794952
DE14,0.44506082447866596
DE21,0.4832123418028156
DE22,0.9554254163056612
DE23,1.8646036838491757
DE24,2.415829425553481
DE25,2.6986097666745383
DE26,3.11245970291396
DE27,0.695009913512816
DE30,5.816649286945661
EL42,56.4
LV00,2.0249504486331715
ME00,3.802046394596497
MK00,22.544888242085776
MT00,0.0
NL11,1.0857436299324035
NL12,0.857320682456096
EL64,55.08962968190511
EL65,68.86420046488443
ES11,9.121232155958811
ES12,0.7276536631087462
ES13,1.060221521059672
ES21,3.395576860755682
ES22,20.355787007013955
ES23,22.17871313095093
ES24,42.906115992863974
ES30,62.8641160329183
IE05,0.4066365517054995
IE06,0.45102356585363546
IS00,0.20982717029595127
ITC3,1.8095062404870987
FI19,0.5085357273307939
FI1B,1.7772481309249997
FI1C,1.4190455373221387
DEA1,2.7619472593689958
DEA2,2.097542080655694
DEA3,3.053880411076049
DEA4,2.200243814413746
DEA5,1.8980673357844353
DEB1,3.152301236987114
DEB2,2.8953877978026865
DEB3,4.571622306481004
DEC0,3.537127054731051
DED2,2.5617197019358477
DED4,1.7799893062561751
DED5,4.25249267021815
DEE0,4.115839352489759
DEF0,1.6562856103604038
DEG0,2.4081022441387177
DK01,3.305299089848995
DK02,2.3681429743766786
DK03,1.6836891734351715
DK04,1.5379592166592677
ES41,39.208819198608396
ES42,68.72032216389974
HU23,6.99927586109067
HU31,8.660676583647728
HU32,10.937002648909887
HU33,11.560863302151363
IE04,0.18840324577564996
EE00,1.3044585664756596
EL30,79.78461354573568
EL41,77.8
EL43,77.8313715616862
EL51,29.7592472076416
EL52,26.650631936391196
FI20,0.7666666666666667
FR10,6.075335420916478
FRB0,9.207809764891863
FRC1,5.118680973599354
FRC2,4.048261811087529
FRD1,3.0518760486195484
FRD2,3.1041153957446417
FRE1,2.590769352267186
FRE2,3.2900217467918993
FRF1,3.2687598088135323
NL13,1.8007520149151484
NL21,2.6445696130394936
NL22,3.02844679603974
NL23,2.1291358838478724
NL31,2.4559974327683447
NL32,1.2734623670578002
ITG2,59.644308980305986
ITH1,0.032581203058362006
ITH2,0.04556718021631241
FRI3,9.210070631528895
FRJ1,26.296212037404377
FRJ2,6.144918656349182
FRK1,4.640702511866888
FRK2,6.546919624010722
FRL0,25.906731446584065
FRM0,16.268401098251342
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,81.033509572347
TR32,81.01180572509766
TR33,72.7292879740397
HR03,11.167591178634515
HR02,4.763909378771981
HU11,10.267642590403558
HU12,10.595171046505373
HU21,9.281585126618545
HU22,7.23731726706028
PT16,56.13921407063802
PT17,58.79800542195638
FRF2,4.476232613002261
FRF3,3.9838153411323827
FRG0,7.139834251254797
FRH0,3.964947779476643
FRI1,5.098005451168865
FRI2,4.66895582874616
ITC4,3.1183551202217736
ITF1,12.672386546929678
ITF2,28.254603338241576
ITF3,34.07954851786295
ITF4,58.04579149881999
ITF5,50.85124689737956
ITF6,24.680335076649985
ITG1,68.53388938903808
LT01,2.2693764632567763
LT02,2.762622095334033
LU00,2.4606860876083374
PL22,1.7505411030724645
PL41,5.134198440456142
PL42,3.4321684162753323
PT18,72.65373140970866
PT20,0.0
PT30,0.0
RO11,2.0614547476327667
RO12,0.4947725041459004
RO21,4.201271378745635
RO22,16.122418624162673
RO31,10.913134467601775
RO32,8.256479269017776
ITH3,1.8636583295961222
ITH4,0.4879352688789368
ITH5,10.21292065915962
ITI1,19.29369314511617
ITI2,30.933439540863038
ITI3,18.94154038478931
ITI4,28.170375935236613
LI00,0.0
FI1D,0.13908186775127737
