nuts,September Days With High Fire Danger (days) (1981 - 2010)
DE50,0.014341350396474202
DE60,0.06118817081054052
DE71,0.25584028561909994
DE72,0.045684032638867694
DE73,0.018990539014339447
DE80,0.0476734325910608
DE91,0.012975278000036875
BG41,0.6174783500532309
BG42,3.1050732089206576
CH01,0.0
AT32,0.0
AT33,0.0
AT34,0.0
BE10,0.016711368163426717
BE23,0.00513248989979426
BE24,0.02500744958718618
BE25,0.01190025508403778
BE31,0.029174979527791342
BE32,0.02286565105120341
BE33,0.017610987027486164
BE34,0.03353210687637329
BE35,0.013983699679374694
BG31,2.06506395333757
BG32,1.2175608279804389
BG33,1.0752853889018297
BG34,2.093724605689446
DE92,0.03415834903717041
DE93,0.06485420844207207
DE94,0.010246355334917705
CZ07,0.12365482511619727
CZ08,0.13169459700584413
AL01,0.48308010523517925
AL02,2.4062898767491183
AL03,2.6375761473551393
AT11,0.26671517118811605
AT12,0.19060700753082832
AT13,0.34983775615692136
AT21,0.0
AT22,0.0020580378050605455
AT31,0.0
DK05,0.021180194864670435
BE21,0.02854736844698588
BE22,0.06932238911588987
ES43,16.867943175633748
ES51,2.187200326472521
ES52,6.875916217515866
ES53,2.8210168649752934
ES61,15.370559581120808
ES62,12.658007606863976
ES63,6.130000678698222
ES64,13.4
CH02,0.006235360105832418
CH03,0.01330803632736206
CH04,0.0
CH05,0.0
CH06,0.0
CH07,0.01222122386097908
CY00,13.26970329284668
CZ01,0.3326720808943113
CZ02,0.25995504185557367
CZ03,0.01266183735181888
CZ04,0.15304696752379338
CZ05,0.15456393702576557
CZ06,0.27881678628424805
DE40,0.13380882032215596
EL53,4.008842524016897
EL54,2.5577459275722503
EL61,4.2214774012565615
EL62,1.3493603675315777
EL63,5.365391921624541
ES70,6.717712577184042
ITC1,0.14578887379417818
ITC2,0.015620507299900055
DE11,0.09059688871105512
DE12,0.12403821150461833
DE13,0.03690575957298279
DE14,0.0011022799958785375
DE21,0.0
DE22,0.0027755158642927807
DE23,0.0018740040560563406
DE24,0.058787603427966434
DE25,0.07251985023419062
DE26,0.1992221474647522
DE27,0.0
DE30,0.14183268050352732
EL42,13.479413604736328
LV00,0.07323289004464945
ME00,0.23885557136187952
MK00,3.01643718679746
MT00,3.742021652062734
NL11,0.0
NL12,0.0
EL64,9.365229841073354
EL65,10.64801114698251
ES11,1.3250448872024814
ES12,0.07247192716846863
ES13,0.44726674755414325
ES21,0.6510268808652957
ES22,3.7580798546473186
ES23,4.018930947159728
ES24,6.882963673273722
ES30,13.987315352757772
IE05,0.0018466553340355555
IE06,0.0
IS00,0.0
ITC3,0.22662551452716193
FI19,0.0
FI1B,0.006161527832349142
FI1C,0.002940170730774601
DEA1,0.050917157406608266
DEA2,0.04874778265754382
DEA3,0.02301562378803889
DEA4,0.018445735176404316
DEA5,0.010666241496801376
DEB1,0.14866126577059427
DEB2,0.13894880612691243
DEB3,0.24952816690007845
DEC0,0.13334622383117675
DED2,0.10716467996438345
DED4,0.02247160648306211
DED5,0.16227290381987888
DEE0,0.0550643865019083
DEF0,0.04905972505609194
DEG0,0.055766584786276024
DK01,0.0331772988041242
DK02,0.056060671185453735
DK03,0.05660839155316353
DK04,0.030910342435042062
ES41,8.434082492192585
ES42,14.805983225504557
HU23,0.46979963053017854
HU31,0.9316572733223438
HU32,1.3311538614332676
HU33,1.094952735925714
IE04,0.0
EE00,0.05591193381696939
EL30,14.995118611057599
EL41,14.612074454625448
EL43,14.46814440091451
EL51,6.787763796250025
EL52,3.7632332012057303
FI20,0.011748936772346497
FR10,0.24876087221006551
FRB0,0.5907191085629165
FRC1,0.0510051886861523
FRC2,0.08981551316877207
FRD1,0.10798139236867428
FRD2,0.08612581212073564
FRE1,0.03339882971098026
FRE2,0.06863202384362618
FRF1,0.11407906686266263
NL13,0.002803101638952891
NL21,0.021587747832139334
NL22,0.017331055303414663
NL23,0.015413817763328553
NL31,0.008333333333333333
NL32,0.001859526832898458
ITG2,7.701292777061463
ITH1,0.0
ITH2,0.0
FRI3,1.1971014310916266
FRJ1,2.859533675511678
FRJ2,0.5074514895988007
FRK1,0.0516416869747142
FRK2,0.4045026992758115
FRL0,2.863244322439035
FRM0,2.50619433571895
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,19.002763883272806
TR32,19.543077564239503
TR33,17.700415023167928
HR03,0.7382370394654572
HR02,0.3704741415878137
HU11,0.7923185328642527
HU12,0.8769781737277905
HU21,0.6014102288832267
HU22,0.47156721067925295
PT16,9.601848554611205
PT17,7.003249144554138
FRF2,0.053449076724549134
FRF3,0.05831008938451608
FRG0,1.0357265505939721
FRH0,0.31868625606099765
FRI1,0.5716519149330755
FRI2,0.031183228765924772
ITC4,0.2795854109339416
ITF1,0.5111484716956815
ITF2,2.1454091548919676
ITF3,2.005112525324027
ITF4,5.551727129518985
ITF5,5.652335671832164
ITF6,2.312769356369972
ITG1,5.628935331106186
LT01,0.07790599664052328
LT02,0.06342843112846215
LU00,0.07963519891103109
PL22,0.1899955116212368
PL41,0.2581585571169853
PL42,0.11395154856145381
PT18,15.994206809997559
PT20,0.0
PT30,1.152209384739399
RO11,0.24565574911733468
RO12,0.02393547911196947
RO21,0.2596588250249624
RO22,1.5021671442314983
RO31,1.1348249154165386
RO32,0.6814288437366486
ITH3,0.07965692554910977
ITH4,0.002302838861942291
ITH5,0.7293796937291821
ITI1,1.24798961703976
ITI2,2.2957803029567003
ITI3,1.0577575527752439
ITI4,1.3743462845683099
LI00,0.0
FI1D,0.0
