nuts,Summer Days With High Fire Danger (days) (1981 - 2010)
DE50,0.37270825952291486
DE60,1.2024085680643717
DE71,1.7452197927981614
DE72,0.5231973071893056
DE73,0.4403174971540769
DE80,1.4341554672146837
DE91,1.1119924997289976
BG41,3.2327538333212336
BG42,12.011646548906961
CH01,0.0432768185933431
AT32,0.001062396913766861
AT33,0.0
AT34,0.0
BE10,0.28310982286930086
BE23,0.37676600789030396
BE24,0.2969614572823048
BE25,0.4001419951518377
BE31,0.2041583557923635
BE32,0.22259660611550014
BE33,0.1412409928937753
BE34,0.37193099955717723
BE35,0.13679683543741702
BG31,9.68218815724055
BG32,7.689231754901509
BG33,7.075992560759187
BG34,9.692598631978035
DE92,1.1381210558116437
DE93,1.6135223009313147
DE94,0.5885000673433145
CZ07,0.9722918211172025
CZ08,0.5364988108476003
AL01,2.753657645235459
AL02,15.388611141840617
AL03,17.331032689412435
AT11,3.670600128546357
AT12,2.0329527904589972
AT13,4.549432144562403
AT21,0.009461690112948418
AT22,0.10119140855967998
AT31,0.09387955280641715
DK05,0.6143181463082631
BE21,0.6014480638007323
BE22,0.3935825904210409
ES43,67.48404935201009
ES51,16.478699549039206
ES52,41.122450002034505
ES53,14.129592974980673
ES61,63.24170392354329
ES62,64.15959599812825
ES63,26.370763715108236
ES64,61.9
CH02,0.14946717371543247
CH03,0.2363599384824435
CH04,0.24424463361501694
CH05,0.04491305351257324
CH06,0.06978688637415568
CH07,0.15582060391704242
CY00,40.26543083190918
CZ01,1.7705978800853093
CZ02,1.5285413414239883
CZ03,0.3306528562059005
CZ04,1.1413684944311777
CZ05,1.005614944982032
CZ06,2.1186279263347387
DE40,2.7621055065343776
EL53,21.059828718503315
EL54,16.453276044130327
EL61,22.614572779337564
EL62,5.138478207588196
EL63,30.16726411183675
ES70,31.010417938232422
ITC1,1.7247973283131917
ITC2,0.36596615612506866
DE11,0.8186325644453366
DE12,1.1019937143971523
DE13,0.43149860184639693
DE14,0.13593206504980723
DE21,0.19575184614708027
DE22,0.2811762609829505
DE23,0.45145624987781047
DE24,0.4860584499935309
DE25,0.8033677029112974
DE26,1.0236812836180131
DE27,0.21233227513730527
DE30,3.412785621980826
EL42,36.67414271036784
LV00,0.6816887926310301
ME00,1.2972796949247518
MK00,15.158097779750824
MT00,7.208819804588954
NL11,0.11596503977974255
NL12,0.040422705560922624
EL64,42.084821637471514
EL65,44.08184305826823
ES11,3.5922766307989757
ES12,0.06290100434174141
ES13,0.884688283999761
ES21,1.4713397001226742
ES22,16.39710440635681
ES23,15.474367483456929
ES24,35.61784706115723
ES30,56.91888395945231
IE05,0.00035911425948143005
IE06,0.004573708772659302
IS00,0.014588448048258821
ITC3,0.7401727482676506
FI19,0.43664045349384345
FI1B,0.9965480033929149
FI1C,0.7139568021520972
DEA1,0.6830717255671819
DEA2,0.5554849468171597
DEA3,1.1362211393813293
DEA4,0.9872102459271749
DEA5,0.6015838126341502
DEB1,1.0262552555029592
DEB2,0.834258088717858
DEB3,2.2264119746784368
DEC0,1.3786986646552881
DED2,1.1098665349185466
DED4,0.38268767222762107
DED5,1.5220196802169084
DEE0,1.8274551104754209
DEF0,0.7053066395844022
DEG0,0.5749183734258015
DK01,1.1718344559272131
DK02,0.8963580672318737
DK03,0.7096379681800803
DK04,0.6710330846409003
ES41,33.116894992192584
ES42,63.45571225484212
HU23,5.408722990006209
HU31,6.849336886405945
HU32,7.985866721471151
HU33,8.465427465364337
IE04,0.0
EE00,0.6575014969334007
EL30,51.9604382832845
EL41,46.844983418782554
EL43,48.78756306966146
EL51,21.184439913431802
EL52,18.19391004641851
FI20,0.04506745114922524
FR10,2.525568792099754
FRB0,3.512464574010422
FRC1,1.572987400678297
FRC2,1.1754375122487546
FRD1,0.7471123340850075
FRD2,0.9309371198217075
FRE1,0.3730318530152241
FRE2,0.8795886732637882
FRF1,1.2887514408677816
NL13,0.26186068256696066
NL21,0.6424416383107503
NL22,0.6874991702536742
NL23,0.46545891066392264
NL31,0.5833333333333334
NL32,0.1324908807873726
ITG2,38.261944961547854
ITH1,0.0
ITH2,0.0
FRI3,4.323374809076388
FRJ1,16.220572980244956
FRJ2,2.5402638375759126
FRK1,1.1271467256359755
FRK2,3.607032162944476
FRL0,18.49417627652486
FRM0,10.232034754753112
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,69.75697975158691
TR32,64.30729255676269
TR33,58.771690432230635
HR03,5.332147281368574
HR02,4.223076070845127
HU11,8.795281722148259
HU12,8.240967850387097
HU21,6.598640334481995
HU22,5.252732679496209
PT16,36.497007783253984
PT17,28.732730801900228
FRF2,1.3614744182676077
FRF3,1.4589971380929152
FRG0,3.0011106403234105
FRH0,0.7324772853404283
FRI1,2.5970530239244303
FRI2,0.9619157131761312
ITC4,2.9511654098828632
ITF1,6.731932734449704
ITF2,15.272162806987762
ITF3,14.39274123708407
ITF4,34.460608291625974
ITF5,36.540840260187785
ITF6,15.331139866511027
ITG1,32.41300366719564
LT01,0.8533915052811305
LT02,0.811210473968337
LU00,0.7168743203083674
PL22,0.8624581436316172
PL41,3.945330958906561
PL42,1.976359600139161
PT18,64.21259905497233
PT20,0.0
PT30,3.9358350038528442
RO11,1.3444833810130754
RO12,0.3057740073961516
RO21,2.2801044827948016
RO22,9.766323645102482
RO31,6.908321038881938
