nuts,June Days With High Fire Danger (days) (1981 - 2010)
DE50,0.042884973684946696
DE60,0.13917482495307923
DE71,0.12241403261820476
DE72,0.01818333665529887
DE73,0.0073731191456317905
DE80,0.4432228369017442
DE91,0.07783433025081953
BG41,0.22212247891972461
BG42,0.9978555432831248
CH01,0.01476340393225352
AT32,0.0
AT33,0.0
AT34,0.0
BE10,0.008310982088247935
BE23,0.015355913837750753
BE24,0.0055406545599301655
BE25,0.007127305865287781
BE31,0.0
BE32,0.005261742075284322
BE33,0.0019614070653915404
BE34,0.016817764689524967
BE35,0.0017456690470377604
BG31,1.3341484652211268
BG32,0.8010258708770076
BG33,0.5406380835920572
BG34,0.6127344168722629
DE92,0.0732707808415095
DE93,0.25676135569810865
DE94,0.06162342950701714
CZ07,0.0494046734025081
CZ08,0.004770119488239288
AL01,0.08954013126591841
AL02,1.9299303649614254
AL03,1.9103779005507628
AT11,0.5750601414591074
AT12,0.28672729929288227
AT13,0.6248985926310221
AT21,0.0
AT22,0.000683883639673392
AT31,0.004986701409022013
DK05,0.29190772846341134
BE21,0.023722565174102782
BE22,0.008280968169371287
ES43,14.33893148501714
ES51,4.114499206251154
ES52,10.07823516925176
ES53,2.389549240966638
ES61,14.393484409650167
ES62,17.116204317410787
ES63,5.173661617437999
ES64,15.933333333333334
CH02,0.0260010523100694
CH03,0.043298551440238954
CH04,0.048157914479573564
CH05,0.00824030041694641
CH06,0.014939276377360027
CH07,0.0427742841343085
CY00,11.250195248921711
CZ01,0.19304099380970002
CZ02,0.17349932280679545
CZ03,0.018766425425807635
CZ04,0.14108797013759614
CZ05,0.09460950853923956
CZ06,0.22989371170600256
DE40,0.8390453189300994
EL53,2.6900768796602885
EL54,1.1498217705637217
EL61,3.9892279158035913
EL62,0.5063959176341692
EL63,4.8609071433544155
ES70,6.90647471745809
ITC1,0.24136491154010098
ITC2,0.026778010527292888
DE11,0.0324426148707668
DE12,0.06661184231440226
DE13,0.054180947070320444
DE14,0.019949344793955485
DE21,0.008125227565566698
DE22,0.005551031604409218
DE23,0.02405710183084011
DE24,0.023079566657543182
DE25,0.038238067428270975
DE26,0.03330555831392606
DE27,0.014445625990629197
DE30,1.1500713755687078
EL42,5.7647866129875185
LV00,0.19876611760507026
