nuts,June Days With High Fire Danger (days) (1981 - 2010)
SE11,0.24388804684082668
SE12,0.48223043214529754
NL33,0.0110863596200943
NL34,0.02502291401227315
NL41,0.02902435486515363
NL42,0.023017080624898274
PL21,0.00286405881245931
UKM6,0.0
TR22,7.4659382144610085
TRC2,24.52637112935384
TRC3,21.03330043156942
UKC1,0.02221763730049133
UKC2,0.008059206108252207
UKD1,0.0
UKD3,0.0
UKD4,0.0
UKD6,0.003044761965672175
UKD7,0.0
UKE1,0.0746846874554952
UKE2,0.03776886016130447
UKE3,0.06338606774806976
RO41,1.3515889976484081
RO42,0.36939250541230045
RS11,1.0664772833387057
TR41,7.043263387680054
TR42,1.0994694328556458
TR51,11.438269980748494
TR52,14.205735731124879
TR61,8.303103772799174
TR62,5.526168940464656
TR63,13.191706577936808
TR71,13.077278327941894
TR72,6.218690572182338
TR81,0.08846353118618329
UKK1,0.043117532258232436
UKK2,0.020035972197850544
UKK3,0.03675484446187814
UKK4,0.003846210241317749
UKL1,0.005592532952626546
UKL2,0.009684711880981921
UKM5,0.0
UKM7,0.0
UKM8,0.0
UKM9,0.0
UKN0,0.0
SE21,0.6545021422362576
SE22,0.6123503359655539
SE23,0.5501655412837863
SE31,0.30177315849189956
SE32,0.16008453853428364
SE33,0.14703495122957974
SI03,0.03339682072401047
SI04,0.01789327897131443
SK01,1.096216438462337
SK02,0.8107414515068133
SK03,0.1563764236867428
SK04,0.17666446908066671
TR10,2.23159850773712
TR21,4.392836934203903
UKE4,0.030708230038483938
UKF1,0.05510482154786587
UKF2,0.11169188680748145
UKF3,0.11186523015300433
UKG1,0.06550317009290059
UKG2,0.023871073250969252
UKG3,0.06676138738791147
UKH1,0.11485836530725162
UKH2,0.1488666921854019
UKH3,0.09568047523498535
UKI3,0.11666666666666667
UKI4,0.11666666666666667
UKI5,0.11325256079435349
UKI6,0.08888889104127884
UKI7,0.13333333134651185
UKJ1,0.09723853866259256
UKJ2,0.07893536488215129
UKJ3,0.08884269098440806
UKJ4,0.027514944225549696
NO09,0.23863936827207605
NO0A,0.022691272338852285
NO0B,0.0
HR05,0.1279230167468389
HR06,0.15832529192169506
NO02,0.18848481078942617
NO06,0.038845419511199
NO07,0.025087722142537437
NO08,0.2502276251713435
