nuts,August Days With High Fire Danger (days) ensemble median - RCP4.5 - (2041 - 2070)
DE50,1.0373004883527757
DE60,1.010170536985
DE71,2.4387251203879714
DE72,1.1691725682467222
DE73,1.2080525480210782
DE80,1.3807742944608132
DE91,1.335096545269092
BG41,1.918747266381979
BG42,8.061464795470238
CH01,0.06413044811536868
AT32,0.009082293137907982
AT33,0.006563112791627646
AT34,0.02105625073115031
BE10,0.6667986551920573
BE23,0.5271928742527962
BE24,0.7886112630367279
BE25,0.45349679291248324
BE31,0.941113091011842
BE32,0.9365743268281221
BE33,0.7430683520932992
BE34,0.9156500385453303
BE35,0.9487985149025917
BG31,5.540806688865026
BG32,4.993426928731302
BG33,6.495056174198786
BG34,8.116694428709646
DE92,1.5528838773568472
DE93,1.454935461996744
DE94,1.314095381895701
CZ07,0.8075803227722644
CZ08,0.3806640952825546
AL01,3.2918677516281605
AL02,7.947940186659495
AL03,9.986763056119283
AT11,1.606968869144718
AT12,1.1318992838884394
AT13,2.4277911454439165
AT21,0.011175886541604996
AT22,0.023062220588326455
AT31,0.09129728606591622
DK05,0.39435455451409024
BE21,0.5998657907048861
BE22,1.0864289360741775
ES43,28.047798093159994
ES51,8.646267052491506
ES52,19.61620461146037
ES53,13.719493611653645
ES61,28.442901865641275
ES62,27.318250719706217
ES63,0.0
ES64,0.0
CH02,0.2781202004601558
CH03,0.4599857517828544
CH04,0.3285854297379653
CH05,0.046615706849843265
CH06,0.049238260462880136
CH07,0.003953132033348084
CY00,29.629387410481772
CZ01,1.9445109109083811
CZ02,1.812817526112
CZ03,0.6605598089906076
CZ04,1.5118188853065173
CZ05,0.8781586730852723
CZ06,1.167130738372604
DE40,2.1894131266201535
EL53,9.1930897941192
EL54,9.864797989527384
EL61,10.203884315490722
EL62,0.0
EL63,18.140706729888915
ES70,0.0
ITC1,0.8578818693757058
ITC2,0.146571172401309
DE11,1.2795896706481775
DE12,1.5847317536671957
DE13,0.6980486246446769
DE14,0.23666521310806274
DE21,0.27487662645677724
DE22,0.5142237725046773
DE23,0.8589125208556652
DE24,1.0551086475451787
DE25,1.4222890488803386
DE26,1.7224463129416108
DE27,0.3777929863271614
DE30,2.541652124126752
EL42,17.8
LV00,0.6378912817531576
ME00,1.930269552891453
MK00,7.640214723348618
MT00,0.0
NL11,0.6290676961342494
NL12,0.3194733336567879
EL64,17.681579065322875
EL65,23.21029904683431
ES11,4.999355480571588
ES12,0.33718031297127404
ES13,0.6251119708021482
ES21,1.6555480793118478
ES22,7.972165375947952
ES23,8.778489776452382
ES24,15.667683855692546
ES30,25.704528109232584
IE05,0.03638521625349919
IE06,0.06165943341329694
IS00,0.04582630229027321
ITC3,0.6091558160881202
FI19,0.2700074233813211
FI1B,0.40177410176644723
FI1C,0.39722449239343405
DEA1,0.9918693163742621
DEA2,0.9268728741755088
DEA3,1.413046617557605
DEA4,1.385377291838328
DEA5,0.8127842134485642
DEB1,1.4129137028629581
DEB2,1.3057070488110185
DEB3,2.357575650761525
DEC0,1.7362491930524508
DED2,1.2859413134555022
DED4,0.9389270485068361
DED5,2.1807110637426375
DEE0,1.7543324418986836
DEF0,0.7292610286424558
DEG0,1.2300383216391007
DK01,1.3834213758508365
DK02,1.1775380988915762
DK03,0.48834676935027044
DK04,0.3938686400651932
ES41,17.164608510335288
ES42,26.15490525563558
HU23,2.6872336268114547
HU31,2.5116025559293726
HU32,3.4017814725016553
HU33,3.6738986098828414
IE04,0.007672162850697836
EE00,0.36354361393799384
EL30,27.979025332132974
EL41,29.016666666666666
EL43,28.27769120534261
EL51,13.64856075545152
EL52,7.746521267915766
FI20,0.16666666666666666
FR10,2.2818364209185042
FRB0,3.093282346924146
FRC1,2.3646983642751973
FRC2,2.0153048837557437
FRD1,1.1737037641617158
FRD2,1.1050445385277272
FRE1,0.9081034626811743
FRE2,1.2972134603808323
FRF1,1.617692587338388
NL13,1.1551656497021516
NL21,1.3977309505144755
NL22,1.0346581899250546
NL23,1.0050792532662551
NL31,0.7552696471412976
NL32,0.4180160085360209
ITG2,23.743039306004842
ITH1,0.006511931245525678
ITH2,0.021466429345309734
FRI3,4.192949299017588
FRJ1,10.665456493695578
FRJ2,2.5873258064190545
FRK1,1.7496218494450053
FRK2,2.845195843776067
FRL0,10.39921040534973
FRM0,7.598524091641108
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,28.533700625101726
TR32,29.036840438842773
TR33,26.024340057373045
HR03,4.748127768188715
HR02,2.135226614276568
HU11,2.799970359603564
HU12,2.8234767792125544
HU21,3.4143589453150827
HU22,2.816876252492269
PT16,22.14351838429769
PT17,22.327921549479168
FRF2,1.7712568253278733
FRF3,1.6428622694686055
FRG0,3.533991252630949
FRH0,1.3591809006407858
FRI1,2.1629679447660846
FRI2,1.4921412083941201
ITC4,0.9919289566576481
ITF1,5.840044066309929
ITF2,10.445250654220581
ITF3,13.183996903896332
ITF4,20.898347028096516
ITF5,17.270491313934325
ITF6,7.6151191115379335
ITG1,23.36232131322225
LT01,0.5253336271891992
LT02,0.9391461126816769
LU00,1.1239666351427635
PL22,0.6356839373707771
PL41,1.799586210399866
PL42,1.1150411163456737
PT18,27.58706391652425
PT20,0.0
PT30,0.0
RO11,0.7552916238705317
RO12,0.13330749316761892
RO21,0.8801455590253074
RO22,5.105662727355957
RO31,2.923978632905831
RO32,2.168952337404092
ITH3,0.9928367383467654
ITH4,0.38062756359577177
ITH5,3.397130294578771
ITI1,7.4244399507840475
ITI2,11.996183649698894
ITI3,7.550897758702437
ITI4,12.183633375167847
LI00,0.0
FI1D,0.05751652101365228
TR82,13.448181454340617
TR83,16.19803638458252
TR90,2.383053437868754
TRA1,12.026654116312663
TRA2,0.736788402001063
PL43,2.459528128306071
PL51,1.0869639938076336
PL52,0.8648005566870173
PL61,0.8111792471570273
PL62,0.5473571119519571
PL63,0.4145830166526139
PL71,1.3350555882168313
PL72,0.7101907591956357
PL81,0.8915249063478162
PL82,0.40898314164951444
PL84,0.9034935235977173
PL91,0.771532817122837
PL92,0.8567380232115587
PT11,15.003956651687622
PT15,27.971505864461264
TRB1,29.16029675801595
TRB2,27.919873332977296
TRC1,30.727846972147624
RS12,4.645464336127043
RS21,2.9568913872664173
RS22,4.822026655077934
SE11,0.13360265816251438
SE12,0.1659633909817785
NL33,0.3823799396554629
NL34,0.3884776492913564
NL41,0.7805651272336642
NL42,1.2115589119493961
PL21,0.18572149261211354
UKM6,0.025781393827249605
TR22,25.812331612904867
TRC2,30.906818389892578
TRC3,30.955025990804035
UKC1,0.11582497333486876
UKC2,0.08770382218062878
UKD1,0.10517775416374206
UKD3,0.17001161773999532
UKD4,0.11756449739138285
UKD6,0.17660093220571677
UKD7,0.09337189594904581
UKE1,0.45662111466129623
UKE2,0.2838645705332359
UKE3,0.3754276027282079
RO41,3.2958296621839205
RO42,1.793771701057752
RS11,4.934724099437395
TR41,22.45560671488444
TR42,9.108286941051484
TR51,26.02520532608032
TR52,29.584865188598634
TR61,25.979887676239013
TR62,22.78948186238607
TR63,28.344008700052896
TR71,29.918774032592772
TR72,26.801478576660156
TR81,6.367248040934403
UKK1,1.1220591459423304
UKK2,0.7570282518863678
UKK3,0.3457240477204323
UKK4,0.2840216539800167
UKL1,0.07909423448145389
UKL2,0.13285332694649696
UKM5,0.055404994760950406
UKM7,0.05755087124804656
UKM8,0.029866004983584087
UKM9,0.05284084882587194
UKN0,0.0025325937817494075
SE21,0.39997231241626047
SE22,0.62009772559007
SE23,0.30836377615729965
SE31,0.053760937927290794
SE32,0.08407925917611768
SE33,0.05355430867057294
SI03,0.34647252631063263
SI04,0.31494886657843985
SK01,3.6169274737437567
SK02,2.671473188046366
SK03,0.3554286574323972
SK04,0.3037796267308295
TR10,16.096194313963256
TR21,21.137598959604897
UKE4,0.3621263531347116
UKF1,0.5248196313778559
UKF2,1.3502423016975322
UKF3,1.1631929737826188
UKG1,0.9234739646315575
UKG2,0.3605588642259439
UKG3,0.9115396961569786
UKH1,1.3297717452049256
UKH2,1.5231286195417246
UKH3,1.0937127376596132
UKI3,0.9666666626930237
UKI4,0.9081754595041275
UKI5,0.9377491066853205
UKI6,0.8890232235193253
UKI7,1.1539481848478317
UKJ1,1.2771113708615303
UKJ2,1.1872318893671037
UKJ3,1.128080561136206
UKJ4,1.018906973550717
NO09,0.24620497967116534
NO0A,0.04904315541498363
NO0B,0.0
HR05,1.747234271466732
HR06,1.5405648884673913
NO02,0.06049121773491303
NO06,0.028172304683054487
NO07,0.011494306405074895
NO08,0.1648173459805548
