nuts,April Days With High Fire Danger (days) (1981 - 2010)
DE50,0.0
DE60,0.0
DE71,0.01563782294591268
DE72,0.0
DE73,0.0
DE80,0.0004243646127482255
DE91,0.0
BG41,0.0024164716402689614
BG42,0.033818324220677216
CH01,0.0
AT32,0.0
AT33,0.0
AT34,0.0
BE10,0.0415996124347051
BE23,0.03587202106912931
BE24,0.03605895737806956
BE25,0.011900254835685095
BE31,0.012475061416625976
BE32,0.0
BE33,0.0019510064274072647
BE34,0.0
BE35,0.0034728248914082846
BG31,0.21791267146666846
BG32,0.07786031557867924
BG33,0.025826019545396168
BG34,0.03984902128577232
DE92,0.009043630212545395
DE93,0.0006563702598214149
DE94,0.031893834471702576
CZ07,0.014020966676374277
CZ08,0.007933828731377919
AL01,0.0
AL02,0.04273024598757426
AL03,0.038694829245408374
AT11,0.04702546373009682
AT12,0.07096714327732721
AT13,0.08325221141179402
AT21,0.0
AT22,0.0
AT31,0.0
DK05,0.0
BE21,0.0832363228003184
BE22,0.030453377962112428
ES43,1.7955058418524763
ES51,1.3568730593038103
ES52,3.8473719586928685
ES53,0.682710233827432
ES61,2.3795337691282232
ES62,7.164879818757375
ES63,0.23312284549077353
ES64,3.2666666666666666
CH02,0.0
CH03,0.0
CH04,0.0
CH05,0.0
CH06,0.0
CH07,0.021373426914215087
CY00,1.695122012620171
CZ01,0.1329853077729543
CZ02,0.0879579458385706
CZ03,0.007856187348564466
CZ04,0.08632766430576642
CZ05,0.02718390356749296
CZ06,0.0975336272890369
DE40,0.04903973924616973
EL53,0.018908956646919252
EL54,0.0
EL61,0.043456533613304295
EL62,0.01278965212404728
EL63,0.03355409664412339
ES70,4.08949672182401
ITC1,0.042697539925575255
ITC2,0.006694502631823222
DE11,0.008750232371191184
DE12,0.0036636345088481904
DE13,0.0
DE14,0.0
DE21,0.0
DE22,0.001850343868136406
DE23,0.005584574242432912
DE24,0.026503523190816242
DE25,0.023423864444096883
DE26,0.013945981363455455
DE27,0.000839395821094513
DE30,0.08752366999785105
EL42,0.3308579792579015
LV00,0.0
ME00,0.0
MK00,0.033715789082149665
MT00,0.058372779687245684
NL11,0.004491002857685089
NL12,0.007008360822995504
EL64,0.5351896309604247
EL65,0.24890826114763817
ES11,0.10256217097242673
ES12,0.005726832461853822
ES13,0.0
ES21,0.008057929078737895
ES22,0.6407878986249368
ES23,0.3517173526187738
ES24,2.780180447176099
ES30,1.6916180272897086
IE05,0.0
IE06,0.0
IS00,0.0
ITC3,0.007699292153120041
FI19,0.0
FI1B,0.0
FI1C,0.0
DEA1,0.05353231430053711
DEA2,0.014216582973798115
DEA3,0.0701315462589264
DEA4,0.027127462128798168
DEA5,0.029927700261274972
DEB1,0.003090146432320277
DEB2,0.0
DEB3,0.011125213528672854
DEC0,0.005155263344446818
DED2,0.01328031172355016
DED4,0.0040196612477302555
DED5,0.01655277709166209
DEE0,0.008874436716238658
DEF0,0.0
DEG0,0.0071507503588994345
DK01,0.0017361432313919068
DK02,0.0
DK03,0.0012518970916668573
DK04,0.0
ES41,0.7401430133419732
ES42,2.62304044055442
HU23,0.07451844960451126
HU31,0.4374023927996556
HU32,0.4300894762699803
HU33,0.2765648776044448
IE04,0.0
EE00,0.0
EL30,1.190032419313987
EL41,0.22276904520889124
EL43,1.7597920536994933
EL51,0.03447856766482194
EL52,0.024329931723574796
FI20,0.0
FR10,0.052322016656398775
FRB0,0.11657705307006835
FRC1,0.017538569836566844
FRC2,0.0020008570204178493
FRD1,0.011797065660357476
FRD2,0.04124585787455241
FRE1,0.006226573884487152
FRE2,0.031570192178090414
FRF1,0.004389074444770813
NL13,0.03347756067911784
NL21,0.07255629499753316
NL22,0.07240313688913981
NL23,0.06676880518595378
NL31,0.06666666666666667
NL32,0.020518132050832114
ITG2,0.27470024252931274
ITH1,0.0
ITH2,0.0
FRI3,0.27973512082050245
FRJ1,0.5855674629410108
FRJ2,0.06926973219960927
FRK1,0.0351432650970916
FRK2,0.0959415789693594
FRL0,0.5801404880980651
FRM0,0.053797695164879165
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.1859281496455272
TR32,0.6363270909525454
TR33,0.7704333319018285
HR03,0.004792232190569242
HR02,0.03975579738616943
HU11,0.5252962946891785
HU12,0.5087650194764137
HU21,0.1989526631931464
HU22,0.09684346119562785
PT16,0.640482674818486
PT17,0.6880199633538723
FRF2,0.016889716498553753
FRF3,0.0065446340789397555
FRG0,0.1223667581876119
FRH0,0.02998828192551931
FRI1,0.1613534855345885
FRI2,0.1604609727859497
ITC4,0.14010312582055728
ITF1,0.0020247218509515125
ITF2,0.03331067711114884
ITF3,0.0007704370344678561
ITF4,0.2325392695143819
ITF5,0.11336560845375061
ITF6,0.04227785430848598
ITG1,0.4170004712417722
LT01,0.0
LT02,0.00039524541546901066
LU00,0.0
PL22,0.07889132499694824
PL41,0.10273132026195526
PL42,0.019289298666020235
PT18,1.8217379624334475
PT20,0.0
PT30,0.0931754544377327
RO11,0.054398743559916814
RO12,0.0025991218785444896
RO21,0.03247776801387469
RO22,0.10877112317830324
RO31,0.14862924618646503
RO32,0.08009996687372525
ITH3,0.029954285671313603
ITH4,0.0
ITH5,0.08380362937847773
ITI1,0.004373485563943783
ITI2,0.0
ITI3,0.0
ITI4,0.0
LI00,0.0
FI1D,0.0
TR82,0.21895605276028315
TR83,0.24392820230374734
TR90,0.0006931805362304052
TRA1,0.01851271608223518
TRA2,0.05010131659607093
PL43,0.09366588294506073
PL51,0.047046876202027
PL52,0.08979058302938939
PL61,0.07024054527282715
PL62,0.03018121123313904
PL63,0.034532248973846436
PL71,0.14204997376849254
PL72,0.06219530502955119
PL81,0.013787349872291087
PL82,0.00373030590514342
PL84,0.05504468282063802
PL91,0.06817366282145182
PL92,0.05847577080130577
PT11,0.26493118746827043
PT15,1.8208781693130731
TRB1,0.15167030993228156
TRB2,0.06265962080409129
TRC1,1.3358576270441214
RS12,0.29266955380638443
RS21,0.03070458974689245
RS22,0.05368544729426503
SE11,0.0
SE12,0.0
NL33,0.026661733786265056
NL34,0.030573377509911855
NL41,0.07107919851938883
NL42,0.051136358578999834
PL21,0.015084343155225118
UKM6,0.0
TR22,0.12552710824335614
TRC2,2.5950103091076016
TRC3,0.9329491509745519
UKC1,0.0
UKC2,0.0
UKD1,0.0
UKD3,0.0
UKD4,0.0
UKD6,0.0
UKD7,0.0
UKE1,0.0
UKE2,0.0
UKE3,0.0
RO41,0.26238109096884726
RO42,0.05337636979917685
RS11,0.16352437188227972
TR41,0.8991173231042922
TR42,0.05266321382174889
TR51,1.438297343874971
TR52,2.034141093616684
TR61,0.24676864904661974
TR62,0.3454892968758941
TR63,0.4074510126064221
TR71,1.7352625019848347
TR72,0.49307465949095786
TR81,0.0
UKK1,0.02967852105696996
UKK2,0.018617941439151763
UKK3,0.0
UKK4,0.0012752110759417215
UKL1,0.002518187959988912
UKL2,0.004847692946592967
UKM5,0.0
UKM7,0.0
UKM8,0.0
UKM9,0.0
UKN0,0.0
SE21,0.0031101344774166744
SE22,0.0017113592475652695
SE23,0.00641276373838385
SE31,0.0
SE32,0.0
SE33,0.0
SI03,0.0
SI04,0.0
SK01,0.16371998563408852
SK02,0.17851067557930947
SK03,0.049225902060667674
SK04,0.05021427726993958
TR10,0.02496670881907145
TR21,0.11626323362191518
UKE4,0.0
UKF1,0.0
UKF2,0.0033607766032218932
UKF3,0.0033623851835727693
UKG1,0.01312214732170105
UKG2,0.001197311282157898
UKG3,0.011142685015996297
UKH1,0.0225772758324941
UKH2,0.022172830502192178
UKH3,0.029117602109909057
UKI3,0.016666666666666666
UKI4,0.016666666666666666
UKI5,0.020007342100143433
UKI6,0.022222222884496053
UKI7,0.0
UKJ1,0.01471900443236033
UKJ2,0.011081199844678242
UKJ3,0.02585846185684204
UKJ4,0.00980393886566162
NO09,0.0
NO0A,0.0
NO0B,0.0
HR05,0.0
HR06,0.0010368195051948228
NO02,0.0
NO06,0.0
NO07,0.0
NO08,0.0
