nuts,September Days With High Fire Danger (days) ensemble median - RCP4.5 - (2041 - 2070)
DE50,0.06022074396411578
DE60,0.10685465435187022
DE71,1.0889451158543428
DE72,0.5157903065904975
DE73,0.2629196088761091
DE80,0.2640863052258889
DE91,0.3008375737816095
BG41,0.7970046172539393
BG42,4.359003603210052
CH01,0.012307771729926269
AT32,0.0
AT33,0.0013217848725616931
AT34,0.0
BE10,0.6000439961751302
BE23,0.46142862513661387
BE24,0.6350903724630673
BE25,0.4669109997649988
BE31,0.7410861906905969
BE32,0.596415734042724
BE33,0.7997331544756889
BE34,0.7383086308836937
BE35,0.6410607260962328
BG31,2.984567578633626
BG32,1.4506978728808462
BG33,1.6893898559113343
BG34,3.1549556384483974
DE92,0.30201917625963687
DE93,0.28412615104267996
DE94,0.18307305139799912
CZ07,0.16548728123307227
CZ08,0.08830094585816066
AL01,1.1103863385816415
AL02,3.839097472280264
AL03,3.985096942136685
AT11,0.24676767277220885
AT12,0.18457344993948938
AT13,0.24435096929470698
AT21,0.0
AT22,0.0007950566709041595
AT31,0.002403423438469569
DK05,0.0454006016254425
BE21,0.5725949356953303
BE22,0.8606937213490407
ES43,17.958128865559896
ES51,2.952031192618112
ES52,9.673999587694803
ES53,3.896690316994985
ES61,17.482619992891948
ES62,16.123681529362997
ES63,0.0
ES64,0.0
CH02,0.04338773842900991
CH03,0.06809830889105797
CH04,0.0071393027901649475
CH05,0.004230121864626805
CH06,0.0024678908288478852
CH07,0.0
CY00,26.15864756902059
CZ01,0.20792948802312214
CZ02,0.21979319971675673
CZ03,0.04726565442979336
CZ04,0.1466833774621288
CZ05,0.13013058491051196
CZ06,0.2409966950615247
DE40,0.4440851143250863
EL53,4.935989986856779
EL54,4.348042086015145
EL61,5.100544993082682
EL62,0.0
EL63,7.821876152356466
ES70,0.0
ITC1,0.23208554483329255
ITC2,0.020351077243685723
DE11,0.35821575820446017
DE12,0.7874343362326424
DE13,0.264847236375014
DE14,0.04910276538381974
DE21,0.020866166738172372
DE22,0.02132142580424746
DE23,0.0913567990064621
DE24,0.13048133837680023
DE25,0.24326166057338316
DE26,0.4412562860175967
DE27,0.03559237429872155
DE30,0.5082604090372721
EL42,15.0
LV00,0.07232739264145494
ME00,0.688842857008179
MK00,4.033613418787718
MT00,0.0
NL11,0.128385645399491
NL12,0.06242045188943545
EL64,8.204300045967102
EL65,12.007526143391926
ES11,3.795906006793181
ES12,0.4429974012076855
ES13,0.5707987353205681
ES21,1.290646651138862
ES22,5.444021659096082
ES23,5.598406440764665
ES24,9.137908271948497
ES30,15.873167006174723
IE05,0.08545193650449316
IE06,0.11756698237732052
IS00,0.0055759469823290905
ITC3,0.13168281006316343
FI19,0.047312299410502114
FI1B,0.016015525658925375
FI1C,0.010912412699932853
DEA1,0.5747740377982458
DEA2,0.811483933031559
DEA3,0.47155100634942454
DEA4,0.311516999018689
DEA5,0.38508057668805123
DEB1,0.9287105992436409
DEB2,0.9885248466084401
DEB3,0.9623344298452139
DEC0,0.8446204546838999
DED2,0.1387773358573516
DED4,0.06948156692087651
DED5,0.3759420052170753
DEE0,0.3974926906327407
DEF0,0.06419460829347372
DEG0,0.287716872493426
DK01,0.0500000258286794
DK02,0.05550984690586726
DK03,0.03418961763381958
DK04,0.046228018465141456
ES41,11.086793553829192
ES42,16.76676301956177
HU23,0.36122191017493605
HU31,1.1277213045706351
HU32,1.6605436015874147
HU33,1.2759497405340274
IE04,0.038622905624409516
EE00,0.026737000482777756
EL30,19.600682004292807
EL41,19.7
EL43,20.3487842241923
EL51,8.388227379322052
EL52,4.371979878346125
FI20,0.2
FR10,2.7199895245954395
FRB0,4.429722302655379
FRC1,1.7801850840449334
FRC2,0.9054482856144508
FRD1,1.2787239589417974
FRD2,0.950227553024888
FRE1,0.6146849621708195
FRE2,1.1736357992514967
FRF1,0.4847264035915335
NL13,0.12323806993663311
NL21,0.20340984761714936
NL22,0.32097396403551104
NL23,0.13364432454109193
NL31,0.2055223728219668
NL32,0.09180626074473063
ITG2,9.809845809141795
ITH1,0.0021673480048775675
ITH2,0.0009221890320380529
FRI3,4.957073486720522
FRJ1,4.649138255914052
FRJ2,2.1948112433155376
FRK1,1.7730478344485163
FRK2,1.3023941832594574
FRL0,3.540098050578187
FRM0,2.6144180934876204
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,19.843805336952208
TR32,22.013464864095052
TR33,18.72284024556478
HR03,1.5959248453378678
HR02,0.4284694229873518
HU11,0.8165934676925342
HU12,1.16991808693856
HU21,0.5743795987839501
HU22,0.46502140214045845
PT16,14.412452669938405
PT17,14.416149099667868
FRF2,1.4359455329055588
FRF3,0.961443958648791
FRG0,4.853781830271085
FRH0,2.9817690384574234
FRI1,2.863887689417849
FRI2,2.672840111454328
ITC4,0.1791565004736185
ITF1,0.7244751185178757
ITF2,2.8593437717606625
ITF3,2.6645966917276382
ITF4,7.669506287078063
ITF5,5.069695114158094
ITF6,1.702560999368628
ITG1,8.277476342891653
LT01,0.3113604227701823
LT02,0.15957764199314017
LU00,0.8585040450096131
PL22,0.24532149092604716
PL41,0.6495419130350153
PL42,0.1870365565021833
PT18,17.96591840783755
PT20,0.0
PT30,0.0
RO11,0.29695235323160885
RO12,0.06063313235839208
RO21,0.41592622039218746
RO22,2.208242654489974
RO31,1.511652547866106
RO32,0.9212485412756602
ITH3,0.12211457509547471
ITH4,0.02057753298431635
ITH5,0.9080978443225225
ITI1,1.6105322713963688
ITI2,2.9319477466866375
ITI3,1.4397996270408233
