nuts,Autumn Days With High Fire Danger (days) (1981 - 2010)
DE50,0.014341350396474202
DE60,0.06118817081054052
DE71,0.25584028561909994
DE72,0.045684032638867694
DE73,0.018990539014339447
DE80,0.05226234005143245
DE91,0.012975278000036875
BG41,0.699551926429073
BG42,3.7038705282534163
CH01,0.0
AT32,0.0
AT33,0.0
AT34,0.0
BE10,0.016711368163426717
BE23,0.02569000671307246
BE24,0.03056300530831019
BE25,0.035739124814669294
BE31,0.03333333333333333
BE32,0.03684116105238597
BE33,0.017610987027486164
BE34,0.03353210687637329
BE35,0.013983699679374694
BG31,2.443197123830517
BG32,1.4055468916272125
BG33,1.2529615249484778
BG34,2.4403019029647113
DE92,0.03415834903717041
DE93,0.06485420844207207
DE94,0.010246355334917705
CZ07,0.12365482511619727
CZ08,0.13169459700584413
AL01,0.5665470438698927
AL02,2.7368158273398877
AL03,3.009153529442847
AT11,0.3032730167110761
AT12,0.2354796481008331
AT13,0.424736350774765
AT21,0.0
AT22,0.0020580378050605455
AT31,0.0
DK05,0.021180194864670435
BE21,0.02854736844698588
BE22,0.06932238911588987
ES43,21.803695249557496
ES51,3.2600671042998632
ES52,10.648524371782939
ES53,4.104196719328562
ES61,21.212093607584634
ES62,19.440481797854105
ES63,7.640433530012767
ES64,19.233333333333334
CH02,0.006235360105832418
CH03,0.01330803632736206
CH04,0.0
CH05,0.0
CH06,0.0
CH07,0.01222122386097908
CY00,23.963936360677085
CZ01,0.37254679054021833
CZ02,0.2878083790342013
CZ03,0.01266183735181888
CZ04,0.17169228214770554
CZ05,0.16589887297401826
CZ06,0.3046427484601736
DE40,0.15186350035170715
EL53,4.696363000323375
EL54,2.9924536516269047
EL61,5.093548971414566
EL62,1.7339138894031445
EL63,6.644014248500268
ES70,15.569553724924724
ITC1,0.17552963364869356
ITC2,0.01785200834274292
DE11,0.09059688871105512
DE12,0.12650349885225295
DE13,0.03690575957298279
DE14,0.0011022799958785375
DE21,0.0
DE22,0.0027755158642927807
DE23,0.0018740040560563406
DE24,0.058787603427966434
DE25,0.07251985023419062
DE26,0.1992221474647522
DE27,0.0
DE30,0.16268968482812246
EL42,22.828533045450847
LV00,0.07323289004464945
ME00,0.27326356420914333
MK00,3.5126883377631506
MT00,6.100736343860627
NL11,0.0
NL12,0.0
EL64,12.758318210517366
EL65,15.235662784179052
ES11,1.6090924488380551
ES12,0.07817918844521046
ES13,0.54469819466273
ES21,0.7771322061618169
ES22,5.211777507265409
ES23,5.188218275085092
ES24,10.365309582153957
ES30,18.065994532903037
IE05,0.0018466553340355555
IE06,0.0
IS00,0.0
ITC3,0.37642141009370483
FI19,0.0
FI1B,0.006161527832349142
FI1C,0.002940170730774601
DEA1,0.050917157406608266
DEA2,0.04874778265754382
DEA3,0.02301562378803889
DEA4,0.018445735176404316
DEA5,0.010666241496801376
DEB1,0.14866126577059427
DEB2,0.13894880612691243
DEB3,0.2565318815410137
DEC0,0.14108561674753825
DED2,0.12817590534687043
DED4,0.023790101955334344
DED5,0.1705949202179909
DEE0,0.0550643865019083
DEF0,0.04961803996314605
DEG0,0.055766584786276024
DK01,0.0331772988041242
DK02,0.056060671185453735
DK03,0.06476950645446777
DK04,0.030910342435042062
ES41,10.45827603340149
ES42,20.186243883768718
HU23,0.5121191035335263
HU31,1.021278082455198
HU32,1.4347108528017998
HU33,1.2248199144999186
IE04,0.0
EE00,0.05591193381696939
EL30,23.364855686823528
EL41,23.02356057961782
EL43,24.319675175348916
EL51,8.714188061157863
EL52,4.262962188323339
FI20,0.011748936772346497
FR10,0.2749688521027565
FRB0,0.691317482944578
FRC1,0.11610283019642036
FRC2,0.13047438338398934
FRD1,0.11359924438099066
FRD2,0.09408266463627418
FRE1,0.050419829847912
FRE2,0.0789341810469826
FRF1,0.12617098862926165
NL13,0.002803101638952891
NL21,0.021587747832139334
NL22,0.017331055303414663
NL23,0.015413817763328553
NL31,0.008333333333333333
NL32,0.001859526832898458
ITG2,9.200408307711283
ITH1,0.0
ITH2,0.0
FRI3,1.4927532921234767
FRJ1,3.54541395008564
FRJ2,0.6424227097692589
FRK1,0.17593616442754864
FRK2,0.5044662719592452
FRL0,3.663355767726898
FRM0,2.974398335814476
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,26.834735242525735
TR32,28.670861832300822
TR33,25.373073625564576
HR03,0.8700741642154753
HR02,0.4065629261235396
HU11,0.8674173017342885
HU12,0.9770776459326347
HU21,0.6569309952358405
HU22,0.5263475925972064
PT16,11.8093923330307
PT17,8.584983762105306
FRF2,0.06471753896524508
FRF3,0.0729802180081606
FRG0,1.1637224429597457
FRH0,0.341422030578057
FRI1,0.795691342993329
FRI2,0.20093001189331214
ITC4,0.34032531526560583
ITF1,0.5486236854766806
ITF2,2.5258195733030635
ITF3,2.2303547062600653
ITF4,6.633639861146609
ITF5,6.644075497984886
ITF6,2.678517183661461
ITG1,6.916596549749374
LT01,0.07790599664052328
LT02,0.06342843112846215
LU00,0.07963519891103109
PL22,0.19157628379762173
PL41,0.29486687829097114
PL42,0.13588715853790442
PT18,20.555458943049114
PT20,0.0
PT30,1.9908824349443117
RO11,0.25498191403845943
RO12,0.02393547911196947
RO21,0.30748668449620403
RO22,1.694898398220539
RO31,1.2735600923498471
RO32,0.6847621959944566
ITH3,0.13948171424369019
ITH4,0.04393034130334854
ITH5,0.847813353749613
ITI1,1.4079767699042955
ITI2,2.542075685535868
ITI3,1.1388168660923839
ITI4,1.565372350315253
LI00,0.0
FI1D,0.0
