nuts,Annual Days With High Fire Danger (days) (1981 - 2010)
DE50,0.3918393219510714
DE60,1.2635967095692953
DE71,2.131153651451071
DE72,0.6537959362069766
DE73,0.5085374901692072
DE80,1.5774502341014645
DE91,1.1979203221698602
BG41,3.950439717868964
BG42,15.95385140577952
CH01,0.0432768185933431
AT32,0.001062396913766861
AT33,0.0
AT34,0.0
BE10,0.4580427641669909
BE23,0.5358033982415994
BE24,0.49130160361528397
BE25,0.5025864191353321
BE31,0.35412510534127556
BE32,0.31368809988101326
BE33,0.20380833223462105
BE34,0.4205298533042272
BE35,0.19261172947784264
BG31,13.257072108983994
BG32,10.011198034261664
BG33,8.759664835035801
BG34,12.347746137777964
DE92,1.2406019593278568
DE93,1.8065729315703114
DE94,0.7328985270112753
CZ07,1.2134632348393402
CZ08,0.6888147885600726
AL01,3.3202046593030294
AL02,18.353907267252605
AL03,20.566803979873658
AT11,4.406419440483053
AT12,2.6442315032084784
AT13,5.523762859900793
AT21,0.009461690112948418
AT22,0.10804302021861076
AT31,0.11793716214597225
DK05,0.6716286490360895
BE21,0.8821878150105477
BE22,0.6320628973344962
ES43,96.69586690266927
ES51,23.92081812222799
ES52,63.32592245737712
ES53,20.38645936648051
ES61,93.61223322550455
ES62,105.50251668294271
ES63,35.53213310241699
ES64,93.33333333333333
CH02,0.1557025338212649
CH03,0.24966797480980554
CH04,0.24424463361501694
CH05,0.04491305351257324
CH06,0.06978688637415568
CH07,0.21385770390431086
CY00,72.39577496846518
CZ01,2.6820797115564345
CZ02,2.2678667979935807
CZ03,0.39089834404488405
CZ04,1.7219930931925773
CZ05,1.3907593614111344
CZ06,2.908287166804075
DE40,3.389026821653048
EL53,25.924309182167054
EL54,19.481587568918865
EL61,28.310973183314005
EL62,6.936303130785624
EL63,37.30770448048909
ES70,68.71897341410319
ITC1,2.008884925643603
ITC2,0.39051266610622404
DE11,0.9792923862735431
DE12,1.295027799035112
DE13,0.4844065594797333
DE14,0.15249337293207646
DE21,0.2188358647748828
DE22,0.35720554490884143
DE23,0.5340286703780294
DE24,0.6887987477084001
DE25,1.0053026753167311
DE26,1.3453203768779833
DE27,0.23602828644216062
DE30,4.22976065625747
EL42,61.22070032755534
LV00,0.9150751734773318
ME00,1.5705432576437792
MK00,19.028894035021462
MT00,14.434490235646566
NL11,0.14501442139347395
NL12,0.0628091527769963
EL64,58.35719401041667
EL65,61.857592519124346
ES11,5.3336774488290155
ES12,0.14680702462792397
ES13,1.4405775626500448
ES21,2.263171366105477
ES22,23.682335408528647
ES23,21.733447456359862
ES24,54.6747194925944
ES30,80.18658383687337
IE05,0.0022057695935169858
IE06,0.004573708772659302
IS00,0.014588448048258821
ITC3,1.1965414437154929
FI19,0.44461916436751686
FI1B,1.0987769625460109
FI1C,0.7650055730715394
DEA1,1.0147286800046762
DEA2,0.7180866594115893
DEA3,1.517761397610108
DEA4,1.112938076754411
DEA5,0.748332108805577
DEB1,1.2434574510281284
DEB2,0.9991628063221772
DEB3,2.5897771405677
DEC0,1.5891655025382836
DED2,1.4551790249844392
DED4,0.4984738249331713
DED5,2.099947149430712
DEE0,2.2568182154248158
DEF0,0.7670760504280527
DEG0,0.7499876146515211
DK01,1.2538592959443728
DK02,0.963710184271137
DK03,0.805118007088701
DK04,0.7438719746967156
ES41,46.190761756896975
ES42,92.3730962117513
HU23,6.598219577719768
HU31,9.761384057750304
HU32,11.336076910545428
HU33,11.268051814412077
IE04,0.0
EE00,0.8180495329822103
EL30,82.3779130299886
EL41,71.84627749125163
EL43,81.31635894775391
EL51,30.521866512298583
EL52,22.809589568773905
FI20,0.05681638742486636
FR10,2.867360846946637
FRB0,4.3407152339816095
FRC1,1.709027925071617
FRC2,1.308581811375916
FRD1,0.8749951802194118
FRD2,1.066265653570493
FRE1,0.4513284891222914
FRE2,0.991308045387268
FRF1,1.4633396261682112
NL13,0.40690302302440007
NL21,1.0312197640538217
NL22,1.0725828630228837
NL23,0.7430093199014663
NL31,0.9166666666666666
NL32,0.23136249234278997
ITG2,49.68740673065186
ITH1,0.0
ITH2,0.0
FRI3,6.20558699965477
FRJ1,21.349032179514566
FRJ2,3.2772595745821795
FRK1,1.3391353431157769
FRK2,4.284617336591085
FRL0,24.217435582478842
FRM0,13.71290283203125
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,99.85582071940104
TR32,97.24177220662435
TR33,87.99024022420248
HR03,6.246246055761973
HR02,5.000232216219107
HU11,11.505452034870784
HU12,11.001147733380398
HU21,8.20614790506661
HU22,6.441075852513313
PT16,51.275092887878415
PT17,40.4358777364095
FRF2,1.4518592429657777
FRF3,1.573637481406331
FRG0,4.350597276445479
FRH0,1.12261545881629
FRI1,3.601855379343033
FRI2,1.32474095163246
ITC4,3.5874212215344112
ITF1,7.304900908470154
ITF2,18.164567295710246
ITF3,16.71882619659106
ITF4,42.991627057393394
ITF5,44.48527002334595
ITF6,18.439644304911294
ITG1,42.5795591990153
LT01,1.0375267426172892
LT02,1.0229867417520533
LU00,0.8145458370447158
PL22,1.243114489503205
PL41,4.808328460653623
PL42,2.3382960927983123
PT18,92.82088470458984
PT20,0.0
PT30,6.572365427017212
RO11,1.8829724623511235
RO12,0.3539663646991054
RO21,3.26898483466357
RO22,13.049666627744834
RO31,9.711416684587796
RO32,7.533939966807763
ITH3,1.8505908854305744
ITH4,0.6173942511280378
ITH5,8.871464611093204
ITI1,12.019981094201405
ITI2,23.196719308694203
ITI3,11.07616037329038
ITI4,16.918875161806742
LI00,0.0
