nuts,October Days With High Fire Danger (days) ensemble median - RCP4.5 - (2041 - 2070)
DE50,0.010009650389353435
DE60,0.013341097036997478
DE71,0.10077827498316765
DE72,0.017218904942274092
DE73,0.059003742535909016
DE80,0.057573968172073366
DE91,0.09896668270230294
BG41,0.05452999174594879
BG42,0.7112173937881986
CH01,0.0055661792556444805
AT32,0.0007002528135975201
AT33,0.002206353594859441
AT34,0.0017672311514616013
BE10,0.3667546590169271
BE23,0.2892320018261671
BE24,0.408481831351916
BE25,0.27682360212008156
BE31,0.25638336564103764
BE32,0.4408502422273159
BE33,0.1356073337296645
BE34,0.09013789109885692
BE35,0.1423605700333913
BG31,0.25418605990707877
BG32,0.0837916017199556
BG33,0.15599533499528964
BG34,0.5142126392573119
DE92,0.05342621405919393
DE93,0.03905436834320426
DE94,0.0849573423465093
CZ07,0.024099981784820555
CZ08,0.016658292214075724
AL01,0.15817502550780774
AL02,0.43396670669317244
AL03,0.3732018252213796
AT11,0.026095350583394367
AT12,0.026602205478896697
AT13,0.03333333333333333
AT21,0.001227497806151708
AT22,0.0
AT31,0.0009576449170708657
DK05,0.001519026607275009
BE21,0.2986153175433477
BE22,0.3510032204290231
ES43,6.411134034271042
ES51,0.8475726846295099
ES52,3.4866583154847226
ES53,0.8074564139048258
ES61,6.876681176821391
ES62,4.9772750248511635
ES63,0.0
ES64,0.0
CH02,0.0034739598631858826
CH03,0.0
CH04,0.0
CH05,0.002874898537993431
CH06,0.0
CH07,0.0
CY00,13.29031509955724
CZ01,0.029101139307022093
CZ02,0.07756935643653075
CZ03,0.00478551983833313
CZ04,0.01954316832125187
CZ05,0.06025076533357302
CZ06,0.01969890942176183
DE40,0.05214481440683206
EL53,0.6250031822671492
EL54,0.4068373303860426
EL61,0.6404427252709866
EL62,0.0
EL63,1.27499182994167
ES70,0.0
ITC1,0.0861539624320964
ITC2,0.027502800275882085
DE11,0.05214658404390017
DE12,0.06304430688420931
DE13,0.03136514400442441
DE14,0.022820013264815014
DE21,0.003073754161596298
DE22,0.00623976985613505
DE23,0.0407381018002828
DE24,0.10295429043471813
DE25,0.11294935444990793
DE26,0.07093309859434764
DE27,0.009906850258509318
DE30,0.029156458377838135
EL42,5.566666666666666
LV00,0.011213851099212965
ME00,0.08603125512599945
MK00,0.4289922010463973
MT00,0.0
NL11,0.12291718324025472
NL12,0.0789592425028483
EL64,2.3439786692460376
EL65,3.1539578929543497
ES11,1.0234403255395592
ES12,0.23058802237113316
ES13,0.25782287555436295
ES21,0.5105990651374062
