nuts,August Days With High Fire Danger (days) (1981 - 2010)
DE50,0.2533546030521393
DE60,0.6124087631702423
DE71,1.2154662180691957
DE72,0.3535052994887034
DE73,0.35273147622744244
DE80,0.6028513146564365
DE91,0.7125114013751348
BG41,1.5228124671926102
BG42,6.445855955034494
CH01,0.028513415654500326
AT32,0.001062396913766861
AT33,0.0
AT34,0.0
BE10,0.15808747261762618
BE23,0.23322295397520065
BE24,0.14702105696002643
BE25,0.2905959571401278
BE31,0.07500554323196411
BE32,0.11750146845976511
BE33,0.09228924363851547
BE34,0.26458184147874514
BE35,0.08433509568373362
BG31,4.295044064273437
BG32,4.2770309338967
BG33,4.157508489117026
BG34,5.502489007761081
DE92,0.7384392045438289
DE93,0.8108782830337683
DE94,0.36440824599315724
CZ07,0.604410934386154
CZ08,0.388928326467673
AL01,1.5376282756527264
AL02,6.826676978667577
AL03,7.721625590324402
AT11,1.5878997150808574
AT12,0.9923837936793765
AT13,2.17449297507604
AT21,0.004205195605754853
AT22,0.07794272564351559
AT31,0.07808833122253418
DK05,0.21842692556480567
BE21,0.29962461118896805
BE22,0.18018449793259303
ES43,26.948809560139974
ES51,5.034547493855158
ES52,14.178916343053181
ES53,6.4665683587392175
ES61,24.43728822072347
ES62,22.696351305643717
ES63,10.271170886357625
ES64,22.4
CH02,0.09487712855140368
CH03,0.1464674562215805
CH04,0.1923673629760742
CH05,0.036672751108805336
CH06,0.041534423828125
CH07,0.04582959016164144
CY00,14.624876340230307
CZ01,1.0122127016385396
CZ02,0.8878520401815574
CZ03,0.27616372977693876
CZ04,0.6428560966004928
CZ05,0.5550358857338628
CZ06,1.0694715417300662
DE40,1.0578270522256692
EL53,8.600740579764048
EL54,7.692421865959962
EL61,8.872276556491851
EL62,2.3714374735951425
EL63,13.014648882548014
ES70,11.3088849067688
ITC1,0.661204365392526
ITC2,0.21422409216562907
DE11,0.7260104907055696
DE12,0.8640920162200928
DE13,0.3015303938339154
DE14,0.11487501561641693
DE21,0.1763767302657167
DE22,0.25525311355789504
DE23,0.4096710607409477
DE24,0.4204230980326732
DE25,0.697332181284825
DE26,0.8698906624068816
DE27,0.1817787829786539
DE30,1.2500953276952107
EL42,16.013082377115886
LV00,0.23511706832796336
ME00,0.8618069688479105
MK00,6.518469060460727
MT00,3.567034778992335
NL11,0.062408822526534395
NL12,0.025076844667394956
EL64,16.478482564290363
EL65,17.61323159535726
ES11,2.1709924335281054
ES12,0.04956846665591001
ES13,0.5000311036904653
ES21,0.8083920481304327
ES22,6.400263556838036
ES23,7.017336415996154
ES24,12.415710703531902
ES30,23.77378206253052
IE05,0.00035911425948143005
IE06,0.0013100278874238333
IS00,0.003501996025443077
ITC3,0.27519100916882355
FI19,0.07243561642244459
FI1B,0.21730812142292658
FI1C,0.1242622054492434
DEA1,0.29294980416695277
DEA2,0.29285732507705686
DEA3,0.6351369097828865
DEA4,0.6779833048582077
DEA5,0.33370912273724873
DEB1,0.6295177852114041
DEB2,0.5395260376234849
DEB3,1.4153698669125636
DEC0,0.8495034632583459
DED2,0.4665110856294632
DED4,0.2620619398852189
DED5,0.8236234097431103
DEE0,0.9859386655191581
DEF0,0.3418816698094209
DEG0,0.43749277517199514
DK01,0.4488565410176913
DK02,0.3854878105223179
DK03,0.24651567147423822
DK04,0.23855487257242203
ES41,14.556320285797119
ES42,25.071175225575765
HU23,2.459342462817828
HU31,2.370881489912669
HU32,2.9990058333923417
HU33,3.5016704144577186
IE04,0.0
EE00,0.16766940814753373
EL30,20.041408411661784
EL41,20.1539405186971
EL43,18.441966374715168
EL51,10.73970856666565
EL52,7.489735472202301
FI20,0.015695109715064368
FR10,1.4259829822927714
FRB0,1.7855319525736073
FRC1,0.9817465285770595
FRC2,0.7224203643699487
FRD1,0.4410586208725969
FRD2,0.5925662664696574
FRE1,0.24187765792012214
FRE2,0.6074158095444242
FRF1,0.8019638827691475
NL13,0.13370145857334137
NL21,0.35363005598386127
NL22,0.3602825979391734
NL23,0.24941800410548845
NL31,0.30833333333333335
NL32,0.06905584434668223
ITG2,15.767992401123047
ITH1,0.0
ITH2,0.0
FRI3,2.0655275924752154
FRJ1,5.7737061262130736
FRJ2,1.0488557856529952
FRK1,0.5791615450754761
FRK2,1.3872233066707849
FRL0,7.069981924692789
FRM0,4.7518782416979475
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,27.087463251749675
TR32,24.65172602335612
TR33,24.145875040690104
HR03,2.9170560598373414
HR02,2.1913944726809857
HU11,3.0345580101013185
HU12,2.8490949261933567
HU21,2.7809658790628116
HU22,2.358656478797396
PT16,15.897517172495524
PT17,11.474306233723958
FRF2,0.9230451894613604
FRF3,0.9120181010415157
FRG0,1.451362744004776
FRH0,0.32596428965528806
FRI1,1.227632542947928
FRI2,0.6142471736917893
ITC4,1.1004636909812688
ITF1,3.4857917821655673
ITF2,6.636183087031046
ITF3,6.662804781707624
ITF4,12.996343461672465
ITF5,14.33611779610316
ITF6,6.11649569272995
ITG1,12.249750312169393
LT01,0.2986529335379601
LT02,0.2514890459831804
LU00,0.47532234887282054
PL22,0.4523702648778756
PL41,1.273311402183026
PL42,0.5568655968333284
PT18,25.027111307779947
PT20,0.0
PT30,2.0046067103743552
RO11,0.6389988192667564
RO12,0.10751936373611291
RO21,0.851141714459906
RO22,4.726704829434554
RO31,3.4465321590503057
RO32,2.7962775190671283
ITH3,0.8507611413796743
ITH4,0.3208415165543556
ITH5,2.8561781719326973
ITI1,4.7535225167870525
ITI2,9.482442645728588
