nuts,July Days With High Fire Danger (days) ensemble median - RCP4.5 - (2071 - 2100)
DE50,0.30831267283513
DE60,0.4154919076424379
DE71,1.221385801067719
DE72,0.5642902521559825
DE73,0.36032395867201
DE80,0.42850854763617885
DE91,0.3810817622221433
BG41,2.5397997085864725
BG42,8.138794807287363
CH01,0.034321715911993615
AT32,0.0016122437440432035
AT33,0.00913207669957326
AT34,0.004078225734142156
BE10,0.8075400132399339
BE23,0.8334526648888221
BE24,0.811071741179778
BE25,0.7744631354625409
BE31,0.5858919070317194
BE32,0.7481007209190955
BE33,0.7295679450035095
BE34,0.8561137954776104
BE35,0.718909251002165
BG31,7.744451862115127
BG32,5.861948723976429
BG33,6.581128283188893
BG34,7.677232889028696
DE92,0.3176297787576914
DE93,0.5805353751549354
DE94,0.6504726088964022
CZ07,0.5098818228221856
CZ08,0.24219323694705963
AL01,4.534442905193338
AL02,11.320592696850117
AL03,13.444545690829937
AT11,1.5151669898858438
AT12,1.023165406802526
AT13,2.141519010066986
AT21,0.0014163436224827399
AT22,0.015630461705418732
AT31,0.022222977274885543
DK05,0.3674004106567456
BE21,1.1220049565801253
BE22,1.1595235100159278
ES43,27.815438050490158
ES51,11.905686305119442
ES52,22.760524896474983
ES53,13.111152722285343
ES61,28.162414110623875
ES62,28.497962951660156
ES63,0.0
ES64,0.0
CH02,0.1366882981875768
CH03,0.26203640407094586
CH04,0.02200561475295287
CH05,0.006568500557197974
CH06,0.008542699022934986
CH07,0.013683918576974135
CY00,28.999407841609074
CZ01,0.8354492508448087
CZ02,0.8671333847137598
CZ03,0.2708808110597042
CZ04,0.8290864011416068
CZ05,0.5276048329587166
CZ06,0.9163220456013312
DE40,1.0725166278962905
EL53,11.558860169007229
EL54,13.383845737347237
EL61,13.669049959916334
EL62,0.0
EL63,19.61071483905499
ES70,0.0
ITC1,1.0281243542065988
ITC2,0.14380098248903567
DE11,0.5373906639332955
DE12,0.8208279208495066
DE13,0.47158919432415414
DE14,0.19449444430378768
DE21,0.1143747864720913
DE22,0.11871962636136092
DE23,0.4932497266966563
DE24,0.5614185711512198
DE25,0.7266800976716555
DE26,0.6188144728254813
DE27,0.1904388855283077
DE30,1.461646245076106
EL42,20.384615384615383
LV00,0.2996418937467612
