nuts,Autumn Days With High Fire Danger (days) ensemble median - RCP4.5 - (2071 - 2100)
DE50,0.06187043740199162
DE60,0.25419494395072645
DE71,0.5440018291656787
DE72,0.2519758939743042
DE73,0.20162755709428054
DE80,0.3634988913455835
DE91,0.42442485274603736
BG41,0.9999169317575601
BG42,4.956655259315784
CH01,0.009923870746905986
AT32,0.0016122437440432035
AT33,0.00813952131340137
AT34,0.0
BE10,0.8077430725097656
BE23,0.9878439318675262
BE24,0.8577902832856545
BE25,1.104815404289044
BE31,0.8522106867570144
BE32,1.0151902391360357
BE33,0.5013461617323068
BE34,0.6433666852804331
BE35,0.614720303278703
BG31,3.048624882331261
BG32,1.4088036051163306
BG33,1.781212874330007
BG34,3.9430454379090896
DE92,0.5975834414936029
DE93,0.5454719731440911
DE94,0.34589962002176505
CZ07,0.1598164702837284
CZ08,0.11144325996820743
AL01,1.4831511452794075
AL02,3.49984679886928
AL03,4.817289517476008
AT11,0.20818863637172258
AT12,0.16099671174127322
AT13,0.28202051382798415
AT21,0.0014358758926391602
AT22,0.0
AT31,0.0
DK05,0.0592922568321228
BE21,0.6436085483202567
BE22,0.5945795453511752
ES43,24.02647223839393
ES51,4.629666656255722
ES52,14.387287103212797
ES53,5.128620299009176
ES61,27.43777583195613
ES62,26.948510830218975
ES63,0.0
ES64,0.0
CH02,0.04072868308195701
CH03,0.0663104157608289
CH04,0.021992788865016058
CH05,0.013293951678161438
CH06,0.0
CH07,0.013673805273496188
CY00,43.76076698303223
CZ01,0.31698980927467346
CZ02,0.3272374962241604
CZ03,0.14580380973907617
CZ04,0.15569353232590052
CZ05,0.10484294765270673
CZ06,0.24603499773030096
DE40,0.4624481632445867
EL53,5.638130213205631
EL54,5.268420227158528
EL61,6.222548741560716
EL62,0.0
EL63,11.84352944447444
ES70,0.0
ITC1,0.26385987256295407
ITC2,0.06702518061949657
DE11,0.29964461292211825
DE12,0.32299779527462447
DE13,0.18187335864282572
DE14,0.03349991543934895
DE21,0.035540081130770534
DE22,0.06590090190561917
DE23,0.22335744033066127
DE24,0.12545586449022478
DE25,0.4116174131631851
DE26,0.2424509571148799
DE27,0.07001181290699886
DE30,0.48073561833455014
EL42,24.384615384615383
LV00,0.0762314278847323
ME00,0.9109564962295386
MK00,4.80261385670075
MT00,0.0
NL11,0.11251327166190514
NL12,0.03850957751274109
EL64,12.872990571535551
EL65,18.635242242079514
ES11,5.7355853502567
ES12,0.8309220694578611
ES13,1.060766162780615
ES21,1.7916314968696008
ES22,6.668169365479396
ES23,6.494582460476802
ES24,14.051713686722975
ES30,19.367733295147236
IE05,0.19315644289151981
IE06,0.24239873972076637
IS00,0.006447220077881446
ITC3,0.07668052842983833
FI19,0.001700841929190434
FI1B,0.012366367074159475
FI1C,0.005167803512169764
DEA1,0.26202067962059605
DEA2,0.5633161618159368
DEA3,0.3387204324110196
DEA4,0.3614849688915106
DEA5,0.18468778795347765
DEB1,0.795764782680915
DEB2,1.0002288640691683
DEB3,0.9469540388538287
DEC0,1.2133749133119216
DED2,0.13629098351185137
DED4,0.06059883420283978
DED5,0.46618896837417895
DEE0,0.47089835213354003
DEF0,0.12407139860666715
DEG0,0.28518549926005876
DK01,0.07692307692307693
DK02,0.14950700018268365
DK03,0.02947429811152128
DK04,0.05027349407856281
ES41,12.314439186683067
ES42,22.918689764462986
HU23,0.6036644944777856
HU31,1.1038711162713857
HU32,1.8433423191308975
HU33,1.67307942876449
IE04,0.08147733042446467
EE00,0.017059152802595727
EL30,33.05584349999061
EL41,29.923076923076923
EL43,36.675874563363884
EL51,10.250703463187584
EL52,5.174985656371484
FI20,0.07692307692307693
FR10,2.6219696746422696
FRB0,4.217265507349601
FRC1,1.644412165077833
FRC2,0.8866034886584833
FRD1,2.42494108241338
FRD2,1.5157748876282802
FRE1,1.2224337647740657
FRE2,1.5673047275497363
FRF1,0.6840736631017464
NL13,0.13850091942227805
NL21,0.1674886426100364
NL22,0.11859245311755401
NL23,0.051401693087357744
NL31,0.13456231814164382
NL32,0.15440977078217727
ITG2,13.255269380716177
ITH1,0.013333654317718286
ITH2,0.0021567237205230272
FRI3,6.289262592792511
FRJ1,6.242683181395898
FRJ2,2.3857726578672347
FRK1,1.3291030700963278
FRK2,1.2012986198354225
FRL0,5.611017552705912
FRM0,2.806047490009895
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,32.55498944796049
TR32,38.84688098614033
TR33,32.01872165386494
HR03,2.1454838674802046
HR02,0.6108082487032964
HU11,1.0099334556322832
