nuts,March Days With High Fire Danger (days) ensemble median - RCP8.5 - (2071 - 2100)
DE50,0.0
DE60,0.0
DE71,0.0
DE72,0.0
DE73,0.0
DE80,0.0
DE91,0.0
BG41,0.025820964875702675
BG42,0.03630648424419073
CH01,0.002844164577814249
AT32,0.0048329622413103394
AT33,0.012062511478479091
AT34,0.0
BE10,0.0
BE23,0.0
BE24,0.0
BE25,0.0
BE31,0.0
BE32,0.0
BE33,0.0
BE34,0.0
BE35,0.0
BG31,0.19792612899954504
BG32,0.033385236317721695
BG33,0.03943561132137592
BG34,0.025114482197050866
DE92,0.0
DE93,0.0
DE94,0.0
CZ07,0.0
CZ08,0.0
AL01,0.00451307614835409
AL02,0.03860575189957252
AL03,0.04833247168706013
AT11,0.0
AT12,0.0007697887575397125
AT13,0.0
AT21,0.0014163436224827399
AT22,0.003652468466987977
AT31,0.0022473724988790657
DK05,0.0
BE21,0.0
BE22,0.0
ES43,1.789091164102921
ES51,1.0369583086039011
ES52,4.273326768324925
ES53,0.6240870654582977
ES61,2.879028921158841
ES62,6.220110226709109
ES63,0.0
ES64,0.0
CH02,0.0013336161008247961
CH03,0.0
CH04,0.0
CH05,0.0
CH06,0.0
CH07,0.0
CY00,4.467551278380247
CZ01,0.0
CZ02,0.0
CZ03,0.003991107957867475
CZ04,0.0
CZ05,0.0010287258057640148
CZ06,0.0
DE40,0.0
EL53,0.06277387130718964
EL54,0.022401034832000732
EL61,0.042750051674934536
EL62,0.0
EL63,0.060603429491703324
ES70,0.0
ITC1,0.001271592596402535
ITC2,0.0
DE11,0.0
DE12,0.0
DE13,0.0014300618607264298
DE14,0.0
DE21,0.007247234193178324
DE22,0.004782136099842878
DE23,0.0013351447593707305
DE24,0.0
DE25,0.0
DE26,0.0
DE27,0.004946871445729182
DE30,0.0
EL42,0.15384615384615385
LV00,0.0
ME00,0.0050533038492386155
MK00,0.09024147030252677
MT00,0.0
NL11,0.0
NL12,0.0
EL64,0.254723693888921
EL65,0.12289821471159275
ES11,0.018694272408118613
ES12,0.023825029341074135
ES13,0.016054826573683664
ES21,0.02108736350559271
ES22,0.6096194036878072
ES23,0.6798365836819777
ES24,2.4038349172243705
ES30,1.617336872105415
IE05,0.0
IE06,0.0
IS00,0.0
ITC3,0.003216068332011883
FI19,0.0
FI1B,0.0
FI1C,0.000511488769776546
DEA1,0.0
DEA2,0.0
DEA3,0.0
DEA4,0.0
DEA5,0.0
DEB1,0.0
DEB2,0.0
DEB3,0.0
DEC0,0.0
DED2,0.0
DED4,0.0
DED5,0.0
DEE0,0.0
DEF0,0.0
DEG0,0.0
DK01,0.0
DK02,0.0
DK03,0.0
DK04,0.0
ES41,0.7525760100867885
ES42,2.8115427459124476
HU23,0.0
HU31,0.008267315534444956
HU32,0.0071425283184418315
HU33,0.0007938495478951014
IE04,0.0
EE00,0.0
EL30,1.216635694870582
EL41,0.07692307692307693
EL43,1.3339528980163426
EL51,0.025984214475521676
EL52,0.055307550713993035
FI20,0.0
FR10,0.0
FRB0,0.0
FRC1,0.0
FRC2,0.0009303076479297418
FRD1,0.0
FRD2,0.0
FRE1,0.0
FRE2,0.0
FRF1,0.0
NL13,0.0
NL21,0.0
NL22,0.0
NL23,0.0
NL31,0.0
NL32,0.0
ITG2,0.5419132728129625
ITH1,0.0
ITH2,0.0
FRI3,0.001406198080915671
FRJ1,0.1651752615490785
FRJ2,0.07321515618465267
FRK1,0.020641931834129188
FRK2,0.010684496794755641
FRL0,0.1282571480036355
FRM0,0.036761996551201895
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.10435752112131852
TR32,0.3007342385557982
TR33,0.33702359498979956
HR03,0.0028758517538125697
HR02,0.000642964759698281
HU11,0.019191324710845947
HU12,0.007177181541919708
HU21,0.003956335668380444
HU22,0.0
PT16,0.698608783288644
PT17,1.44557581612697
FRF2,0.0
FRF3,0.0
FRG0,0.0016146257806282777
FRH0,0.0
FRI1,0.020822096902590532
FRI2,0.005495211252799401
ITC4,0.009151359088718891
ITF1,0.008025717420073656
ITF2,0.034105757967783853
ITF3,0.0
ITF4,0.18304978024501067
ITF5,0.08691473792378719
ITF6,0.043280137272981495
ITG1,0.5881394915855848
LT01,0.0
LT02,0.0
LU00,0.0
PL22,0.0
PL41,0.0
PL42,0.0
PT18,2.2592742099211764
PT20,0.0
PT30,0.0
RO11,0.005287086698584831
RO12,0.0245216297558867
RO21,0.0178094136958512
RO22,0.1289825364230917
RO31,0.10112760989711835
RO32,0.02565182401583745
ITH3,0.0057761898407569295
ITH4,0.0
ITH5,0.027361946753584422
ITI1,0.0008660508319735527
ITI2,0.0017118653139242758
ITI3,0.012424984803566566
ITI4,0.0021900229442578098
LI00,0.0
FI1D,0.0
TR82,0.13729242851527837
TR83,0.09579426300926851
TR90,0.0259241762642677
TRA1,0.10049373781881653
TRA2,0.0
PL43,0.0
PL51,0.0
PL52,0.0
PL61,0.0
PL62,0.0
PL63,0.0
PL71,0.0
PL72,0.0
PL81,0.0
PL82,0.0
PL84,0.0
PL91,0.0
PL92,0.0
PT11,0.12933191169913
PT15,3.2635656778629007
TRB1,0.30974884922257984
TRB2,0.2700010916361442
TRC1,0.42243073823360294
RS12,0.010092350152822642
RS21,0.01512350313938581
RS22,0.05724222836299585
SE11,0.0
SE12,0.008068063439658055
NL33,0.0
NL34,0.0
NL41,0.0
NL42,0.0
PL21,0.0
UKM6,0.0
TR22,0.13613827870442316
TRC2,1.5475628398931944
TRC3,1.615931978305945
UKC1,0.0
UKC2,0.0
UKD1,0.0
UKD3,0.0
UKD4,0.0
UKD6,0.0
UKD7,0.0
UKE1,0.0
UKE2,0.0
UKE3,0.0
RO41,0.15878319281798142
RO42,0.015476150008348318
RS11,0.01771580485197214
TR41,0.4563666885861984
TR42,0.10214200558570716
TR51,0.7832455000338646
TR52,1.9449284283014445
TR61,0.22951034657084024
TR62,0.3241692492738366
TR63,0.369837533396024
TR71,1.0256721841601224
TR72,0.5904603472982461
TR81,0.02441505199441543
UKK1,0.0
UKK2,0.0
UKK3,0.0
UKK4,0.0
UKL1,0.0
UKL2,0.0
UKM5,0.0
UKM7,0.0
UKM8,0.0
UKM9,0.0
UKN0,0.0
SE21,0.014527003495739056
SE22,0.0
SE23,0.0016609116887243895
SE31,0.032116265824207894
SE32,0.0001748039458806698
SE33,0.0
SI03,0.0
SI04,0.001699913006562453
SK01,0.0
SK02,0.0
SK03,0.006915010726795747
SK04,0.001868570510011453
TR10,0.0
TR21,0.036760965218910806
UKE4,0.0
UKF1,0.0
UKF2,0.0
UKF3,0.0
UKG1,0.0
UKG2,0.0
UKG3,0.0
UKH1,0.0
UKH2,0.0
UKH3,0.0
UKI3,0.0
UKI4,0.0
UKI5,0.0
UKI6,0.0
UKI7,0.0
UKJ1,0.0
UKJ2,0.0
UKJ3,0.0
UKJ4,0.0
NO09,0.012911646268688716
NO0A,0.0
NO0B,0.0
HR05,0.0
HR06,0.0
NO02,0.003012954561899488
NO06,0.0
NO07,0.0
NO08,0.011662287207750173
