nuts,August Days With High Fire Danger (days) ensemble median - RCP8.5 - (2071 - 2100)
DE50,1.4392369710482085
DE60,1.8076699055158174
DE71,4.256105246452185
DE72,2.3899942699533243
DE73,1.9160059759250054
DE80,1.9166649880890663
DE91,1.869212513646254
BG41,3.3904898361517835
BG42,9.393079134134146
CH01,0.33538433723151684
AT32,0.0495332323301297
AT33,0.08189511585694093
AT34,0.16154073293392474
BE10,2.461843050443209
BE23,1.6469120346009731
BE24,2.4469234393193173
BE25,1.5176820795123394
BE31,2.8230750148112955
BE32,3.023844773379656
BE33,2.201726101911985
BE34,2.6790626507539015
BE35,2.836435398230186
BG31,6.9472155295885525
BG32,5.805879932183486
BG33,7.966006664129404
BG34,9.563371108128475
DE92,1.7011705545278697
DE93,1.720135872825407
DE94,1.6518806551511471
CZ07,2.5030436070206075
CZ08,1.6983251021458552
AL01,6.447313405000246
AL02,13.599240193000206
AL03,16.072375297546387
AT11,2.978375916870741
AT12,2.2493186054321437
AT13,4.371548367234377
AT21,0.051421741740061686
AT22,0.14841410660972962
AT31,0.542449432783402
DK05,0.22782938067729658
BE21,1.620032012462616
BE22,2.597330432671767
ES43,28.91964707007775
ES51,10.57773042183656
ES52,23.084686426016
ES53,16.461627785976116
ES61,28.028863760141228
ES62,28.173055795522835
ES63,0.0
ES64,0.0
CH02,0.9028599256506333
CH03,1.3406218505249574
CH04,1.066004546215901
CH05,0.250077376428705
CH06,0.23290258989884302
CH07,0.009122612384649424
CY00,29.978974122267502
CZ01,2.9598720990694485
CZ02,3.0560485688396373
CZ03,1.9135520863704956
CZ04,2.4379597806300106
CZ05,2.53925088678415
CZ06,2.9811690862362203
DE40,2.626256908361728
EL53,13.498272290596596
EL54,16.338782457204964
EL61,14.27342935708853
EL62,0.0
EL63,22.574508666992188
ES70,0.0
ITC1,1.8626543679632819
ITC2,0.8808941537371049
DE11,2.95871066989807
DE12,3.422530827040856
DE13,1.8869835631205485
DE14,1.022164400953513
DE21,0.9841053925741178
DE22,1.634214230454885
DE23,2.6354606297726813
DE24,2.8309978395700455
DE25,3.1672686292574954
DE26,3.491316950951631
DE27,1.317585139320447
DE30,3.2024989540760336
EL42,19.53846153846154
LV00,0.5111712720066023
ME00,3.756269644659299
MK00,10.807118800970224
MT00,0.0
NL11,1.414412232545706
NL12,0.9046456171916082
EL64,21.602237774775578
EL65,26.535275092491737
ES11,11.389492621788612
ES12,1.861399001800097
ES13,1.4392394033762126
ES21,3.4407385119165363
ES22,10.001873639913706
ES23,12.476315094874455
ES24,18.29156046647292
ES30,27.192409662099983
IE05,0.20769930602266237
IE06,0.2809941080900339
IS00,0.034766113761669167
ITC3,1.0170474763099964
FI19,0.19996332047650447
FI1B,0.4630247684052357
FI1C,0.30535419629170346
DEA1,1.742983843271549
DEA2,2.301352613247358
DEA3,1.8224753962399869
DEA4,1.7672296616320426
DEA5,1.9692874189752798
DEB1,3.225930749080502
DEB2,3.4116554397803087
DEB3,4.932614932839687
DEC0,4.626068856853705
DED2,1.8822791140813093
DED4,1.9999511683216462
DED5,2.487289568552604
DEE0,2.0569551952469807
DEF0,1.6688243821263313
DEG0,2.227407562904633
DK01,1.5643320656739748
DK02,1.5805344552947924
DK03,0.8754037836423287
DK04,0.5642738709082971
ES41,20.2408238190871
ES42,27.76559198819674
HU23,5.081991369907673
HU31,4.244491091141334
HU32,5.757209453158653
HU33,6.460672635298509
IE04,0.038052220757190995
EE00,0.2285425396492848
EL30,29.636002173790565
EL41,30.23076923076923
EL43,29.091283504779522
EL51,15.12026541049664
EL52,11.545793056488037
FI20,0.0
FR10,8.721207704681616
FRB0,10.319326341152191
FRC1,7.9894720630075495
FRC2,5.366415317241962
FRD1,5.63409689326699
FRD2,5.470279148135048
FRE1,3.1156352660976925
FRE2,6.3951960335700555
FRF1,3.8727766387164593
NL13,1.4499286459042475
NL21,1.3582381468552809
NL22,1.363048030779912
NL23,1.0357829424051137
NL31,1.0898616497333233
NL32,0.5202778302706205
ITG2,23.38398258502667
ITH1,0.0333742224253141
ITH2,0.08390752598643303
FRI3,11.203872230477058
FRJ1,14.585829716462355
FRJ2,7.318722917483403
FRK1,6.042219900167906
FRK2,6.479657617899088
FRL0,13.111689457526573
FRM0,8.463775659982975
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,29.589814259455753
TR32,29.13911980849046
TR33,27.833868466890774
HR03,7.571097740760217
HR02,3.910515001186958
HU11,5.144655823707581
HU12,5.59803135578449
HU21,6.037320384612451
HU22,4.441188971010538
PT16,23.07354266826923
PT17,23.156794988192043
FRF2,6.167546259096036
FRF3,5.346586030263167
FRG0,10.842615558550907
FRH0,6.237514138221741
FRI1,6.0122519591106816
FRI2,6.5391327332561975
ITC4,1.532935892446683
ITF1,7.302069462262667
ITF2,12.279288622049185
ITF3,14.85232690664438
ITF4,21.71530708899865
ITF5,19.19335181896503
ITF6,11.610801219940186
ITG1,24.407193697415867
LT01,1.9667707498256977
LT02,1.5507070302533417
LU00,3.36028999548692
PL22,2.363894211414915
PL41,2.9106096490644493
PL42,1.6322858719728315
PT18,27.244719138512245
PT20,0.0
PT30,0.0
RO11,1.6235001041338994
RO12,0.3515031570568681
RO21,2.530097185419156
RO22,7.524022304094755
RO31,4.263000708359939
RO32,3.6147515315275927
ITH3,1.6578006230008144
ITH4,0.8240811629937246
ITH5,5.785508011897596
ITI1,9.659206615044521
ITI2,14.84412052998176
ITI3,10.480374400432293
ITI4,13.815471539130577
LI00,0.0
FI1D,0.05388743014862904
