nuts,April Days With High Fire Danger (days) ensemble median - RCP8.5 - (2071 - 2100)
DE50,0.0
DE60,0.0
DE71,0.004758039059547277
DE72,0.0
DE73,0.0
DE80,0.00075624818698718
DE91,0.004072918914831602
BG41,0.07882219782242408
BG42,0.5469098711529603
CH01,0.02994856023444579
AT32,0.1170243827196268
AT33,0.09078560984478547
AT34,0.028331785247876093
BE10,0.07692307692307693
BE23,0.08648731616827157
BE24,0.10770653417477241
BE25,0.07242215596712552
BE31,0.1301154631834764
BE32,0.08849622423832233
BE33,0.034449639228674084
BE34,0.012322133836837916
BE35,0.04492175349822411
BG31,0.39249230892612386
BG32,0.4864587180603009
BG33,0.46754551062790245
BG34,0.53812809746999
DE92,0.0036409803881095005
DE93,0.006344394041941716
DE94,0.059021211587465726
CZ07,0.05911969536772141
CZ08,0.08070334047079086
AL01,0.04820489969391089
AL02,0.17504585362397707
AL03,0.1465833725837561
AT11,0.12726458849815223
AT12,0.0851930695084425
AT13,0.15384615384615385
AT21,0.018419010994526055
AT22,0.11488208461266297
AT31,0.07187735561568004
DK05,0.0
BE21,0.13976222276687622
BE22,0.09084591727990371
ES43,4.846348167612002
ES51,2.0358709532480974
ES52,7.660918170442948
ES53,3.1036995202302933
ES61,6.568143289822799
ES62,12.493689986375662
ES63,0.0
ES64,0.0
CH02,0.010605057558188071
CH03,0.0
CH04,0.0
CH05,0.017773654741736557
CH06,0.011390226105084786
CH07,0.022715256764338568
CY00,10.157782297867994
CZ01,0.06715647761638348
CZ02,0.07179249364596146
CZ03,0.017498991810358487
CZ04,0.051730372584783114
CZ05,0.04278063623664471
CZ06,0.07432004966988014
DE40,0.015526523921065606
EL53,1.0481323768886237
EL54,0.14809309003444818
EL61,1.3974708682642534
EL62,0.0
EL63,0.7807737656224233
ES70,0.0
ITC1,0.09326206663480172
ITC2,0.013351981456463154
DE11,0.007487381450258768
DE12,0.019724734127521515
DE13,0.01137231605557295
DE14,0.01117054344369815
DE21,0.04929116934251327
DE22,0.056636305955740124
DE23,0.02792852658491868
DE24,0.0
DE25,0.008352377666876866
DE26,0.006974186461705428
DE27,0.014857973330296002
DE30,0.04808702377172617
EL42,3.4615384615384617
LV00,0.0
ME00,0.051697125228551716
MK00,0.4724006141321017
MT00,0.0
NL11,0.053427586188683145
NL12,0.04331981677275438
EL64,2.4974024330194178
EL65,2.419656164944172
ES11,0.19153052289038897
ES12,0.08438931921353707
ES13,0.11262869261778317
ES21,0.14986977009819105
ES22,1.3429241925477982
ES23,1.1070543630765035
ES24,4.343764781951904
ES30,3.3333851798222613
IE05,0.0
IE06,0.03412267565727234
IS00,0.003164911499390235
ITC3,0.02237786925756014
FI19,0.09004573649368607
FI1B,0.0
FI1C,0.054648483207879156
DEA1,0.061899496958805963
DEA2,0.01466817924609551
DEA3,0.05886074212881235
DEA4,0.0
DEA5,0.0043410277710511135
DEB1,0.001449992307103597
DEB2,0.0023874939920810554
DEB3,0.0
DEC0,0.0
DED2,0.0030754085343617657
DED4,0.0035983453003259804
DED5,0.0
DEE0,0.00464014751979938
DEF0,0.0
DEG0,0.006809733736400421
DK01,0.0896761967585637
DK02,0.01697447896003723
DK03,0.0
DK04,0.0
ES41,1.6370950498833106
ES42,5.393553603153962
HU23,0.12161917067491092
HU31,0.44151596467082316
HU32,0.5695036606719861
HU33,0.464202639575188
IE04,0.0014588837153636492
EE00,0.0
EL30,9.70818956884054
EL41,1.3076923076923077
EL43,7.517201226491195
EL51,0.7366611682451688
EL52,1.0370764860596795
FI20,0.0
FR10,0.11420477511217961
FRB0,0.058710975429186456
FRC1,0.0758613279232612
FRC2,0.006433867204647798
FRD1,0.06381101333178006
FRD2,0.07693303562700748
FRE1,0.07821020025473374
FRE2,0.0784611993540938
FRF1,0.014564678646050967
NL13,0.09236663121443528
NL21,0.15057130960317758
NL22,0.10378893006306428
NL23,0.15396592937983
NL31,0.07692307692307693
NL32,0.0578266244668227
ITG2,1.7272547504936273
ITH1,0.03515201749709936
ITH2,0.02764160014115847
FRI3,0.15773496124893427
FRJ1,0.8657030764107521
FRJ2,0.1513109948987571
FRK1,0.13910522813407275
FRK2,0.1641824649503598
FRL0,0.9350677775935485
FRM0,0.18340462045027658
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,1.9617929481543028
TR32,3.396460919426038
TR33,2.7697643333544524
HR03,0.04647737010740317
HR02,0.15059047536208078
HU11,0.4707510012846727
HU12,0.4759231252739063
HU21,0.20600682554336694
HU22,0.16642279063279813
PT16,2.118985399030722
PT17,3.436672342511324
FRF2,0.04396988136263994
FRF3,0.006961741054860445
FRG0,0.04393059129898365
FRH0,0.055053431254166826
FRI1,0.2701004860349573
FRI2,0.1661931941142449
ITC4,0.18991289481234092
ITF1,0.06112780651220909
ITF2,0.48661273144758665
ITF3,0.10287563803677376
ITF4,1.96938719213582
ITF5,1.0669882975232143
ITF6,0.26467473346453446
ITG1,4.529174190301162
LT01,0.0
LT02,0.0005052109392216572
LU00,0.0
PL22,0.15135006749859223
PL41,0.1964331868534478
PL42,0.039646464614914015
PT18,5.389499470591545
PT20,0.0
PT30,0.0
RO11,0.12329857470467687
RO12,0.0742023094342305
RO21,0.06127804044920664
RO22,0.5042038931726263
RO31,0.5768256804977472
RO32,0.5900253332578219
ITH3,0.04846721285810837
ITH4,0.0017428346551381624
ITH5,0.13081050019424695
ITI1,0.0378395845540441
ITI2,0.03750987666157576
ITI3,0.04358852253510402
ITI4,0.028602689146422423
LI00,0.0
FI1D,0.11485315024709472
TR82,0.7693246144514817
TR83,1.036824994505598
TR90,0.06773930623267706
TRA1,0.5261594400239679
TRA2,0.0
PL43,0.06441371171520306
PL51,0.0983056128025055
PL52,0.14251851175840086
PL61,0.07328521632231198
PL62,0.004262600094079971
PL63,0.024297556266761743
PL71,0.15493690279813913
PL72,0.022053260069627028
PL81,0.021535933734132692
PL82,0.02546225251773229
PL84,0.0013424052068820367
PL91,0.0
PL92,0.01294095441699028
PT11,0.6836467758537486
PT15,7.190872575228031
TRB1,2.683812704223853
TRB2,1.4144026797551374
TRC1,7.135705195940458
RS12,0.8882942523520726
RS21,0.11774462045958409
RS22,0.21295282871534044
SE11,0.0
SE12,0.03519378656234879
NL33,0.07692307692307693
NL34,0.1110141185613779
NL41,0.07692307692307693
NL42,0.06282078761320847
PL21,0.0610661323253925
UKM6,0.0006064033995454127
TR22,1.1630220596606915
TRC2,9.534200870073759
TRC3,10.612045728243315
UKC1,0.009030439532720126
UKC2,0.016848759439129096
UKD1,0.014995484684522335
UKD3,0.06152953494053621
UKD4,0.02835515599984389
UKD6,0.0316712291767964
UKD7,0.0
UKE1,0.07700762381920448
UKE2,0.03623386615744004
UKE3,0.07184642553329468
RO41,0.36815541753402126
RO42,0.18485593451903418
RS11,0.5017494467588571
TR41,2.517096519470215
TR42,0.3801502992327397
TR51,3.9321686636943083
TR52,6.081692613088167
TR61,1.8776317095527282
TR62,1.4660000199308763
TR63,3.041849278486692
TR71,4.997488883825449
TR72,2.2836219324515414
TR81,0.03651796510586372
UKK1,0.08681072036807354
UKK2,0.050278072173778825
UKK3,0.007039305682365711
UKK4,0.009267354240784278
UKL1,0.01912482541341048
UKL2,0.015057340837441958
UKM5,0.0023385491222143173
UKM7,0.003308745817496226
UKM8,0.0
UKM9,0.012858864206534166
UKN0,0.0
SE21,0.14180922053324488
SE22,0.04708718680418455
SE23,0.10327542401277102
SE31,0.3212271573451849
SE32,0.2888466720469296
SE33,0.1944507810358818
SI03,0.007352341682865069
SI04,0.001699913006562453
SK01,0.24438178825836915
SK02,0.14285098789976194
SK03,0.056363290605636746
SK04,0.08644768552711377
TR10,0.34570711392622727
TR21,1.3500780050571148
UKE4,0.051292033722767465
UKF1,0.13475171763163346
UKF2,0.1410404902238112
UKF3,0.13717109423417312
UKG1,0.10427629030667819
UKG2,0.04213973765189831
UKG3,0.15384615384615385
UKH1,0.08347581900083102
UKH2,0.13463115692138672
UKH3,0.07288262935785148
UKI3,0.019204821724158067
UKI4,0.038409528823999256
UKI5,0.04394329969699566
UKI6,0.03847875961890587
UKI7,0.02880388039809007
UKJ1,0.0973442059296828
UKJ2,0.030713438987731934
UKJ3,0.06959295731324416
UKJ4,0.06590467691421509
NO09,0.21528185130311892
