nuts,Annual Snowfall amount (mm) ensemble median - RCP4.5 - (2011 - 2040)
DK012,25.34189796447754
DK013,41.33626174926758
DK014,24.619009017944336
DK021,34.75403594970703
DK022,31.228727340698242
DK031,31.82626724243164
DK032,24.63422203063965
DK041,33.121578216552734
DK042,46.23670959472656
DK050,37.24801254272461
EE001,
EE004,105.84957122802734
EE009,
EE00A,96.3011245727539
EE008,99.82317352294922
EL301,
EL302,
EL303,
EL304,
EL305,
EL306,
EL307,
EL411,
EL412,
EL413,
EL421,
EL422,
EL431,
EL432,
EL433,
EL434,
EL511,
EL512,
EL513,
EL514,
EL515,
EL521,
EL522,
EL523,
DEA15,
DEE09,
DEE0A,
DEE0B,
DEE0C,
DEE0D,26.082775115966797
DEE0E,
DEF01,41.62620162963867
DEF02,38.541664123535156
DEF03,32.8792610168457
DEF04,45.11613845825195
DEF05,37.02766418457031
DEF06,33.492942810058594
DEF07,33.478397369384766
DEF08,37.65718460083008
DEF09,29.339771270751953
DEF0A,43.999507904052734
DEF0B,48.16660690307617
DEF0C,56.72604751586914
DEF0D,36.9986457824707
DEF0E,31.499713897705078
DEF0F,40.781002044677734
DEG01,
DEG02,
DEG03,
DEG04,
DEG05,
DEG06,
DEG07,
DEG09,
DEG0A,
DEG0B,
DEG0C,
DEG0D,
DEA16,
DEA17,23.102306365966797
DEA18,
DEA19,
DEA1A,
DEA1B,15.047694206237793
DEA1C,
DEA1D,
DEA1E,16.934518814086914
DEA1F,15.685165405273438
DEA22,
DEA23,
DEA24,
DEA26,
DEA27,
DEA28,
DEA29,
DEA2A,
DEA2B,
DEA2C,
DEA2D,
DEA31,
DEA32,
DEA33,
DEA34,
DEA35,
DEA36,
DEA37,
DEA38,
DEA41,
DEA42,
DEA43,
DEA44,
DEA45,
DEA46,
DEA47,
DEA51,
DEA52,
FI1C4,86.0765609741211
FI1C5,157.4978790283203
FI1D1,
FI1D2,
FI1D3,
FI1D5,96.48159790039062
FI1D7,150.1560821533203
FI1D8,
FI1D9,100.03329467773438
FI200,86.08998107910156
FR101,5.565597057342529
EL524,
FI193,
FI194,92.7716064453125
FI195,81.8202896118164
FI196,58.97470474243164
FI197,
FI1B1,94.13263702392578
FI1C1,49.58704376220703
FI1C2,
FI1C3,132.31301879882812
EL642,
EL643,
EL644,
EL645,
EL651,0.0
EL652,
EL653,
ES111,
ES112,
ES113,
ES114,
ES120,
ES130,
ES211,
ES212,
ES213,
ES220,
ES230,
ES241,
ES242,
ES243,
ES300,
ES411,
ES412,
ES413,
ES414,
ES415,
ES416,
ES417,
ES418,
ES419,
EL525,
EL526,
EL527,
EL531,
EL532,
EL533,
EL541,
EL542,
EL543,
EL611,
EL612,
EL613,
EL621,
EL622,
EL623,
EL624,
EL631,
EL632,
EL633,
EL641,
ES531,
ES532,
ES533,
ES611,
ES612,
ES613,
ES614,
ES615,
ES616,
ES617,
ES618,
ES620,
ES630,
ES640,0.0
ES703,
