"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Burkina Faso","BFA","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.3887","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.838","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-13.8057539290547","-13.6720378563565","-13.3388694897382","-12.62144152388","-12.4001779806218","-12.8856435122836","-11.8710570086933","-11.9367377938751","-11.9312600159769","-11.9438398926386","-10.2763097748364","-10.605193980298","-11.1092741410108","-11.1209530898079","-11.4410071596874","-11.3361455099205","-11.4056001676","-10.254713536765","-11.5658077086322","-11.7818769091571","","","","","","","","","","","","","","",
"Bahrain","BHR","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-7.4235","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-28.5744362923838","-30.5872463391907","-28.782892740226","-22.4877233673713","-31.7340802562942","-31.2217950474122","-29.2883507737177","-26.4278747708708","-24.464330955229","-31.3684498009389","-30.9027783339533","-28.951215542943","-25.6321170987892","-22.2766069399275","-22.8885910968673","-26.2099792133783","-28.4205776787366","-27.5594807799655","-27.1384557932524","-30.0435378","","","","","","","","","","","","","","",
"Belize","BLZ","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-4.0247","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.0473","","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1329.05","","","","","","","","","","","","","","","","","","",
"Barbados","BRB","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.011","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.5495","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-38.7336","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-139.315","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-67.4849780246668","-41.2306349829998","-89.6410634073332","-20.3262005846664","-23.6873972036672","185.971676371334","-29.7141142040006","-71.7140285936673","116.241357019666","7.76337798099954","-62.1067687070005","-57.7124067533334","87.3771556793336","42.989734111667","96.8180178499994","53.5327820329995","64.6209327633334","51.4291536726668","-16.9484282116675","-12.1001595706662","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.72500292429444","-2.58938862522817","-2.00857549539103","-3.70319708704314","-4.53868071432043","-3.46072719998941","-3.29564036501227","-1.9898856340363","-1.88762145724847","-0.704402263149665","1.44188387264984","1.89435754351934","1.63384327741316","-1.16759956663967","-0.454208509436166","-0.373288965086197","0.952185027390134","0.568848872102636","0.574134454286045","0.0885596709664323","","","","","","","","","","","","","","",
"Channel Islands","CHI","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.1953","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-407.479","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-18.3767","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.1864","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-178.7794","","","","","","","","","","","","","","","","","","","","",
