nuts,Winter Total Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
DE50,223.16278
DE60,230.21747
DE71,258.15494
DE72,251.56694
DE73,237.36249
DE80,188.85272
DE91,216.39438
BG41,183.15924
BG42,190.96234
CH01,425.56952
AT32,316.02747
AT33,308.55893
AT34,367.5096
BE10,239.62799
BE23,230.27081
BE24,245.4435
BE25,230.5988
BE31,246.46112
BE32,249.33426
BE33,298.57092
BE34,307.96622
BE35,284.0225
BG31,168.46765
BG32,165.29189
BG33,162.30031
BG34,185.87512
DE92,229.57454
DE93,223.66049
DE94,242.26369
CZ07,186.72203
CZ08,192.00468
AL01,465.73154
AL02,331.36578
AL03,325.0218
AT11,154.61148
AT12,183.50378
AT13,158.0592
AT21,238.59729
AT22,232.01913
AT31,282.65198
DK05,244.33427
BE21,244.81158
BE22,260.4052
ES43,182.86855
ES51,142.41771
ES52,103.823296
ES53,126.34741
ES61,144.40875
ES62,82.4707
ES63,204.59491
ES64,81.65281
CH02,383.53406
CH03,324.64642
CH04,322.84686
CH05,321.50085
CH06,375.48346
CH07,318.64386
CY00,162.47154
CZ01,155.50195
CZ02,167.76622
CZ03,201.03253
CZ04,193.50246
CZ05,197.76836
CZ06,160.72221
DE40,177.2708
EL53,221.59058
EL54,382.29
EL61,259.39233
EL62,413.17438
EL63,357.5744
ES70,3.3951738
ITC1,268.80655
ITC2,351.0021
DE11,269.43707
DE12,294.57428
DE13,323.39346
DE14,283.45203
DE21,277.32486
DE22,251.88168
DE23,240.9702
DE24,248.28986
DE25,243.1507
DE26,259.62253
DE27,292.69803
DE30,175.57951
EL42,214.31812
LV00,186.82983
ME00,482.6549
MK00,212.89194
MT00,180.16519
NL11,238.25903
NL12,261.57913
EL64,263.9428
EL65,223.25175
ES11,424.02957
ES12,326.8667
ES13,279.77405
ES21,291.82834
ES22,212.65215
ES23,160.97813
ES24,131.42238
ES30,149.11389
IE05,329.14798
IE06,261.7312
IS00,466.33676
ITC3,309.11136
FI19,164.86067
FI1B,195.0747
FI1C,181.68451
DEA1,277.143
DEA2,291.282
DEA3,259.10638
DEA4,252.76588
DEA5,311.2015
DEB1,256.6859
DEB2,280.88995
DEB3,235.88081
DEC0,298.03046
DED2,204.47386
DED4,221.14964
DED5,187.88123
DEE0,179.63234
DEF0,232.30554
DEG0,209.69562
DK01,213.49019
DK02,204.61412
DK03,235.12817
DK04,235.66933
ES41,189.92035
ES42,137.13173
HU23,186.20226
HU31,151.79407
HU32,160.55943
HU33,160.74327
IE04,372.16916
EE00,182.27785
EL30,162.40712
EL41,284.72836
EL43,190.24753
EL51,229.2453
EL52,199.36546
FI20,176.73055
FR10,213.48663
FRB0,222.19258
FRC1,283.98782
FRC2,402.73993
FRD1,262.44824
FRD2,244.6342
FRE1,250.6549
FRE2,237.4
FRF1,313.1292
NL13,231.38971
NL21,241.90695
NL22,240.02536
NL23,246.83757
NL31,238.25247
NL32,266.66534
ITG2,153.75482
ITH1,226.22852
ITH2,229.62747
FRI3,241.70813
FRJ1,218.83836
FRJ2,241.17245
FRK1,251.99974
FRK2,323.62888
FRL0,225.82938
FRM0,215.08342
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,312.6388
TR32,288.06732
TR33,191.0474
HR03,374.7443
HR02,233.39178
HU11,156.08006
HU12,155.9262
HU21,176.07661
HU22,168.36327
PT16,280.22113
PT17,187.77356
FRF2,278.0383
FRF3,306.45117
FRG0,238.32971
FRH0,278.09387
FRI1,265.73944
FRI2,287.826
ITC4,234.07426
ITF1,247.53157
ITF2,238.53143
ITF3,319.52618
ITF4,188.23216
ITF5,211.64435
ITF6,288.82736
ITG1,192.86874
LT01,189.1213
LT02,192.59036
LU00,285.22733
PL22,199.18027
PL41,167.5777
PL42,192.16537
PT18,169.23982
PT20,0.0
PT30,0.0
RO11,208.12282
RO12,174.48877
RO21,143.66695
RO22,140.18098
RO31,154.02116
RO32,150.80116
ITH3,233.45409
ITH4,321.20703
