nuts,May Total Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
DE50,69.140526
DE60,69.048546
DE71,75.60741
DE72,77.90726
DE73,76.12378
DE80,60.994587
DE91,65.57457
BG41,101.78982
BG42,87.69357
CH01,154.92622
AT32,158.26848
AT33,165.39507
AT34,178.2768
BE10,67.68307
BE23,68.54327
BE24,71.99896
BE25,68.79167
BE31,73.716324
BE32,73.92844
BE33,82.43391
BE34,84.14638
BE35,81.24662
BG31,89.735435
BG32,81.67472
BG33,64.18926
BG34,69.43255
DE92,64.15569
DE93,65.533195
DE94,65.08773
CZ07,88.23355
CZ08,101.0999
AL01,98.547195
AL02,87.76003
AL03,67.52572
AT11,84.303825
AT12,100.477715
AT13,81.947235
AT21,140.62903
AT22,136.05594
AT31,137.00493
DK05,56.357883
BE21,72.25108
BE22,75.77422
ES43,44.5258
ES51,77.43538
ES52,51.364304
ES53,32.7929
ES61,38.419445
ES62,36.00898
ES63,23.52341
ES64,26.23498
CH02,160.21019
CH03,148.79239
CH04,140.91612
CH05,153.28307
CH06,177.24915
CH07,178.98782
CY00,17.464787
CZ01,70.36307
CZ02,74.04582
CZ03,93.57599
CZ04,77.40911
CZ05,79.83369
CZ06,80.38719
DE40,61.288513
EL53,67.78004
EL54,62.672977
EL61,50.77898
EL62,26.359594
EL63,49.15321
ES70,0.42340222
ITC1,140.92918
ITC2,147.18193
DE11,100.21921
DE12,102.17587
DE13,121.82699
DE14,129.11687
DE21,146.82689
DE22,107.28643
DE23,89.54675
DE24,82.88216
DE25,87.53003
DE26,80.65233
DE27,138.7108
DE30,60.7383
EL42,11.013822
LV00,64.478386
ME00,109.84103
MK00,77.52225
MT00,5.9382653
NL11,66.43944
NL12,66.21199
EL64,39.767776
EL65,26.85073
ES11,89.970604
ES12,107.02674
ES13,94.66804
ES21,87.04121
ES22,85.290825
ES23,83.28896
ES24,71.7349
ES30,58.181953
IE05,83.59198
IE06,80.21811
IS00,93.53821
ITC3,91.08391
FI19,54.507355
FI1B,50.963264
FI1C,51.61692
DEA1,73.62406
DEA2,81.215355
DEA3,68.1514
DEA4,67.57531
DEA5,82.88597
DEB1,77.35224
DEB2,82.990616
DEB3,77.65976
DEC0,85.92549
DED2,69.921684
DED4,81.855194
DED5,60.735256
DEE0,60.718243
DEF0,63.485756
DEG0,75.29944
DK01,53.07258
DK02,55.83013
DK03,59.414974
DK04,61.10829
ES41,68.80478
ES42,55.88379
HU23,73.9053
HU31,78.203476
HU32,73.4544
HU33,66.508095
IE04,100.30537
EE00,57.400326
EL30,15.037641
EL41,17.807302
EL43,14.82842
EL51,58.98184
EL52,59.10832
FI20,35.9327
FR10,66.10478
FRB0,72.31883
FRC1,92.91804
FRC2,128.12865
FRD1,70.44433
FRD2,69.86442
FRE1,69.82765
FRE2,72.09071
FRF1,106.37379
NL13,68.462296
NL21,72.40102
NL22,71.39119
NL23,72.688286
NL31,69.25565
NL32,62.912468
ITG2,40.43644
ITH1,136.78557
ITH2,159.27031
FRI3,74.360214
FRJ1,81.119225
FRJ2,105.034744
FRK1,104.92575
FRK2,114.241615
FRL0,81.28723
FRM0,50.531197
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,30.911337
TR32,38.20273
TR33,46.84662
HR03,94.269646
HR02,92.44246
HU11,66.75369
HU12,70.61565
HU21,72.66408
HU22,77.40562
PT16,60.919044
PT17,36.769093
FRF2,85.43065
FRF3,95.52658
FRG0,70.13027
FRH0,65.95226
FRI1,90.13438
FRI2,100.92276
ITC4,128.76631
ITF1,79.76085
ITF2,61.264004
ITF3,57.36804
ITF4,32.8594
ITF5,46.06319
ITF6,42.577568
ITG1,23.229555
LT01,72.277885
LT02,64.080025
LU00,81.537735
PL22,92.67272
PL41,62.139008
PL42,61.631985
PT18,39.56847
PT20,0.0
