nuts,June Total Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
DE50,94.82743
DE60,91.356125
DE71,80.748665
DE72,81.913765
DE73,81.63164
DE80,78.86053
DE91,80.24281
BG41,88.644325
BG42,79.51482
CH01,160.20287
AT32,190.49922
AT33,196.56668
AT34,211.83435
BE10,78.15007
BE23,71.557556
BE24,81.08596
BE25,65.26104
BE31,82.95132
BE32,76.500534
BE33,97.32072
BE34,94.80604
BE35,91.809494
BG31,83.82623
BG32,75.83463
BG33,66.152275
BG34,61.139114
DE92,82.676414
DE93,88.32188
DE94,90.20665
CZ07,100.02034
CZ08,108.212326
AL01,71.542366
AL02,55.377766
AL03,40.74499
AT11,93.32436
AT12,105.97847
AT13,84.339325
AT21,154.20436
AT22,149.38568
AT31,144.64977
DK05,77.67587
BE21,82.06165
BE22,86.98815
ES43,18.432856
ES51,57.37785
ES52,27.410633
ES53,14.172307
ES61,15.520216
ES62,17.033796
ES63,7.7679706
ES64,8.741271
CH02,165.52031
CH03,142.61307
CH04,143.86662
CH05,170.64597
CH06,194.02815
CH07,183.10117
CY00,3.1662493
CZ01,84.58905
CZ02,86.718796
CZ03,98.958855
CZ04,85.63398
CZ05,94.00271
CZ06,88.611885
DE40,74.59118
EL53,40.317314
EL54,34.52704
EL61,32.004032
EL62,15.461757
EL63,27.349257
ES70,0.3719272
ITC1,138.5967
ITC2,146.92804
DE11,96.18667
DE12,100.20726
DE13,123.272934
DE14,132.23627
DE21,152.79004
DE22,109.98274
DE23,98.54394
DE24,86.57531
DE25,91.17173
DE26,84.529625
DE27,147.42638
DE30,72.71786
EL42,1.770966
LV00,85.01137
ME00,89.858894
MK00,58.550648
MT00,2.069885
NL11,93.34725
NL12,81.765396
EL64,22.997538
EL65,14.080108
ES11,57.146366
ES12,82.70874
ES13,80.005424
ES21,77.09188
ES22,66.44904
ES23,61.968254
ES24,50.365253
ES30,30.370367
IE05,75.27321
IE06,74.346176
IS00,76.1887
ITC3,74.101036
FI19,79.2768
FI1B,70.620674
FI1C,74.173004
DEA1,90.4228
DEA2,94.73822
DEA3,86.352776
DEA4,83.8364
DEA5,96.40905
DEB1,81.954384
DEB2,84.54188
DEB3,77.63533
DEC0,78.32761
DED2,82.96196
DED4,88.13851
DED5,67.40009
DEE0,71.69017
DEF0,91.19032
DEG0,80.248245
DK01,75.43601
DK02,79.36572
DK03,86.246376
DK04,82.63404
ES41,41.902203
ES42,28.04512
HU23,78.883865
HU31,78.47144
HU32,78.60374
HU33,71.34062
IE04,88.8595
EE00,80.70571
EL30,6.8239636
EL41,5.9370165
EL43,4.587211
EL51,53.827858
EL52,45.824684
FI20,53.1627
FR10,64.22677
FRB0,60.717457
FRC1,83.83199
FRC2,122.05115
FRD1,61.134663
FRD2,66.64268
FRE1,67.77371
FRE2,70.0115
FRF1,103.41124
NL13,90.55913
NL21,87.60039
NL22,87.037346
NL23,86.42169
NL31,85.26327
NL32,75.21756
ITG2,18.66764
ITH1,159.9313
ITH2,164.24757
FRI3,58.898933
FRJ1,60.878338
FRJ2,90.91273
FRK1,85.18855
FRK2,104.94974
FRL0,68.0539
FRM0,38.5004
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,13.72866
TR32,13.7752
TR33,26.159964
HR03,71.733444
HR02,88.24023
HU11,70.36079
HU12,73.512054
HU21,73.86324
HU22,84.92084
PT16,25.009235
PT17,9.998054
FRF2,81.32378
FRF3,90.032684
FRG0,50.34924
FRH0,51.433598
FRI1,78.44145
FRI2,78.61606
ITC4,113.58723
ITF1,66.2023
ITF2,52.445282
ITF3,35.3816
ITF4,29.728994
ITF5,35.2783
ITF6,27.158379
ITG1,12.693632
LT01,85.588684
LT02,82.73256
LU00,87.74306
PL22,100.3216
PL41,79.12436
PL42,80.96178
PT18,12.563919
PT20,0.0
PT30,0.0
RO11,116.45096
RO12,127.88262
RO21,110.31152
RO22,73.508575
RO31,90.25782
RO32,81.55764
ITH3,127.23224
ITH4,147.72256
