nuts,December Total Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
DE50,79.72811
DE60,84.550606
DE71,94.01775
DE72,91.83324
DE73,88.41364
DE80,68.44945
DE91,82.147285
BG41,65.493835
BG42,69.830185
CH01,143.13676
AT32,101.244255
AT33,100.14066
AT34,114.5518
BE10,84.34135
BE23,83.389946
BE24,86.30229
BE25,86.57906
BE31,87.20422
BE32,88.20249
BE33,102.169205
BE34,108.963135
BE35,99.92583
BG31,55.74799
BG32,53.393383
BG33,53.852234
BG34,63.56236
DE92,82.089066
DE93,81.300064
DE94,85.62256
CZ07,62.769783
CZ08,64.92396
AL01,159.79172
AL02,116.66864
AL03,121.03774
AT11,48.080822
AT12,56.466812
AT13,49.476677
AT21,75.33164
AT22,73.7698
AT31,90.59303
DK05,77.952934
BE21,85.50498
BE22,91.94727
ES43,73.13637
ES51,40.741222
ES52,39.373936
ES53,48.04038
ES61,57.261913
ES62,27.652227
ES63,86.168045
ES64,24.706644
CH02,130.10521
CH03,109.449486
CH04,106.52185
CH05,106.82798
CH06,130.66019
CH07,79.70659
CY00,72.43994
CZ01,50.67195
CZ02,57.36888
CZ03,65.41002
CZ04,70.327385
CZ05,70.214935
CZ06,51.173893
DE40,66.68954
EL53,80.84501
EL54,145.49521
EL61,111.723526
EL62,165.17877
EL63,141.25534
ES70,1.6610146
ITC1,76.9199
ITC2,104.674675
DE11,90.405
DE12,103.00859
DE13,109.434616
DE14,93.84805
DE21,89.39535
DE22,85.11922
DE23,85.934586
DE24,98.3272
DE25,82.758736
DE26,96.03907
DE27,93.67776
DE30,65.65143
EL42,87.51738
LV00,63.352917
ME00,170.87791
MK00,72.09905
MT00,81.81438
NL11,84.423065
NL12,98.552574
EL64,99.55191
EL65,90.803856
ES11,156.97876
ES12,109.00691
ES13,88.223114
ES21,93.131256
ES22,73.512375
ES23,52.09697
ES24,40.94023
ES30,53.11401
IE05,119.21795
IE06,92.79849
IS00,160.107
ITC3,96.3332
FI19,55.58924
FI1B,68.08484
FI1C,62.228855
DEA1,98.58091
DEA2,105.579315
DEA3,91.512085
DEA4,91.26635
DEA5,113.26904
DEB1,92.79758
DEB2,97.603546
DEB3,86.50318
DEC0,106.870544
DED2,73.97087
DED4,83.78514
DED5,72.51709
DEE0,69.65889
DEF0,82.345985
DEG0,80.31856
DK01,76.10434
DK02,71.52318
DK03,78.2022
DK04,74.62327
ES41,69.15641
ES42,48.543915
HU23,59.589535
HU31,46.451756
HU32,54.31651
HU33,52.21648
IE04,132.18414
EE00,62.336643
EL30,69.80323
EL41,108.81082
EL43,74.86048
EL51,85.68592
EL52,84.871864
FI20,70.55094
FR10,78.0352
FRB0,78.9403
FRC1,96.52964
FRC2,133.8998
FRD1,95.64072
FRD2,89.38749
FRE1,90.925316
FRE2,83.91515
FRF1,107.506004
NL13,78.662094
NL21,86.2311
NL22,85.434204
NL23,91.22785
NL31,88.70036
