nuts,Summer Total Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
DE50,269.69824
DE60,268.19342
DE71,223.19447
DE72,237.38394
DE73,246.5507
DE80,237.55412
DE91,239.6399
BG41,217.2995
BG42,193.19258
CH01,491.02295
AT32,566.2597
AT33,582.41644
AT34,587.91174
BE10,231.06165
BE23,223.29211
BE24,237.59996
BE25,212.2341
BE31,237.18327
BE32,225.87456
BE33,277.2721
BE34,261.45007
BE35,261.8021
BG31,219.75145
BG32,213.24158
BG33,178.14203
BG34,164.20285
DE92,245.22954
DE93,259.66724
DE94,265.8681
CZ07,288.80023
CZ08,320.41696
AL01,174.06395
AL02,128.39459
AL03,92.73147
AT11,252.92882
AT12,302.25116
AT13,230.47525
AT21,457.55023
AT22,430.97864
AT31,429.92432
DK05,230.59735
BE21,237.47754
BE22,242.07193
ES43,34.482895
ES51,173.34409
ES52,73.11158
ES53,34.72066
ES61,30.82938
ES62,39.625057
ES63,21.107021
ES64,17.858538
CH02,499.41843
CH03,442.38312
CH04,424.364
CH05,500.31458
CH06,603.07623
CH07,537.0189
CY00,5.9604816
CZ01,253.6762
CZ02,256.50073
CZ03,301.79874
CZ04,269.3734
CZ05,284.25308
CZ06,261.22604
DE40,225.45927
EL53,97.18635
EL54,79.04245
EL61,83.07642
EL62,30.84683
EL63,54.66449
ES70,0.7864714
ITC1,366.03152
ITC2,409.14935
DE11,265.39502
DE12,265.90213
DE13,339.29327
DE14,385.09836
DE21,445.52698
DE22,329.98755
DE23,289.08713
DE24,257.58383
DE25,258.6886
DE26,233.71759
DE27,427.64767
DE30,215.74724
EL42,3.146375
LV00,262.71298
ME00,208.19644
MK00,133.70157
MT00,6.824225
NL11,281.1941
NL12,258.15747
EL64,55.839558
EL65,33.334263
ES11,132.61723
ES12,232.16432
ES13,227.59596
ES21,194.08574
ES22,180.04129
ES23,148.62442
ES24,140.52449
ES30,60.505108
IE05,246.80086
IE06,241.44685
IS00,270.95258
ITC3,193.35312
FI19,263.195
FI1B,224.89497
FI1C,246.9757
DEA1,249.85687
DEA2,260.94113
DEA3,243.51804
DEA4,248.52003
DEA5,279.13583
DEB1,229.37599
DEB2,236.07066
DEB3,219.40985
DEC0,229.03554
DED2,269.13315
DED4,278.87015
DED5,216.4753
DEE0,218.62225
DEF0,254.6396
DEG0,238.20659
DK01,226.87035
DK02,219.16226
DK03,243.31273
DK04,240.58215
