nuts,September Total Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
DE50,66.15411
DE60,72.439354
DE71,65.15184
DE72,64.26237
DE73,62.688232
DE80,66.13451
DE91,59.82073
BG41,45.356075
BG42,41.391853
CH01,108.485985
AT32,129.98312
AT33,120.99169
AT34,117.32348
BE10,54.757645
BE23,59.135284
BE24,57.993984
BE25,62.82508
BE31,57.262978
BE32,57.86123
BE33,64.06607
BE34,69.081856
BE35,63.966835
BG31,47.529854
BG32,46.33917
BG33,40.043964
BG34,37.760956
DE92,63.082886
DE93,64.96076
DE94,74.79062
CZ07,77.14541
CZ08,83.78941
AL01,88.79923
AL02,64.58965
AL03,63.53986
AT11,75.56119
AT12,82.93208
AT13,67.524826
AT21,120.61341
AT22,110.35303
AT31,110.08968
DK05,81.45458
BE21,63.945522
BE22,60.712093
ES43,23.13918
ES51,71.79754
ES52,45.0976
ES53,35.42762
ES61,20.557095
ES62,33.402878
ES63,17.099527
ES64,16.022697
CH02,106.4005
CH03,101.20012
CH04,101.05989
CH05,107.102936
CH06,127.88267
CH07,144.59583
CY00,4.354315
CZ01,60.013348
CZ02,64.37081
CZ03,72.10998
CZ04,59.58601
CZ05,75.6865
CZ06,73.055565
DE40,55.417904
EL53,38.930305
EL54,54.89638
EL61,37.240746
EL62,63.488476
EL63,39.974834
ES70,0.61959803
ITC1,107.69234
ITC2,106.459946
DE11,68.68632
DE12,71.3283
DE13,78.67373
DE14,90.40927
DE21,101.321686
DE22,80.285484
DE23,70.70695
DE24,65.27954
DE25,66.62453
DE26,66.33075
DE27,93.0951
DE30,53.084587
EL42,5.9748387
LV00,74.60604
ME00,101.60956
MK00,41.318085
MT00,31.189695
NL11,77.88109
NL12,86.61136
EL64,26.360102
EL65,19.405584
ES11,52.481293
ES12,56.43099
ES13,56.150013
ES21,53.41856
ES22,52.305004
ES23,35.352425
ES24,47.660564
ES30,21.457485
IE05,78.01952
IE06,72.43552
IS00,156.62743
ITC3,86.14415
FI19,75.19935
FI1B,76.934616
FI1C,76.28953
DEA1,63.059933
DEA2,67.95582
DEA3,70.349045
DEA4,67.46267
DEA5,73.62488
DEB1,62.236656
DEB2,64.446655
DEB3,61.694416
DEC0,64.001526
DED2,59.66235
DED4,63.092823
DED5,54.178967
DEE0,54.33195
DEF0,74.812126
DEG0,59.05262
DK01,71.80489
DK02,71.74991
DK03,80.50593
DK04,82.89604
ES41,30.513533
ES42,24.774393
HU23,70.18764
HU31,56.575207
HU32,59.178448
HU33,54.639572
IE04,96.20797
EE00,82.75917
EL30,10.742311
EL41,12.035243
EL43,10.75217
EL51,27.79672
EL52,39.10563
FI20,70.249535
FR10,47.89358
FRB0,49.56754
FRC1,68.45738
FRC2,84.50571
FRD1,54.947666
FRD2,56.052715
FRE1,58.271698
FRE2,52.27003
FRF1,76.16072
NL13,69.29943
NL21,67.54792
NL22,69.69628
NL23,71.69433
NL31,72.85137
NL32,89.92382
ITG2,33.14905
ITH1,96.209206
ITH2,100.46049
FRI3,47.041103
FRJ1,76.79157
FRJ2,64.767265
FRK1,75.42237
FRK2,86.98751
FRL0,67.450874
FRM0,39.393276
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,13.371309
TR32,10.089959
TR33,12.7212
HR03,108.9469
HR02,81.19096
HU11,58.352398
HU12,55.360046
HU21,63.85492
HU22,73.77167
PT16,30.490208
PT17,14.286726
FRF2,61.837418
FRF3,70.701485
FRG0,43.256344
FRH0,48.25622
FRI1,58.67907
FRI2,73.5168
ITC4,100.43984
ITF1,65.193726
ITF2,59.888775
ITF3,67.9994
ITF4,50.0428
ITF5,42.992924
ITF6,53.2305
ITG1,39.802475
LT01,69.650925
LT02,69.92763
LU00,64.50278
PL22,83.49327
PL41,59.28204
PL42,65.06468
PT18,19.79428
PT20,0.0
PT30,0.0
RO11,73.05619
RO12,70.48908
RO21,64.39601
RO22,43.94252
RO31,48.81169
RO32,54.814354
ITH3,109.60265
ITH4,149.56023
ITH5,79.95451
ITI1,74.28563
ITI2,68.24741
ITI3,65.8831
ITI4,72.30135
LI00,137.46434
FI1D,75.70263
TR82,39.558506
TR83,34.978245
TR90,102.94386
TRA1,22.771309
TRA2,1.421743
PL43,54.418724
PL51,69.01067
PL52,72.278015
PL61,57.768238
PL62,69.75159
PL63,67.43572
PL71,65.41457
PL72,71.74266
PL81,76.94812
PL82,89.87508
PL84,70.46601
PL91,65.23389
PL92,65.67751
PT11,41.61096
PT15,13.125445
TRB1,13.740564
TRB2,0.7142512
TRC1,6.7671986
RS12,51.2965
RS21,59.534016
RS22,44.230064
SE11,67.96509
SE12,70.66399
NL33,79.33568
NL34,67.431274
NL41,68.75958
NL42,60.537796
PL21,90.51659
UKM6,141.92142
TR22,20.53671
TRC2,5.4042244
TRC3,0.96072686
UKC1,65.57513
UKC2,65.6956
UKD1,104.50409
UKD3,84.4768
UKD4,100.98664
UKD6,71.474335
UKD7,86.30496
UKE1,58.602604
UKE2,69.81645
UKE3,62.69383
RO41,57.491722
RO42,64.80885
RS11,54.921814
TR41,19.318241
TR42,37.38086
TR51,11.928519
TR52,10.538322
TR61,13.251964
TR62,23.606684
TR63,14.394574
TR71,12.226665
TR72,17.66021
TR81,53.65829
UKK1,62.910984
UKK2,65.843506
UKK3,63.28422
UKK4,65.065384
UKL1,91.54545
UKL2,75.77459
UKM5,84.42452
UKM7,93.380905
UKM8,120.22265
UKM9,96.69727
UKN0,84.24404
SE21,70.63202
SE22,70.44101
SE23,93.10366
SE31,82.86404
SE32,92.80321
SE33,88.38467
SI03,113.60999
SI04,136.00601
SK01,67.78554
SK02,67.024765
SK03,79.64638
SK04,79.237946
TR10,38.68078
TR21,26.522388
UKE4,71.881584
UKF1,62.976612
UKF2,57.03533
UKF3,57.697777
UKG1,59.99694
UKG2,62.989227
UKG3,61.03795
UKH1,56.48314
UKH2,51.08801
UKH3,53.29958
UKI3,47.763012
UKI4,47.763012
UKI5,49.89249
UKI6,48.837082
UKI7,49.105236
UKJ1,57.429596
UKJ2,55.894325
UKJ3,60.250744
UKJ4,56.992085
NO09,136.3792
NO0A,222.18817
NO0B,65.78289
HR05,87.98581
HR06,90.347015
NO02,100.04264
NO06,155.76897
NO07,125.55118
NO08,106.027214
