nuts,December Total Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
DE50,74.571434
DE60,78.07661
DE71,88.93217
DE72,88.203354
DE73,82.16135
DE80,61.45797
DE91,74.174126
BG41,63.878883
BG42,69.10831
CH01,141.0145
AT32,104.851814
AT33,100.49042
AT34,130.53938
BE10,79.31595
BE23,77.3858
BE24,81.715965
BE25,78.6329
BE31,84.57917
BE32,86.5219
BE33,101.38279
BE34,109.80514
BE35,100.44333
BG31,52.211037
BG32,53.727272
BG33,51.007004
BG34,61.39784
DE92,75.959984
DE93,75.13298
DE94,81.02941
CZ07,60.377876
CZ08,61.52529
AL01,168.53436
AL02,119.19789
AL03,125.41853
AT11,48.462685
AT12,60.28903
AT13,49.602562
AT21,72.78599
AT22,74.531425
AT31,97.01475
DK05,78.76754
BE21,81.94013
BE22,87.08819
ES43,66.85028
ES51,47.12984
ES52,35.679962
ES53,48.71295
ES61,54.2664
ES62,28.681946
ES63,87.66545
ES64,23.334387
CH02,131.46379
CH03,114.69198
CH04,110.767624
CH05,107.057915
CH06,130.74142
CH07,112.61505
CY00,65.75274
CZ01,51.71301
CZ02,55.506805
CZ03,66.63801
CZ04,66.042336
CZ05,65.90252
CZ06,50.494625
DE40,58.572258
EL53,86.362236
EL54,160.05704
EL61,110.59505
EL62,179.36728
EL63,140.78748
ES70,2.189855
ITC1,86.796585
ITC2,109.446625
DE11,93.42405
DE12,106.697235
DE13,116.22094
DE14,95.727234
DE21,94.170265
DE22,85.99098
DE23,84.41222
DE24,90.27521
DE25,84.02297
DE26,89.04433
DE27,99.66514
DE30,57.298203
EL42,88.55538
LV00,64.337326
ME00,173.5567
MK00,73.79965
MT00,83.86092
NL11,79.3159
NL12,92.84708
EL64,101.76517
EL65,97.0794
ES11,148.82642
ES12,123.44007
ES13,101.00334
ES21,108.32602
ES22,78.678925
ES23,55.07299
ES24,42.863483
ES30,50.36286
IE05,118.59994
IE06,92.270325
IS00,154.7134
ITC3,109.7984
FI19,57.7981
FI1B,74.92113
FI1C,67.98343
DEA1,92.76738
DEA2,100.120766
DEA3,86.57613
DEA4,83.001335
DEA5,104.45609
DEB1,90.825775
DEB2,95.03148
DEB3,84.42247
DEC0,102.93178
DED2,68.96749
DED4,78.26803
DED5,66.81328
DEE0,62.290165
DEF0,77.93415
DEG0,75.23004
DK01,74.34449
DK02,71.77397
DK03,81.52342
DK04,78.90936
ES41,65.76109
ES42,45.39384
HU23,56.604385
HU31,49.146034
HU32,51.34745
HU33,52.47571
IE04,133.74573
EE00,66.70719
EL30,72.52911
EL41,118.46603
EL43,78.97804
EL51,86.236916
EL52,87.964935
FI20,69.74906
FR10,78.24088
FRB0,75.33442
FRC1,96.9196
FRC2,140.79956
FRD1,96.201385
FRD2,90.26519
FRE1,86.03621
FRE2,86.39623
FRF1,113.652916
NL13,73.03899
NL21,80.1229
NL22,79.775215
NL23,83.37795
NL31,79.51812
NL32,94.945526
ITG2,62.566998
ITH1,70.3319
ITH2,72.10642
FRI3,83.82318
FRJ1,74.473526
FRJ2,86.82956
FRK1,88.16546
FRK2,111.86466
FRL0,75.48898
FRM0,89.51246
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,110.32056
TR32,103.990616
TR33,60.926434
HR03,135.4835
HR02,70.944214
HU11,51.137646
HU12,51.47809
HU21,54.9941
HU22,52.013397
PT16,99.9414
PT17,80.03055
FRF2,101.24529
FRF3,111.90188
FRG0,80.653984
FRH0,100.267944
FRI1,92.63712
FRI2,102.49393
ITC4,74.00314
ITF1,100.49878
ITF2,92.564865
ITF3,122.589584
ITF4,71.48887
ITF5,77.60443
ITF6,108.9723
ITG1,79.62653
LT01,61.296104
LT02,62.48307
LU00,100.17572
PL22,63.363632
PL41,53.30397
PL42,62.34566
PT18,65.08263
PT20,0.0
PT30,0.0
RO11,67.012436
RO12,54.269554
RO21,43.35207
RO22,40.3846
RO31,43.920124
RO32,45.754974
ITH3,73.125946
ITH4,102.603966
ITH5,79.071396
ITI1,91.0149
ITI2,85.98684
ITI3,85.47074
ITI4,106.57967
LI00,134.43367
FI1D,53.107815
TR82,84.11902
TR83,73.42804
TR90,112.314804
TRA1,54.58379
TRA2,2.3598094
PL43,57.428013
PL51,61.285156
PL52,55.561592
PL61,53.888676
PL62,60.673847
PL63,62.689972
PL71,54.967697
PL72,52.79443
PL81,53.94726
PL82,63.722202
PL84,57.26247
PL91,55.76115
PL92,55.539906
PT11,125.65644
PT15,70.63069
TRB1,94.621574
TRB2,6.717565
TRC1,89.25922
RS12,52.85949
RS21,68.52202
RS22,58.431274
SE11,59.432487
SE12,58.02821
NL33,84.463684
NL34,78.90822
NL41,79.03158
NL42,84.45589
PL21,60.990623
UKM6,166.31639
TR22,96.16818
TRC2,83.454254
TRC3,17.05301
UKC1,81.48828
UKC2,82.30638
UKD1,141.8194
UKD3,111.67209
UKD4,137.4702
UKD6,88.81522
UKD7,114.16755
UKE1,66.24996
UKE2,89.23485
UKE3,70.01468
RO41,53.194126
RO42,64.60447
RS11,56.89708
TR41,71.01423
TR42,94.10739
TR51,51.462265
TR52,56.64057
TR61,98.5305
TR62,102.22613
TR63,92.42623
TR71,52.473743
TR72,59.912888
TR81,103.36498
UKK1,77.2746
UKK2,92.333755
UKK3,113.511246
UKK4,103.672195
UKL1,132.05249
UKL2,103.32697
UKM5,84.96067
UKM7,112.88555
UKM8,153.62749
UKM9,128.8698
UKN0,111.74196
SE21,65.34819
SE22,70.14277
SE23,80.15908
SE31,61.287846
SE32,66.95491
SE33,66.506645
SI03,78.61986
SI04,105.96798
SK01,49.84844
SK02,57.297943
SK03,63.10858
SK04,56.7296
TR10,93.941216
TR21,76.72726
UKE4,91.007454
UKF1,69.1154
UKF2,57.44173
UKF3,56.378223
UKG1,67.50194
UKG2,76.66784
UKG3,65.73986
UKH1,60.939274
UKH2,59.10272
UKH3,62.77202
UKI3,62.888912
UKI4,62.888912
UKI5,60.94718
UKI6,66.255844
UKI7,62.652405
UKJ1,63.44671
UKJ2,85.28871
UKJ3,83.96564
UKJ4,76.963715
NO09,138.09062
NO0A,236.95677
NO0B,74.053406
HR05,72.980064
HR06,69.89598
NO02,76.85746
NO06,129.8253
NO07,108.55196
NO08,85.547714
