nuts,February Total Precipitation (mm) ensemble median - RCP4.5 - (2011 - 2040)
DE50,56.251415
DE60,57.109623
DE71,62.773674
DE72,63.36028
DE73,60.595795
DE80,47.44553
DE91,55.075516
BG41,57.1631
BG42,59.342834
CH01,120.223274
AT32,88.70825
AT33,87.793365
AT34,111.186264
BE10,59.03844
BE23,55.69226
BE24,61.2523
BE25,55.068584
BE31,63.387615
BE32,62.327454
BE33,77.78442
BE34,78.66189
BE35,73.45925
BG31,44.950405
BG32,48.109932
BG33,49.48152
BG34,55.2971
DE92,55.577873
DE93,55.237553
DE94,57.599854
CZ07,50.37626
CZ08,52.08016
AL01,150.1519
AL02,110.878235
AL03,109.25011
AT11,41.64466
AT12,51.86663
AT13,44.744495
AT21,67.344
AT22,65.73717
AT31,76.617096
DK05,51.819736
BE21,60.32143
BE22,67.19913
ES43,55.73079
ES51,46.791683
ES52,34.214523
ES53,33.669376
ES61,54.657333
ES62,26.950068
ES63,79.59064
ES64,33.6365
CH02,109.27089
CH03,84.760956
CH04,86.91509
CH05,87.147
CH06,109.97835
CH07,77.09665
CY00,57.01187
CZ01,39.441086
CZ02,43.296585
CZ03,50.766434
CZ04,48.694004
CZ05,52.194042
CZ06,42.608227
DE40,46.13078
EL53,72.45596
EL54,132.72057
EL61,88.02499
EL62,125.09598
EL63,121.905304
ES70,1.1686454
ITC1,74.857544
ITC2,100.88335
DE11,68.44639
DE12,75.09748
DE13,82.30418
DE14,74.587105
DE21,76.44928
DE22,65.35958
DE23,63.311726
DE24,65.49997
DE25,63.11484
DE26,64.522835
DE27,81.42002
DE30,44.766243
EL42,75.65899
LV00,42.984417
ME00,150.72754
MK00,61.204857
MT00,47.554974
NL11,56.39453
NL12,59.20958
EL64,83.44934
EL65,79.886894
ES11,120.7312
ES12,108.818016
ES13,97.298996
ES21,103.672844
ES22,77.37418
ES23,53.923244
ES24,41.301357
ES30,45.339474
IE05,89.83474
IE06,67.08697
IS00,138.03267
ITC3,75.09261
FI19,37.071583
FI1B,46.957294
FI1C,41.738018
DEA1,68.25163
DEA2,73.628815
DEA3,63.231728
DEA4,61.816563
DEA5,77.74092
DEB1,64.39382
DEB2,69.46923
DEB3,60.43793
DEC0,72.98047
DED2,54.78136
DED4,59.086727
DED5,47.56972
DEE0,46.337486
DEF0,54.995853
DEG0,53.500393
DK01,46.460613
DK02,45.63987
DK03,52.71018
DK04,53.45905
ES41,53.72057
ES42,43.299362
HU23,50.360847
HU31,43.446037
HU32,46.70375
HU33,49.309532
IE04,95.33686
EE00,42.372616
EL30,55.92874
EL41,84.903786
EL43,73.345894
EL51,67.55175
EL52,60.693295
FI20,36.24813
FR10,56.894176
FRB0,60.40335
FRC1,75.99545
FRC2,106.965454
FRD1,66.90895
FRD2,61.04544
FRE1,59.846634
FRE2,59.09422
FRF1,79.55606
NL13,54.248043
NL21,56.629414
NL22,59.786358
NL23,57.494274
NL31,57.717995
NL32,60.89548
ITG2,49.5558
ITH1,60.65488
ITH2,66.34268
FRI3,64.448044
FRJ1,68.780464
FRJ2,82.934425
FRK1,75.1485
FRK2,88.893616
FRL0,56.265198
FRM0,66.33532
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,95.76258
TR32,94.926575
TR33,61.133827
HR03,110.83134
HR02,64.96415
HU11,40.676674
HU12,41.848732
HU21,46.197926
HU22,45.109833
PT16,75.59769
PT17,59.42017
FRF2,72.65689
FRF3,79.00459
FRG0,59.996063
FRH0,72.47523
FRI1,85.172005
FRI2,86.558365
ITC4,60.70638
ITF1,85.18146
ITF2,80.76848
ITF3,106.30015
ITF4,59.214645
ITF5,67.85103
ITF6,92.79559
ITG1,61.78385
LT01,46.171627
LT02,44.763275
LU00,72.35658
PL22,50.95132
PL41,42.086422
