nuts,February Total Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
DE50,53.800552
DE60,54.271465
DE71,57.581333
DE72,58.942123
DE73,57.566277
DE80,46.320374
DE91,54.119766
BG41,58.04212
BG42,61.020966
CH01,121.11482
AT32,91.4978
AT33,91.21675
AT34,112.01598
BE10,61.090412
BE23,58.740936
BE24,62.404713
BE25,56.934456
BE31,64.66153
BE32,64.43682
BE33,76.1056
BE34,78.13186
BE35,73.883606
BG31,46.364185
BG32,46.82395
BG33,46.318718
BG34,54.423203
DE92,53.343513
DE93,53.25105
DE94,55.84038
CZ07,49.309883
CZ08,53.49936
AL01,149.27939
AL02,112.39419
AL03,113.99121
AT11,44.24034
AT12,49.4623
AT13,43.029957
AT21,67.60096
AT22,67.45229
AT31,79.8732
DK05,56.66158
BE21,61.370358
BE22,66.678154
ES43,56.129566
ES51,43.9685
ES52,31.821772
ES53,33.758415
ES61,49.345882
ES62,26.967241
ES63,70.2657
ES64,31.435648
CH02,112.07722
CH03,87.333206
CH04,85.48121
CH05,86.123535
CH06,114.40065
CH07,78.65129
CY00,56.91567
CZ01,37.77892
CZ02,42.188183
CZ03,48.458294
CZ04,46.76994
CZ05,51.855118
CZ06,41.269146
DE40,44.60883
EL53,72.93012
EL54,134.54196
EL61,94.24931
EL62,127.487144
EL63,124.39678
ES70,1.4148449
ITC1,71.05411
ITC2,88.53803
DE11,64.16762
DE12,72.834625
DE13,80.52733
DE14,71.3788
DE21,76.898964
DE22,61.702843
DE23,59.671204
DE24,59.615906
DE25,57.777027
DE26,59.372555
DE27,78.26431
DE30,42.965252
EL42,77.55642
LV00,44.926216
ME00,147.55122
MK00,64.451416
MT00,51.80848
NL11,55.192993
NL12,57.03033
EL64,87.946846
EL65,84.71559
ES11,117.605385
ES12,109.07839
ES13,96.6177
ES21,104.39603
ES22,76.22177
ES23,56.237713
ES24,41.265762
ES30,42.30931
IE05,87.91826
IE06,68.95224
IS00,142.02629
ITC3,78.56109
FI19,35.22384
FI1B,43.882072
FI1C,40.17554
DEA1,67.14884
DEA2,73.671394
DEA3,61.10708
DEA4,59.101418
DEA5,76.151146
DEB1,61.5972
DEB2,67.30202
DEB3,57.74203
DEC0,70.872215
DED2,52.59072
DED4,57.09167
DED5,48.40633
DEE0,45.241146
DEF0,53.638557
DEG0,50.815327
