nuts,August Total Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
DE50,77.818436
DE60,80.54501
DE71,65.90694
DE72,74.22483
DE73,77.32047
DE80,76.63921
DE91,77.37574
BG41,55.307552
BG42,40.930187
CH01,136.53183
AT32,169.923
AT33,173.81473
AT34,172.01831
BE10,65.65037
BE23,69.7801
BE24,67.259834
BE25,66.74994
BE31,64.921936
BE32,64.46759
BE33,78.59227
BE34,73.90164
BE35,73.89032
BG31,60.081184
BG32,50.848114
BG33,43.02073
BG34,33.385677
DE92,79.396225
DE93,78.23475
DE94,81.678505
CZ07,82.2086
CZ08,91.12498
AL01,42.554653
AL02,29.157032
AL03,21.11115
AT11,81.48089
AT12,90.105385
AT13,67.51744
AT21,136.7897
AT22,131.01863
AT31,128.41443
DK05,83.772
BE21,70.629364
BE22,71.32319
ES43,7.216382
ES51,55.837227
ES52,24.432299
ES53,15.403224
ES61,6.2374277
ES62,11.21313
ES63,10.130523
ES64,6.077482
CH02,143.95735
CH03,134.70796
CH04,130.15819
CH05,150.176
CH06,185.42345
CH07,162.80374
CY00,0.66451246
CZ01,75.58303
CZ02,80.50791
CZ03,88.41341
CZ04,78.59343
CZ05,85.77857
CZ06,77.44496
DE40,70.14045
EL53,26.871546
EL54,18.582188
EL61,25.508245
EL62,10.505216
EL63,13.180873
ES70,0.2014444
ITC1,107.470024
ITC2,114.23125
DE11,76.40776
DE12,77.12752
DE13,97.179565
DE14,111.868546
DE21,133.83376
DE22,97.7834
DE23,82.71766
DE24,77.56565
DE25,73.88727
DE26,67.18074
DE27,127.30727
DE30,64.53766
EL42,0.6550513
LV00,88.21197
ME00,52.854935
MK00,32.953056
MT00,2.9227424
NL11,91.540794
NL12,87.822876
EL64,16.832504
EL65,8.522179
ES11,35.61071
ES12,61.75966
ES13,59.278854
ES21,53.65941
ES22,54.086796
ES23,38.339275
ES24,41.635136
ES30,13.993027
IE05,84.07878
IE06,79.0612
IS00,109.358406
ITC3,53.183254
FI19,96.51828
FI1B,91.02366
FI1C,90.526665
DEA1,77.118
DEA2,81.500984
DEA3,74.51393
DEA4,84.765625
DEA5,91.215225
DEB1,70.318794
DEB2,69.44978
DEB3,64.45707
DEC0,64.25621
DED2,81.53233
DED4,85.86292
DED5,67.303665
DEE0,70.39996
DEF0,82.65118
DEG0,75.318954
DK01,78.140396
DK02,76.40846
DK03,80.85829
DK04,85.31938
ES41,23.51314
ES42,13.2085285
HU23,58.09714
HU31,64.2102
HU32,57.2148
HU33,49.414772
IE04,103.27361
EE00,95.22978
EL30,3.637866
EL41,1.4390632
EL43,2.6168907
EL51,22.486631
EL52,30.561218
FI20,78.1846
FR10,49.4258
FRB0,45.01921
FRC1,64.59162
FRC2,86.79977
FRD1,49.27467
FRD2,54.65511
FRE1,62.815147
FRE2,58.70967
FRF1,85.93406
NL13,78.83018
NL21,74.1719
NL22,73.49218
NL23,75.48062
NL31,70.56691
NL32,83.78936
ITG2,9.490946
ITH1,138.76161
ITH2,136.34245
FRI3,41.838127
FRJ1,56.77967
FRJ2,68.48318
FRK1,67.74268
FRK2,79.69186
FRL0,40.039238
FRM0,18.132355
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,2.5900233
TR32,4.827796
TR33,7.5822287
HR03,54.23543
HR02,65.03296
HU11,55.953865
HU12,62.066322
HU21,60.872746
HU22,69.22075
PT16,12.818482
PT17,5.1327953
FRF2,60.109196
FRF3,75.73251
FRG0,38.877407
FRH0,43.934395
FRI1,56.643936
FRI2,61.2459
ITC4,104.88868
ITF1,41.68998
