nuts,Spring Total Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
DE50,189.34415
DE60,187.04785
DE71,211.0206
DE72,214.77045
DE73,213.07079
DE80,165.19585
DE91,189.2974
BG41,261.5175
BG42,237.00551
CH01,420.53198
AT32,407.73837
AT33,408.97287
AT34,432.98468
BE10,192.88094
BE23,194.04698
BE24,199.70485
BE25,192.62627
BE31,206.60767
BE32,211.25652
BE33,238.51698
BE34,247.12328
BE35,232.06041
BG31,240.21484
BG32,215.35684
BG33,187.69696
BG34,196.72922
DE92,188.63222
DE93,185.65553
DE94,191.6743
CZ07,214.56856
CZ08,235.83182
AL01,369.8767
AL02,307.62244
AL03,272.7051
AT11,203.60797
AT12,238.58871
AT13,192.44128
AT21,346.38034
AT22,319.88297
AT31,336.53848
DK05,167.7453
BE21,199.95854
BE22,206.56879
ES43,149.28204
ES51,205.06992
ES52,131.55519
ES53,94.70026
ES61,133.48688
ES62,92.990364
ES63,133.23563
ES64,87.65474
CH02,406.07248
CH03,364.07385
CH04,355.1043
CH05,390.03577
CH06,450.8804
CH07,449.33148
CY00,74.24166
CZ01,173.31413
CZ02,187.36064
CZ03,229.73854
CZ04,197.13506
CZ05,210.53693
CZ06,188.48352
DE40,164.72977
EL53,201.28664
EL54,273.3138
EL61,186.15355
EL62,173.802
EL63,228.32457
ES70,1.969059
ITC1,378.6539
ITC2,394.24753
DE11,251.2094
DE12,265.72342
DE13,313.76712
DE14,312.01147
DE21,349.08768
DE22,267.06372
DE23,230.07045
DE24,216.12825
DE25,221.65987
DE26,215.76581
DE27,337.81067
DE30,162.40446
EL42,89.13689
LV00,167.0423
ME00,389.0476
MK00,227.65031
MT00,54.21363
NL11,187.67894
NL12,183.01868
EL64,166.2795
EL65,139.15105
ES11,314.46942
ES12,320.86566
ES13,294.681
ES21,283.59885
ES22,248.36632
ES23,215.94862
ES24,183.91597
ES30,157.48792
IE05,250.76187
IE06,223.97713
IS00,336.96527
ITC3,298.42816
FI19,132.44211
FI1B,130.10832
FI1C,132.65843
DEA1,211.34088
DEA2,229.66595
DEA3,200.195
DEA4,204.25871
DEA5,238.76042
DEB1,220.09093
DEB2,231.8702
DEB3,214.71999
DEC0,239.91885
DED2,191.58046
DED4,217.9412
DED5,168.62648
DEE0,166.6622
DEF0,178.10681
DEG0,198.03004
DK01,142.34569
DK02,144.45963
DK03,167.34927
DK04,169.11139
ES41,189.71535
ES42,147.83356
HU23,188.25421
HU31,185.68155
HU32,186.75229
HU33,174.22438
IE04,278.34073
EE00,144.3037
EL30,90.17781
EL41,125.60702
EL43,89.89273
EL51,199.53145
EL52,183.38628
FI20,106.165504
FR10,191.88171
FRB0,207.64893
FRC1,257.62805
FRC2,350.7604
FRD1,209.13185
FRD2,206.87495
FRE1,206.02628
FRE2,210.20633
FRF1,278.1512
NL13,189.14148
NL21,195.91472
NL22,197.02902
NL23,199.01167
NL31,197.1171
NL32,182.88475
ITG2,153.5256
ITH1,323.47766
ITH2,367.94736
FRI3,216.41734
FRJ1,246.07143
FRJ2,294.3545
FRK1,279.8153
FRK2,328.88098
FRL0,239.07101
FRM0,185.13239
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,169.1561
TR32,166.93266
TR33,171.13205
HR03,307.7939
HR02,246.3248
HU11,165.94234
HU12,172.40744
HU21,181.56607
HU22,189.50035
PT16,201.90225
PT17,134.9891
FRF2,234.81136
FRF3,259.2043
FRG0,197.06277
FRH0,210.36679
FRI1,267.70935
FRI2,293.49426
ITC4,320.17786
ITF1,260.2622
ITF2,222.12267
ITF3,243.7797
ITF4,148.30139
ITF5,190.3561
ITF6,203.20844
ITG1,118.735954
LT01,182.13284
LT02,174.44737
LU00,234.51079
PL22,226.68198
PL41,164.69118
PL42,169.30489
PT18,136.05748
PT20,0.0
PT30,0.0
RO11,271.42593
RO12,280.63446
RO21,221.02693
RO22,170.5043
RO31,211.37344
RO32,194.22621
ITH3,324.21384
ITH4,410.1608
ITH5,258.70444
ITI1,236.39316
ITI2,260.54507
ITI3,236.84926
ITI4,259.21518
LI00,490.13602
FI1D,138.13654
TR82,252.87993
TR83,252.12352
TR90,358.88623
TRA1,245.44704
TRA2,8.391893
PL43,169.48967
PL51,196.56297
PL52,195.97424
PL61,164.7393
PL62,180.04533
PL63,166.91876
PL71,181.48979
PL72,191.85622
PL81,190.8354
PL82,236.33769
PL84,183.4739
PL91,186.2461
PL92,184.55913
PT11,259.07095
PT15,118.34888
TRB1,289.89554
TRB2,20.568657
TRC1,184.27472
RS12,194.08798
RS21,265.05103
RS22,230.13213
SE11,117.14397
SE12,142.27583
NL33,194.65828
NL34,190.29672
NL41,198.02437
NL42,199.65022
PL21,243.68777
UKM6,299.99908
TR22,178.30225
TRC2,172.14944
TRC3,35.566692
UKC1,195.59575
UKC2,192.77269
UKD1,262.66837
UKD3,241.43939
UKD4,252.89291
UKD6,218.18814
UKD7,226.74861
UKE1,176.7962
UKE2,204.69565
UKE3,198.55394
RO41,240.71902
RO42,260.2147
RS11,218.58376
TR41,182.64711
