nuts,January Total Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
DE50,79.46229
DE60,79.034134
DE71,81.01333
DE72,79.87831
DE73,77.49247
DE80,62.104866
DE91,73.13203
BG41,56.013668
BG42,59.132664
CH01,136.31897
AT32,95.746445
AT33,94.42077
AT34,119.76215
BE10,72.41556
BE23,72.87719
BE24,74.41727
BE25,72.20566
BE31,74.58649
BE32,80.0361
BE33,91.86264
BE34,101.30266
BE35,89.48407
BG31,51.57243
BG32,53.799503
BG33,54.27514
BG34,57.836494
DE92,77.985405
DE93,75.514435
DE94,84.06921
CZ07,55.39721
CZ08,56.659294
AL01,150.32181
AL02,114.48899
AL03,108.52214
AT11,37.799843
AT12,53.068817
AT13,40.76193
AT21,59.442
AT22,62.904358
AT31,90.5214
DK05,75.480095
BE21,77.3998
BE22,79.56004
ES43,64.17217
ES51,49.2614
ES52,36.86113
ES53,43.455517
ES61,54.920856
ES62,27.201563
ES63,75.14665
ES64,35.97566
CH02,125.130714
CH03,101.67836
CH04,104.82985
CH05,98.7694
CH06,122.42781
CH07,87.124
CY00,73.020836
CZ01,48.789047
CZ02,54.533157
CZ03,63.763123
CZ04,63.805996
CZ05,66.13326
CZ06,47.20773
DE40,59.46354
EL53,63.663887
EL54,129.38528
EL61,92.1233
EL62,131.28526
EL63,125.62332
ES70,1.5815746
ITC1,87.54926
ITC2,123.296585
DE11,85.371544
DE12,96.393166
DE13,101.95242
DE14,90.7088
DE21,88.38531
DE22,82.19735
DE23,80.14261
DE24,83.44943
DE25,78.49813
DE26,83.30199
DE27,93.34474
DE30,58.227802
EL42,87.2954
LV00,57.290676
ME00,150.81316
MK00,57.999207
MT00,61.83269
NL11,82.67773
NL12,88.27316
EL64,88.54602
EL65,85.10786
ES11,152.76082
ES12,125.12662
ES13,106.328255
ES21,103.96557
ES22,78.3064
ES23,60.59642
ES24,43.746822
ES30,49.842457
IE05,113.07572
IE06,87.648445
IS00,144.7114
ITC3,97.88544
FI19,49.57864
FI1B,60.957306
FI1C,55.73121
DEA1,88.93507
DEA2,94.052086
DEA3,86.24421
DEA4,84.45893
DEA5,101.66326
DEB1,82.472435
DEB2,89.55812
DEB3,74.06571
DEC0,94.34213
DED2,65.41556
DED4,72.48656
DED5,60.917732
DEE0,59.824047
DEF0,77.008316
DEG0,69.061295
DK01,64.86102
DK02,62.850117
DK03,74.12336
DK04,71.8741
ES41,65.23677
ES42,44.93197
HU23,44.56047
HU31,38.721657
HU32,42.592464
HU33,38.901646
IE04,125.28322
EE00,57.440388
EL30,62.95714
EL41,98.704094
EL43,80.98558
EL51,68.5217
EL52,58.30167
FI20,56.15121
FR10,67.83303
FRB0,73.22359
FRC1,89.89875
FRC2,128.49432
FRD1,87.691124
FRD2,76.98229
FRE1,79.55769
FRE2,75.67302
FRF1,98.98326
NL13,80.7461
NL21,81.74315
NL22,79.59689
NL23,81.08563
NL31,76.62
NL32,86.60597
ITG2,54.61713
ITH1,63.53184
ITH2,59.35242
FRI3,87.63597
FRJ1,82.044624
FRJ2,88.957184
FRK1,87.5405
FRK2,107.80353
FRL0,78.711525
FRM0,72.19973
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,107.700066
TR32,114.31348
TR33,69.9788
HR03,106.679214
HR02,66.31923
HU11,38.977562
HU12,38.571064
HU21,41.737617
HU22,40.85458
PT16,100.31449
PT17,70.38389
FRF2,92.21788
FRF3,103.13357
FRG0,84.555916
FRH0,95.30972
FRI1,94.77569
FRI2,103.3285
ITC4,64.94772
ITF1,80.894
ITF2,76.77076
ITF3,105.76647
ITF4,61.48949
ITF5,64.91899
ITF6,100.66245
ITG1,70.693054
LT01,57.560425
LT02,57.817513
LU00,93.87571
PL22,57.408474
PL41,52.12896
PL42,62.31344
PT18,60.706142
PT20,0.0
PT30,0.0
RO11,62.115532
RO12,50.94729
RO21,44.04365
RO22,50.014072
RO31,51.5502
RO32,50.97025
ITH3,62.46767
ITH4,83.34312
ITH5,66.73958
ITI1,72.216675
ITI2,69.22454
ITI3,67.615585
ITI4,84.07341
LI00,120.80151
FI1D,44.517586
TR82,76.011566
TR83,72.539246
TR90,106.067215
TRA1,57.88273
TRA2,2.1907747
PL43,56.468407
PL51,60.880486
PL52,51.68699
PL61,49.474644
PL62,56.062366
PL63,58.790676
PL71,47.190994
PL72,46.27975
PL81,48.148663
PL82,56.33204
PL84,51.55203
PL91,49.479004
PL92,48.838146
PT11,126.611145
PT15,52.01364
TRB1,103.34463
TRB2,6.821555
TRC1,104.45027
RS12,47.46163
RS21,62.83059
RS22,58.19417
SE11,54.052994
SE12,50.404804
NL33,79.56346
NL34,75.58971
NL41,77.67122
NL42,80.56921
PL21,55.30972
UKM6,158.64575
TR22,91.46109
TRC2,87.1795
TRC3,16.784311
UKC1,82.131584
UKC2,82.83062
UKD1,130.76299
UKD3,98.41579
UKD4,118.279526
UKD6,79.1312
UKD7,92.50631
UKE1,66.55758
UKE2,85.79006
UKE3,69.35514
RO41,57.370667
RO42,61.276203
RS11,51.11173
TR41,71.045876
TR42,92.06042
TR51,56.63894
TR52,64.615486
TR61,125.26364
TR62,111.308685
TR63,110.27046
TR71,56.22432
TR72,65.17561
TR81,96.16775
UKK1,75.39709
UKK2,86.435585
UKK3,108.953255
UKK4,97.760925
UKL1,125.9485
UKL2,103.01242
UKM5,90.45365
UKM7,122.225365
UKM8,153.39848
UKM9,124.3836
UKN0,107.97677
SE21,58.36872
SE22,64.63407
SE23,69.74371
SE31,55.66729
SE32,63.665096
SE33,59.43996
SI03,61.201088
SI04,79.34899
SK01,40.64494
SK02,49.026024
SK03,57.78366
SK04,49.370777
TR10,87.13105
TR21,70.10632
UKE4,84.75946
UKF1,68.656296
UKF2,59.512638
UKF3,59.29934
UKG1,67.834854
UKG2,73.830345
UKG3,66.241585
UKH1,62.956436
UKH2,58.642963
UKH3,62.56674
UKI3,61.48445
UKI4,61.48445
UKI5,60.25365
UKI6,64.038475
UKI7,61.66302
UKJ1,63.566013
UKJ2,80.540215
UKJ3,79.81614
UKJ4,72.58116
NO09,136.96996
NO0A,200.7495
NO0B,62.53933
HR05,57.958736
HR06,54.8135
NO02,71.92707
NO06,110.732216
NO07,94.41273
NO08,82.67473
