nuts,August Total Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
DE50,83.445724
DE60,87.73594
DE71,66.29771
DE72,70.785645
DE73,74.843735
DE80,76.617546
DE91,71.28097
BG41,57.734062
BG42,45.81728
CH01,150.82993
AT32,176.713
AT33,180.60854
AT34,180.59268
BE10,67.87625
BE23,67.52725
BE24,69.58079
BE25,67.71871
BE31,68.65231
BE32,68.20096
BE33,82.15844
BE34,76.013435
BE35,77.15666
BG31,60.570576
BG32,54.39078
BG33,47.375935
BG34,38.711376
DE92,75.611015
DE93,82.62163
DE94,82.64115
CZ07,90.82552
CZ08,99.35343
AL01,44.400124
AL02,34.568386
AL03,28.174736
AT11,82.84227
AT12,96.50432
AT13,76.28415
AT21,136.12216
AT22,132.58287
AT31,140.70872
DK05,80.868195
BE21,69.89755
BE22,72.66713
ES43,8.639347
ES51,61.8295
ES52,28.517452
ES53,13.944096
ES61,8.091629
ES62,13.145224
ES63,10.6851
ES64,5.4994774
CH02,160.10445
CH03,144.9315
CH04,131.78287
CH05,158.02637
CH06,194.8975
CH07,162.72939
CY00,1.0291243
CZ01,81.08371
CZ02,83.112854
CZ03,94.239525
CZ04,86.21187
CZ05,89.25623
CZ06,84.86799
DE40,68.296005
EL53,27.06905
EL54,21.46033
EL61,25.068157
EL62,9.516325
EL63,15.133811
ES70,0.18680193
ITC1,109.27789
ITC2,121.2397
DE11,79.65836
DE12,81.21562
DE13,104.19952
DE14,115.45269
DE21,139.88101
DE22,102.50236
DE23,91.26049
DE24,78.60136
DE25,78.146774
DE26,68.33316
DE27,132.27339
DE30,64.67275
EL42,0.5781053
LV00,86.95536
ME00,58.401676
MK00,36.313774
MT00,3.4129434
NL11,88.46171
NL12,91.61813
EL64,14.039986
EL65,9.118497
ES11,37.3017
ES12,69.772316
ES13,67.333
ES21,58.70939
ES22,56.08917
ES23,41.815617
ES24,47.773483
ES30,15.958221
IE05,86.00309
IE06,81.19833
IS00,106.81562
ITC3,58.28285
FI19,91.64994
FI1B,83.80061
FI1C,89.3592
DEA1,78.16861
DEA2,80.77777
DEA3,75.4624
DEA4,77.035866
DEA5,86.11581
DEB1,69.711006
DEB2,69.73392
DEB3,66.30126
DEC0,71.27082
DED2,86.80094
DED4,90.54021
DED5,68.5689
DEE0,66.72795
DEF0,84.9849
DEG0,74.07423
DK01,81.80332
DK02,77.37154
DK03,82.69666
DK04,80.901924
ES41,26.045416
ES42,16.273354
HU23,65.22451
HU31,60.782093
HU32,61.26803
HU33,55.405148
IE04,107.43328
EE00,91.27713
EL30,3.3422894
EL41,1.0813409
EL43,2.216864
EL51,25.058487
EL52,30.67806
FI20,69.34755
FR10,58.58633
FRB0,50.10246
FRC1,65.73641
FRC2,97.995255
FRD1,58.80234
FRD2,61.90276
FRE1,65.27298
FRE2,63.117245
FRF1,88.96736
NL13,77.163704
NL21,73.53019
NL22,72.60901
NL23,81.08354
NL31,76.25611
NL32,87.43638
ITG2,10.151169
ITH1,140.21689
ITH2,140.10167
FRI3,50.85671
FRJ1,62.282352
FRJ2,78.982346
FRK1,76.19455
FRK2,89.29095
FRL0,46.82575
FRM0,19.305864
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,3.0373628
TR32,5.6758413
TR33,8.578359
HR03,62.706867
HR02,70.025696
HU11,55.1085
HU12,58.007828
HU21,64.65041
HU22,72.3352
PT16,13.375251
PT17,5.2686505
FRF2,65.0496
FRF3,74.47837
FRG0,45.66331
FRH0,50.786503
FRI1,65.4857
FRI2,72.0802
ITC4,108.42472
ITF1,46.464222
ITF2,39.697174
ITF3,26.796555
ITF4,21.03071
ITF5,23.49563
ITF6,27.444933
ITG1,13.299368
LT01,81.26944
LT02,83.00658
LU00,70.57609
PL22,93.5779
PL41,69.818375
PL42,77.21282
PT18,6.5360446
PT20,0.0
PT30,0.0
RO11,89.622345
RO12,103.1129
RO21,78.97415
RO22,52.25566
RO31,71.675285
RO32,56.459293
ITH3,110.82677
ITH4,129.48915
ITH5,66.7507
ITI1,43.91788
ITI2,42.605614
ITI3,52.572178
ITI4,35.03817
LI00,218.17738
FI1D,90.96315
TR82,30.79579
TR83,25.602869
TR90,102.36977
TRA1,24.133226
TRA2,1.8729191
PL43,72.77426
PL51,83.003136
PL52,79.5879
PL61,67.5295
PL62,76.29464
PL63,83.68049
PL71,73.13582
PL72,75.10047
PL81,76.22991
PL82,87.42473
PL84,72.35826
PL91,70.25642
PL92,70.21275
PT11,24.7978
PT15,3.5639744
TRB1,6.166911
TRB2,0.43119198
TRC1,2.775984
RS12,56.665676
RS21,60.786865
RS22,51.756145
SE11,72.79709
SE12,83.76206
NL33,76.813446
NL34,69.282196
NL41,71.93578
NL42,73.754
PL21,102.20035
UKM6,117.26907
TR22,8.139764
TRC2,1.0040238
TRC3,0.20302962
UKC1,76.04146
UKC2,77.27947
UKD1,108.05836
UKD3,91.652275
UKD4,105.66302
UKD6,79.77294
UKD7,91.310135
UKE1,67.16756
UKE2,79.1564
UKE3,72.91238
RO41,68.287025
RO42,77.06814
RS11,58.87245
TR41,14.534951
TR42,34.426716
