nuts,June Total Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
DE50,92.35573
DE60,91.57011
DE71,78.42848
DE72,83.73377
DE73,83.82691
DE80,77.8023
DE91,78.50677
BG41,87.64635
BG42,79.72847
CH01,170.55185
AT32,186.9127
AT33,195.62593
AT34,209.57326
BE10,78.80247
BE23,76.66508
BE24,81.4406
BE25,70.64154
BE31,83.47532
BE32,81.00566
BE33,94.57129
BE34,96.17353
BE35,89.72442
BG31,84.71704
BG32,82.57099
BG33,76.12554
BG34,66.85214
DE92,78.44024
DE93,85.187096
DE94,89.87268
CZ07,98.942764
CZ08,112.058174
AL01,77.19042
AL02,58.91887
AL03,42.03009
AT11,88.754105
AT12,103.95967
AT13,80.92985
AT21,162.63713
AT22,151.62025
AT31,145.05016
DK05,77.20956
BE21,82.01801
BE22,85.08183
ES43,17.689114
ES51,62.775215
ES52,29.17476
ES53,12.388639
ES61,15.807883
ES62,18.172747
ES63,5.760168
ES64,9.375807
CH02,171.28822
CH03,151.40848
CH04,148.63287
CH05,176.71768
CH06,204.69728
CH07,174.56435
CY00,4.3684793
CZ01,83.83096
CZ02,85.24882
CZ03,97.809074
CZ04,88.93943
CZ05,93.96213
CZ06,89.350006
DE40,72.46127
EL53,39.862804
EL54,37.422832
EL61,33.551884
EL62,15.408054
EL63,26.428532
ES70,0.31660518
ITC1,127.51046
ITC2,144.34468
DE11,94.790245
DE12,95.14505
DE13,120.33805
DE14,134.10638
DE21,154.01857
DE22,114.99861
DE23,98.36658
DE24,90.298355
DE25,89.39383
DE26,83.37664
DE27,154.39005
DE30,71.74066
EL42,1.9719367
LV00,89.75971
ME00,88.176735
MK00,58.572735
MT00,2.7293925
NL11,98.25387
NL12,83.81861
EL64,23.886604
EL65,15.855695
ES11,57.73548
ES12,83.24168
ES13,80.07214
ES21,70.62652
ES22,65.12084
ES23,59.94926
ES24,53.80783
ES30,28.584631
IE05,82.100266
IE06,80.053894
IS00,77.03267
ITC3,71.307144
FI19,78.67485
FI1B,69.53215
FI1C,74.74367
DEA1,86.04875
DEA2,91.363075
DEA3,81.79976
DEA4,80.00838
DEA5,93.45177
DEB1,84.65415
DEB2,87.6414
DEB3,76.10692
DEC0,81.1313
DED2,85.76587
DED4,93.488914
DED5,68.04622
DEE0,67.93027
DEF0,85.46729
DEG0,79.8073
DK01,73.67837
DK02,74.86352
DK03,83.33118
DK04,79.47959
ES41,42.438084
ES42,27.470703
HU23,80.85257
HU31,81.770905
HU32,79.20666
HU33,73.47682
IE04,92.41558
EE00,85.57501
EL30,7.9373074
EL41,6.4009523
EL43,4.507897
EL51,51.742947
EL52,44.93078
FI20,53.58961
FR10,66.01736
FRB0,64.0602
FRC1,81.71115
FRC2,119.6191
