nuts,Annual Total Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
DE50,878.75146
DE60,907.62305
DE71,891.81555
DE72,903.6491
DE73,895.8587
DE80,762.64655
DE91,818.4802
BG41,837.4897
BG42,791.2139
CH01,1737.7256
AT32,1672.5669
AT33,1676.7343
AT34,1784.4808
BE10,838.72144
BE23,845.22266
BE24,861.56903
BE25,826.03455
BE31,876.3197
BE32,870.9144
BE33,1019.74854
BE34,1042.3853
BE35,986.3249
BG31,792.18353
BG32,766.5046
BG33,692.8484
BG34,717.9936
DE92,839.39417
DE93,858.8131
DE94,903.5864
CZ07,903.4587
CZ08,971.5161
AL01,1467.9501
AL02,1127.853
AL03,1069.0302
AT11,836.6528
AT12,959.3459
AT13,794.0235
AT21,1441.4508
AT22,1284.4922
AT31,1364.4955
DK05,870.018
BE21,870.02625
BE22,908.9391
ES43,525.47375
ES51,759.2459
ES52,475.51535
ES53,413.3655
ES61,436.5743
ES62,333.9873
ES63,537.8054
ES64,277.3995
CH02,1666.986
CH03,1458.1124
CH04,1407.1013
CH05,1572.5022
CH06,1850.5541
CH07,1752.8129
CY00,328.23825
CZ01,731.5534
CZ02,779.88275
CZ03,922.51434
CZ04,859.4978
CZ05,887.22174
CZ06,807.84094
DE40,731.8802
EL53,706.184
EL54,1129.563
EL61,771.11835
EL62,1074.4913
EL63,939.13684
ES70,9.813502
ITC1,1371.0858
ITC2,1547.4806
DE11,1023.50006
DE12,1076.732
DE13,1259.5519
DE14,1260.5227
DE21,1367.3293
DE22,1084.7098
DE23,983.0443
DE24,930.6426
DE25,933.9758
DE26,913.4658
DE27,1347.7965
DE30,717.72144
EL42,446.19107
LV00,834.365
ME00,1574.7812
MK00,753.33954
MT00,419.65854
NL11,939.00104
NL12,997.7195
EL64,678.21954
EL65,586.0693
ES11,1201.085
ES12,1194.796
ES13,1056.5809
ES21,1051.517
ES22,883.90125
ES23,698.59326
ES24,615.02155
ES30,492.49106
IE05,1098.8334
IE06,957.00635
IS00,1512.5836
ITC3,1139.0066
FI19,750.5196
FI1B,796.3127
FI1C,782.07416
DEA1,940.9367
DEA2,1002.2126
DEA3,917.1794
DEA4,899.01825
DEA5,1063.2639
DEB1,915.25574
DEB2,948.7768
DEB3,877.02655
DEC0,1000.00946
DED2,874.0168
DED4,953.0483
DED5,776.71954
DEE0,735.8749
DEF0,882.70593
DEG0,848.2348
DK01,801.0054
DK02,778.2156
DK03,862.59656
DK04,864.53284
ES41,632.9435
ES42,471.61136
HU23,788.9214
HU31,744.1196
HU32,747.08936
HU33,703.768
IE04,1270.4127
EE00,824.8925
EL30,394.94104
EL41,587.2401
EL43,427.6343
EL51,730.0787
EL52,699.7173
FI20,685.73627
FR10,778.0938
FRB0,805.2464
FRC1,1025.0834
FRC2,1416.6536
FRD1,863.881
FRD2,849.18225
FRE1,857.6039
FRE2,833.39514
FRF1,1140.2252
NL13,885.56256
NL21,896.59186
NL22,890.6853
NL23,929.55084
NL31,896.2703
NL32,981.40967
ITG2,551.73975
ITH1,1367.9176
ITH2,1458.3013
FRI3,836.4918
FRJ1,957.87177
FRJ2,1048.545
FRK1,1050.2178
FRK2,1293.75
FRL0,891.66284
FRM0,743.29486
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,692.0669
TR32,652.70935
TR33,520.6915
HR03,1339.3287
HR02,961.6034
HU11,699.4052
HU12,716.4825
HU21,753.96783
HU22,808.8134
PT16,780.1441
PT17,524.6723
FRF2,970.1834
FRF3,1077.043
FRG0,774.25757
FRH0,861.2152
FRI1,992.88403
FRI2,1089.1818
ITC4,1250.4303
ITF1,950.0494
ITF2,855.8403
ITF3,1042.3284
ITF4,602.26746
ITF5,675.48895
ITF6,840.7291
ITG1,563.1805
LT01,850.8971
LT02,834.88965
LU00,986.4126
PL22,963.4396
PL41,738.05853
PL42,800.77783
PT18,479.74643
PT20,0.0
PT30,0.0
RO11,1020.31683
RO12,986.185
RO21,806.8182
RO22,629.0592
RO31,787.8229
RO32,730.72754
ITH3,1319.1229
ITH4,1695.1611
ITH5,1006.6298
ITI1,978.4804
ITI2,945.5522
ITI3,870.91595
ITI4,1028.63
LI00,1987.0668
FI1D,761.29376
TR82,804.8146
TR83,729.0306
TR90,1309.9872
TRA1,670.2861
TRA2,27.26854
PL43,744.2936
PL51,866.11975
PL52,839.12146
PL61,732.4326
PL62,810.9867
PL63,817.43207
PL71,771.6004
PL72,823.33057
PL81,821.1739
PL82,971.60266
PL84,791.5263
PL91,780.3218
PL92,777.82623
PT11,999.41833
PT15,415.5404
TRB1,789.7148
TRB2,57.012806
TRC1,579.18713
RS12,743.83704
RS21,909.64417
RS22,789.12366
SE11,697.90405
SE12,747.8496
NL33,923.1923
NL34,865.7387
NL41,874.8524
NL42,883.9543
PL21,1015.41486
UKM6,1520.3818
TR22,684.5367
TRC2,530.83
TRC3,107.83189
UKC1,879.97455
UKC2,895.60254
UKD1,1306.408
UKD3,1059.6835
UKD4,1237.115
UKD6,921.11847
UKD7,1066.7867
UKE1,770.19806
UKE2,914.17926
UKE3,813.1859
RO41,858.5014
RO42,950.4407
RS11,780.2306
TR41,598.26373
TR42,834.37256
TR51,469.57004
TR52,443.9336
TR61,679.7009
TR62,740.1068
TR63,671.7757
TR71,469.45145
TR72,622.1337
TR81,970.6829
UKK1,801.8223
UKK2,884.0051
UKK3,993.2233
UKK4,957.19183
UKL1,1215.3146
UKL2,1043.3134
UKM5,1002.73553
UKM7,1198.6232
UKM8,1476.2844
UKM9,1255.8923
UKN0,1113.9038
SE21,767.4083
SE22,795.62646
SE23,946.363
SE31,847.48865
SE32,919.14874
SE33,879.77374
SI03,1227.233
SI04,1511.2906
SK01,745.2263
SK02,809.91565
SK03,985.80865
SK04,911.96375
TR10,727.093
TR21,651.6518
UKE4,940.74274
UKF1,805.1096
UKF2,722.38525
UKF3,736.4458
UKG1,784.568
UKG2,855.9392
UKG3,787.7448
UKH1,725.49005
UKH2,702.4115
UKH3,721.0551
UKI3,714.4357
UKI4,714.4357
UKI5,713.2195
UKI6,735.0417
UKI7,717.8052
UKJ1,732.65814
UKJ2,793.8694
UKJ3,802.2816
UKJ4,773.9143
NO09,1410.4089
NO0A,2105.828
NO0B,656.4715
HR05,1010.2353
HR06,975.41656
NO02,1050.2942
NO06,1481.6362
NO07,1247.1976
NO08,1088.2279
