nuts,Summer Total Precipitation (mm) ensemble median - RCP4.5 - (2011 - 2040)
DE50,264.74667
DE60,265.35297
DE71,228.48837
DE72,238.051
DE73,246.35936
DE80,231.92888
DE91,242.3692
BG41,219.81656
BG42,181.26543
CH01,484.3207
AT32,563.54
AT33,585.5924
AT34,580.49774
BE10,225.09018
BE23,222.19087
BE24,232.66455
BE25,214.10953
BE31,236.05254
BE32,226.08493
BE33,270.70938
BE34,254.32898
BE35,256.7689
BG31,219.38458
BG32,209.80121
BG33,181.39398
BG34,151.89879
DE92,244.72984
DE93,257.01224
DE94,261.19266
CZ07,299.35144
CZ08,326.16632
AL01,175.42854
AL02,132.85997
AL03,93.38946
AT11,263.24277
AT12,309.43063
AT13,251.51778
AT21,463.14963
AT22,434.2393
AT31,433.3816
DK05,216.40497
BE21,234.84203
BE22,244.903
ES43,38.59958
ES51,174.3687
ES52,75.62179
ES53,35.513577
ES61,32.15279
ES62,38.18382
ES63,20.910248
ES64,18.487087
CH02,491.1929
CH03,434.57922
CH04,430.36783
CH05,502.40457
CH06,598.8072
CH07,532.9087
CY00,6.1706696
CZ01,252.94556
CZ02,260.5799
CZ03,301.37637
CZ04,275.92102
CZ05,290.27817
CZ06,261.51633
DE40,221.52672
EL53,97.30019
EL54,79.41832
EL61,87.72625
EL62,31.878458
EL63,56.368134
ES70,0.8756208
ITC1,357.6631
ITC2,405.39462
DE11,274.0452
DE12,275.3318
DE13,344.07672
DE14,382.80338
DE21,448.3757
DE22,333.507
DE23,294.2444
DE24,264.53058
DE25,263.82172
DE26,241.12366
DE27,431.51166
DE30,219.39038
EL42,3.0503204
LV00,267.34918
ME00,211.13704
MK00,132.42989
MT00,7.074758
NL11,284.78415
NL12,263.12006
EL64,59.05931
EL65,32.89606
ES11,144.26328
ES12,235.79425
ES13,216.57533
ES21,187.46948
ES22,172.93832
ES23,146.45215
ES24,139.78326
ES30,62.476364
IE05,242.06577
IE06,239.16196
IS00,269.77737
ITC3,187.50243
FI19,254.59138
FI1B,227.22548
FI1C,239.38194
DEA1,261.9736
DEA2,265.9206
DEA3,250.78554
DEA4,250.77371
DEA5,278.75122
DEB1,232.99019
DEB2,235.78291
DEB3,215.24437
DEC0,225.50046
DED2,270.0148
DED4,288.56366
DED5,219.1126
DEE0,219.76605
DEF0,248.65976
DEG0,243.44902
DK01,232.82411
DK02,229.50673
DK03,239.73784
DK04,231.41037
ES41,102.21154
ES42,62.141335
HU23,209.692
HU31,227.13371
HU32,211.87244
HU33,190.11575
IE04,288.207
EE00,259.95966
EL30,16.61725
EL41,10.57962
EL43,9.916002
EL51,111.493484
EL52,110.45783
FI20,181.03612
FR10,188.31152
FRB0,176.62274
FRC1,224.15334
FRC2,325.13248
FRD1,189.2253
FRD2,204.08253
FRE1,211.13348
FRE2,204.61256
FRF1,283.8798
NL13,257.81583
NL21,258.43475
NL22,252.73694
NL23,257.80383
NL31,250.17412
NL32,251.97708
ITG2,38.63892
ITH1,460.38333
ITH2,479.9644
FRI3,166.50826
FRJ1,174.85878
FRJ2,241.11687
FRK1,238.74408
FRK2,288.64304
FRL0,163.26707
FRM0,76.17022
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,22.803413
TR32,28.985762
TR33,47.952282
HR03,184.30453
HR02,236.21024
HU11,188.36755
HU12,201.839
HU21,207.58595
HU22,232.37311
PT16,56.031654
PT17,22.162388
FRF2,219.21094
FRF3,244.85352
FRG0,154.50438
FRH0,161.38022
FRI1,212.62236
FRI2,233.80301
ITC4,346.8327
ITF1,165.51076
ITF2,134.53198
ITF3,87.10757
ITF4,69.50512
ITF5,75.92904
ITF6,68.75227
ITG1,30.499075
LT01,279.70618
LT02,270.91205
LU00,244.47766
PL22,314.99948
PL41,243.70145
PL42,254.68
PT18,25.443905
PT20,0.0
PT30,0.0
RO11,326.76306
RO12,350.00943
RO21,295.1385
RO22,192.89642
RO31,253.76425
RO32,226.66295
ITH3,366.64285
ITH4,435.33905
ITH5,202.6169
ITI1,131.45592
ITI2,138.3525
ITI3,160.64632
ITI4,117.63794
LI00,677.07965
FI1D,259.18616
TR82,130.4874
TR83,107.542786
TR90,311.5596
TRA1,107.62453
TRA2,6.641863
PL43,239.36307
PL51,278.61914
PL52,277.4833
PL61,245.06161
PL62,270.25504
PL63,267.145
PL71,251.38618
PL72,270.07294
PL81,279.01477
PL82,319.92975
PL84,266.07968
PL91,250.09207
PL92,253.5195
PT11,95.91208
PT15,14.999806
TRB1,42.536
TRB2,3.0892255
TRC1,16.438185
RS12,195.85466
RS21,231.08162
RS22,187.86249
SE11,217.77344
SE12,248.44846
NL33,244.5467
NL34,226.07138
NL41,240.15147
NL42,241.6148
PL21,338.1709
UKM6,304.40933
TR22,52.763912
TRC2,11.1082325
TRC3,2.0152676
UKC1,224.59282
UKC2,230.30966
UKD1,288.98663
UKD3,264.84244
UKD4,287.49548
UKD6,240.67471
UKD7,261.22235
UKE1,204.19164
UKE2,229.97874
UKE3,221.19586
RO41,263.39862
RO42,278.95468
RS11,200.57658
TR41,73.661095
TR42,137.01541
TR51,53.00086
TR52,40.047
TR61,46.69771
TR62,69.78944
TR63,36.92086
TR71,44.67841
TR72,62.412495
TR81,186.84322
UKK1,199.67747
UKK2,201.51424
UKK3,211.6534
UKK4,218.84996
UKL1,262.2115
UKL2,243.20006
UKM5,241.34785
UKM7,270.19794
UKM8,310.70355
UKM9,277.0573
UKN0,268.57196
SE21,246.70277
SE22,248.0282
SE23,289.51166
SE31,283.69208
SE32,292.50336
SE33,292.55844
SI03,329.95056
SI04,371.72205
SK01,233.05649
SK02,250.04697
SK03,319.22314
SK04,303.87582
TR10,99.73484
TR21,83.943184
UKE4,240.445
UKF1,219.1066
UKF2,197.0793
UKF3,202.81476
UKG1,201.57274
UKG2,216.67926
UKG3,204.67885
UKH1,192.44711
UKH2,192.61009
UKH3,182.53018
UKI3,186.76605
UKI4,186.76605
UKI5,187.22498
UKI6,191.6642
UKI7,185.34882
UKJ1,193.11327
UKJ2,179.11703
UKJ3,185.22186
UKJ4,186.02336
NO09,333.82767
NO0A,434.65213
NO0B,92.26087
HR05,248.8299
HR06,250.288
NO02,332.12427
NO06,355.16132
NO07,292.19348
NO08,319.57666
