nuts,January Total Precipitation (mm) ensemble median - RCP4.5 - (2011 - 2040)
DE50,77.81203
DE60,78.388336
DE71,80.012184
DE72,80.28427
DE73,79.921364
DE80,61.025032
DE91,71.84299
BG41,51.607586
BG42,60.255592
CH01,141.22087
AT32,98.187416
AT33,96.986176
AT34,124.84554
BE10,74.25619
BE23,73.972855
BE24,75.60915
BE25,73.58655
BE31,77.135185
BE32,80.53977
BE33,94.96734
BE34,104.29901
BE35,91.821754
BG31,48.003605
BG32,48.381477
BG33,50.399315
BG34,57.775833
DE92,76.3134
DE93,75.099594
DE94,80.74252
CZ07,55.190323
CZ08,56.303295
AL01,141.0143
AL02,104.946075
AL03,101.693115
AT11,39.51992
AT12,53.97056
AT13,41.803642
AT21,64.45709
AT22,66.079796
AT31,93.55784
DK05,79.853
BE21,76.83278
BE22,81.235794
ES43,60.305668
ES51,45.039314
ES52,35.0479
ES53,44.233227
ES61,51.9535
ES62,29.327402
ES63,78.86413
ES64,39.883385
CH02,125.80972
CH03,99.95375
CH04,101.15449
CH05,99.28231
CH06,125.49958
CH07,91.25355
CY00,69.286194
CZ01,46.382797
CZ02,52.356785
CZ03,62.661587
CZ04,61.694622
CZ05,64.173645
CZ06,46.672173
DE40,58.120083
EL53,66.98503
EL54,130.58055
EL61,93.522896
EL62,127.56736
EL63,124.57649
ES70,1.5721036
ITC1,88.38138
ITC2,115.058105
DE11,84.38128
DE12,94.763374
DE13,102.37688
DE14,87.98238
DE21,89.32612
DE22,83.30322
DE23,81.70247
DE24,83.80821
DE25,78.21261
DE26,83.57526
DE27,93.63184
DE30,57.62586
EL42,87.72102
LV00,58.350803
ME00,140.88475
MK00,57.954178
MT00,72.70091
NL11,82.964935
NL12,89.48891
EL64,91.86488
EL65,86.0205
ES11,142.21378
ES12,121.73458
ES13,99.24651
ES21,107.10482
ES22,79.137665
ES23,57.80071
ES24,42.672035
ES30,47.544415
IE05,112.76552
IE06,87.64027
IS00,151.75659
ITC3,97.4616
FI19,51.246323
FI1B,64.32262
FI1C,58.178337
DEA1,87.639435
DEA2,93.73925
DEA3,84.0939
DEA4,84.19732
DEA5,103.4567
DEB1,81.28807
DEB2,90.28115
DEB3,73.00903
DEC0,94.569496
DED2,66.58746
DED4,74.00873
DED5,61.35971
DEE0,58.651512
DEF0,77.37999
DEG0,67.85011
DK01,66.60923
DK02,64.53181
DK03,75.99286
DK04,75.89039
ES41,63.473553
ES42,42.29088
HU23,46.0886
HU31,42.971577
HU32,44.563427
HU33,41.70958
IE04,132.70877
EE00,59.72133
EL30,62.747597
EL41,99.95068
EL43,82.808525
EL51,69.03787
EL52,58.116882
FI20,56.709007
FR10,66.49542
FRB0,70.32595
FRC1,87.84948
FRC2,125.67322
FRD1,86.304726
FRD2,76.77581
FRE1,81.14845
FRE2,76.33398
FRF1,95.989914
NL13,77.06761
NL21,78.770035
NL22,76.4177
NL23,80.55734
NL31,76.51062
NL32,87.82617
ITG2,51.162773
ITH1,66.07009
ITH2,67.3049
FRI3,82.92701
FRJ1,75.5285
FRJ2,88.64716
FRK1,84.73976
FRK2,107.75849
FRL0,72.33666
FRM0,66.9603
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,109.17608
TR32,112.63736
TR33,66.20423
HR03,109.4701
HR02,62.202396
HU11,41.3494
HU12,42.06735
HU21,44.521873
HU22,42.103493
PT16,89.048935
PT17,67.62928
FRF2,91.967804
FRF3,100.70444
FRG0,79.85243
FRH0,94.8447
FRI1,92.721886
FRI2,100.47925
ITC4,68.646545
ITF1,75.95264
ITF2,73.43197
ITF3,105.62682
ITF4,60.821236
ITF5,71.54801
ITF6,102.40804
ITG1,74.56065
LT01,58.5557
LT02,59.14981
LU00,94.7622
PL22,57.213078
PL41,51.688232
PL42,62.563152
PT18,58.008526
PT20,0.0
PT30,0.0
RO11,61.43823
RO12,49.07253
RO21,41.998055
RO22,42.715603
RO31,44.3083
RO32,43.31468
ITH3,67.55444
ITH4,91.41471
ITH5,66.54392
ITI1,75.01041
ITI2,70.86418
ITI3,63.522945
ITI4,86.20418
LI00,126.41423
FI1D,44.10306
TR82,71.60755
TR83,66.14314
TR90,99.31462
TRA1,51.571075
TRA2,2.2903492
PL43,56.084732
PL51,59.241013
PL52,51.12168
PL61,49.47001
PL62,56.834885
PL63,60.071938
PL71,49.628963
PL72,46.584236
PL81,48.123634
PL82,56.64182
PL84,51.82106
PL91,50.597374
PL92,49.98107
PT11,109.185265
PT15,47.67047
TRB1,95.43149
TRB2,6.1972885
TRC1,105.813896
RS12,46.519085
RS21,61.876945
RS22,54.464024
SE11,55.0574
SE12,50.955883
NL33,79.31815
NL34,73.99556
NL41,75.399605
NL42,79.18689
PL21,55.348713
UKM6,163.8236
TR22,88.30337
TRC2,85.278366
TRC3,16.792793
UKC1,79.011795
UKC2,80.57393
UKD1,135.37958
UKD3,101.81624
UKD4,125.6686
UKD6,80.811455
UKD7,95.07897
UKE1,64.73718
UKE2,86.00867
UKE3,69.10816
RO41,51.46461
RO42,60.566715
RS11,50.820812
TR41,65.58729
TR42,84.718636
TR51,52.896152
TR52,63.029316
TR61,122.39436
TR62,111.93963
TR63,107.076096
TR71,53.89766
TR72,60.719303
TR81,90.145004
UKK1,75.23978
UKK2,88.14371
UKK3,110.64754
UKK4,99.23377
UKL1,128.39183
UKL2,104.92582
UKM5,90.64839
UKM7,122.03579
UKM8,160.00545
UKM9,125.26777
UKN0,106.64362
SE21,59.83377
SE22,66.25255
SE23,73.08447
SE31,57.692924
SE32,65.20585
SE33,59.521873
SI03,65.49815
SI04,85.74592
SK01,42.471336
SK02,50.454723
SK03,59.638187
SK04,50.730373
TR10,79.90854
TR21,72.62363
UKE4,85.05619
UKF1,68.74303
UKF2,59.93411
UKF3,59.55429
UKG1,68.26369
UKG2,74.37468
UKG3,66.88681
UKH1,63.46099
UKH2,60.36906
UKH3,62.464756
UKI3,63.323555
UKI4,63.323555
UKI5,61.617203
UKI6,64.99923
UKI7,62.558907
UKJ1,64.0426
UKJ2,82.011894
UKJ3,79.8519
UKJ4,73.17888
NO09,143.26994
NO0A,213.7343
NO0B,62.63734
HR05,57.517937
HR06,54.692177
NO02,73.663635
NO06,119.01466
NO07,91.66466
NO08,88.06247
