nuts,June Total Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
DE50,95.151245
DE60,92.65291
DE71,83.106865
DE72,85.44254
DE73,86.67767
DE80,80.345245
DE91,83.83252
BG41,85.3862
BG42,77.867676
CH01,176.17415
AT32,200.96565
AT33,200.71004
AT34,209.06621
BE10,85.5931
BE23,77.17614
BE24,83.9624
BE25,67.98096
BE31,84.65991
BE32,80.1744
BE33,99.269005
BE34,95.279785
BE35,90.50407
BG31,84.25845
BG32,75.24725
BG33,68.41976
BG34,61.2682
DE92,85.13305
DE93,88.19269
DE94,89.60117
CZ07,96.633286
CZ08,107.7711
AL01,59.3358
AL02,48.836216
AL03,36.048256
AT11,92.45136
AT12,104.342
AT13,84.457306
AT21,170.50124
AT22,156.69354
AT31,147.48207
DK05,72.63792
BE21,83.27583
BE22,87.82481
ES43,13.921449
ES51,55.757393
ES52,25.670147
ES53,11.986501
ES61,10.924825
ES62,14.591359
ES63,4.209469
ES64,6.6020985
CH02,175.0252
CH03,153.55696
CH04,147.32205
CH05,177.98062
CH06,203.48103
CH07,181.79288
CY00,3.3051527
CZ01,81.9507
CZ02,85.73002
CZ03,101.445175
CZ04,89.04747
CZ05,92.3982
CZ06,88.68215
DE40,75.555214
EL53,36.151745
EL54,28.165707
EL61,26.701284
EL62,13.53702
EL63,19.098684
ES70,0.32386777
ITC1,139.96216
ITC2,152.51128
DE11,95.462814
DE12,96.30537
DE13,122.465645
DE14,137.59062
DE21,159.53928
DE22,115.791405
DE23,99.32269
DE24,90.09591
DE25,89.466515
DE26,83.813446
DE27,153.76562
DE30,72.296616
EL42,1.4429848
LV00,90.255775
ME00,71.912636
MK00,54.413647
MT00,2.2557273
NL11,93.29832
NL12,83.8249
EL64,18.386677
EL65,9.932629
ES11,53.60234
ES12,81.87175
ES13,79.17618
ES21,73.19481
ES22,64.16427
ES23,61.942604
ES24,49.010117
ES30,25.95785
IE05,72.62951
IE06,73.427605
IS00,76.18638
ITC3,73.27724
FI19,80.35627
FI1B,71.96992
FI1C,77.99354
DEA1,90.44149
DEA2,93.572624
DEA3,84.50558
DEA4,83.92697
DEA5,96.90487
DEB1,84.488174
DEB2,85.11745
DEB3,80.963425
DEC0,85.64709
DED2,85.20156
DED4,95.275734
DED5,76.567215
DEE0,75.86879
DEF0,84.91967
DEG0,85.25237
DK01,78.66315
DK02,75.89508
DK03,79.49823
DK04,75.8829
ES41,40.39797
ES42,23.283112
HU23,83.5387
HU31,82.86462
HU32,82.86824
HU33,72.27361
IE04,83.47388
EE00,85.2185
EL30,5.5591674
EL41,4.9842095
EL43,3.3251934
EL51,47.143223
EL52,41.054665
FI20,56.306545
FR10,66.09444
FRB0,63.100666
FRC1,81.397156
FRC2,120.0414
FRD1,59.61401
FRD2,64.91153
FRE1,69.50504
FRE2,69.79777
FRF1,103.15055
NL13,87.62214
NL21,85.52971
NL22,87.1561
NL23,84.23376
NL31,80.75619
NL32,76.49786
ITG2,15.591381
ITH1,167.14273
ITH2,170.00069
