nuts,August Total Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
DE50,75.367065
DE60,81.44146
DE71,65.27283
DE72,72.293465
DE73,76.381195
DE80,83.6607
DE91,75.54944
BG41,51.929394
BG42,41.882454
CH01,140.2036
AT32,186.56248
AT33,184.60184
AT34,174.95836
BE10,63.85894
BE23,63.988426
BE24,64.51694
BE25,63.50415
BE31,63.2571
BE32,63.281643
BE33,74.98435
BE34,73.67187
BE35,71.18906
BG31,55.450043
BG32,50.0614
BG33,42.214638
BG34,37.327763
DE92,71.88466
DE93,75.16342
DE94,78.08522
CZ07,90.69585
CZ08,97.36898
AL01,46.56463
AL02,35.446938
AL03,28.738682
AT11,86.85503
AT12,100.1001
AT13,80.827995
AT21,144.35413
AT22,145.00105
AT31,137.70604
DK05,77.89581
BE21,66.30879
BE22,67.42753
ES43,8.142525
ES51,58.384186
ES52,26.663046
ES53,15.037074
ES61,6.225281
ES62,11.632193
ES63,9.68914
ES64,4.9598584
CH02,147.5698
CH03,131.23384
CH04,123.94455
CH05,151.47198
CH06,183.97241
CH07,152.00768
CY00,1.3515775
CZ01,80.404686
CZ02,82.6983
CZ03,93.89485
CZ04,84.28584
CZ05,91.17289
CZ06,83.00194
DE40,67.89696
EL53,27.59702
EL54,19.308485
EL61,24.694586
EL62,10.634179
EL63,13.213948
ES70,0.15634978
ITC1,104.6596
ITC2,113.12303
DE11,77.54717
DE12,78.75059
DE13,97.209435
DE14,109.566444
DE21,136.80586
DE22,102.94235
DE23,89.89078
DE24,78.67961
DE25,76.970245
DE26,68.41262
DE27,125.87605
DE30,61.087154
EL42,0.7017761
LV00,93.106346
ME00,57.649204
MK00,34.623867
MT00,4.124878
NL11,86.62971
NL12,88.77291
EL64,15.501315
EL65,8.106853
ES11,30.019966
ES12,58.766743
ES13,56.94131
ES21,52.54755
ES22,55.99502
ES23,35.924213
ES24,41.6886
ES30,13.248554
IE05,75.61894
IE06,76.007065
IS00,112.66025
ITC3,51.800713
FI19,85.76704
FI1B,84.73444
FI1C,89.510796
DEA1,71.55237
DEA2,77.6307
DEA3,69.736115
DEA4,75.84086
DEA5,83.03523
DEB1,66.83975
DEB2,64.73317
DEB3,62.32345
DEC0,62.367424
DED2,83.86372
DED4,88.10704
DED5,69.137535
DEE0,71.85128
DEF0,78.01148
DEG0,73.250084
DK01,75.77202
DK02,71.94796
DK03,77.5852
DK04,79.55863
ES41,23.274149
ES42,13.713115
HU23,66.66839
HU31,67.40477
HU32,59.561066
HU33,57.091396
IE04,101.513695
EE00,98.68506
EL30,3.6139948
EL41,1.3135786
EL43,2.6754336
EL51,24.028719
EL52,30.823797
FI20,72.77196
FR10,51.677704
FRB0,47.548832
FRC1,61.743046
FRC2,88.163
FRD1,53.65726
FRD2,59.225006
FRE1,60.57813
FRE2,56.731743
FRF1,81.796
NL13,76.04625
NL21,73.87683
NL22,72.63183
NL23,76.09851
NL31,73.7434
NL32,80.94068
ITG2,10.233162
ITH1,147.2905
ITH2,134.377
FRI3,43.120247
FRJ1,57.338028
FRJ2,70.05887
FRK1,69.69572
FRK2,81.251175
FRL0,41.559956
FRM0,20.365778
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,3.021888
TR32,4.3641343
TR33,7.929508
HR03,63.181904
HR02,73.50333
HU11,59.364243
HU12,65.324905
HU21,73.03359
HU22,80.70805
PT16,10.874432
PT17,3.7201467
FRF2,64.536995
FRF3,68.39344
FRG0,37.87187
FRH0,43.771133
FRI1,59.304886
FRI2,68.78354
ITC4,104.17126
ITF1,50.04241
ITF2,37.018543
ITF3,28.74405
ITF4,19.650068
ITF5,22.189535
ITF6,25.094082
ITG1,14.151763
LT01,87.3376
LT02,88.327095
LU00,66.62577
PL22,94.25323
PL41,69.02608
PL42,80.15271
PT18,4.515468
PT20,0.0
PT30,0.0
RO11,89.0047
RO12,102.40593
RO21,80.93973
RO22,48.628418
RO31,64.85276
RO32,58.995216
ITH3,108.97215
ITH4,128.58139
ITH5,65.80963
ITI1,41.357788
ITI2,44.06059
ITI3,48.487133
ITI4,39.751595
LI00,209.0624
FI1D,89.50645
TR82,28.641933
TR83,20.28702
TR90,76.720695
TRA1,17.370462
TRA2,1.2086422
PL43,70.691895
PL51,84.69881
PL52,80.13749
PL61,71.22059
PL62,77.30373
PL63,83.91768
PL71,71.53538
PL72,81.80437
PL81,80.82071
PL82,92.73798
PL84,74.116714
PL91,73.783646
PL92,72.67371
PT11,18.82526
PT15,2.8465765
TRB1,4.044108
TRB2,0.2760911
TRC1,1.3227197
RS12,58.989162
RS21,60.04905
RS22,48.710644
SE11,76.63531
SE12,81.92632
NL33,75.19941
NL34,68.50634
NL41,66.93585
NL42,66.35826
PL21,96.89649
UKM6,114.8128
TR22,8.027664
TRC2,0.93993676
TRC3,0.16958757
UKC1,75.97112
UKC2,78.65287
UKD1,97.43905
UKD3,86.225746
UKD4,96.2651
UKD6,73.90203
UKD7,86.44279
UKE1,65.00936
UKE2,75.691475
UKE3,66.627365
RO41,62.74961
RO42,72.9655
RS11,57.06596
TR41,13.236995
TR42,33.017014
TR51,8.087361
TR52,4.7724195
TR61,7.8134108
TR62,12.211383
TR63,4.669044
TR71,5.287518
TR72,7.0290465
TR81,40.21796
UKK1,59.44649
UKK2,60.60264
UKK3,62.524857
UKK4,64.97292
UKL1,74.65775
UKL2,66.48518
UKM5,82.73007
UKM7,92.9579
UKM8,107.29494
UKM9,97.01872
UKN0,92.178734
SE21,74.505165
SE22,76.4078
SE23,94.20517
SE31,92.41353
SE32,97.97783
SE33,93.12523
SI03,110.337654
SI04,121.79924
SK01,73.995964
SK02,79.27776
SK03,94.177704
SK04,88.45445
TR10,24.517387
TR21,15.544381
UKE4,75.91035
