nuts,September Total Precipitation (mm) ensemble median - RCP4.5 - (2011 - 2040)
DE50,67.64928
DE60,71.15365
DE71,69.98814
DE72,72.57425
DE73,70.87039
DE80,64.97696
DE91,64.35631
BG41,50.747257
BG42,49.48731
CH01,128.1951
AT32,134.94302
AT33,130.44829
AT34,134.22527
BE10,57.512733
BE23,60.8189
BE24,60.19637
BE25,64.1628
BE31,59.737705
BE32,60.545208
BE33,71.937126
BE34,73.03285
BE35,64.87871
BG31,54.234406
BG32,54.82266
BG33,54.726597
BG34,49.863274
DE92,64.488556
DE93,68.487206
DE94,74.342735
CZ07,79.09898
CZ08,83.483505
AL01,106.079056
AL02,83.05509
AL03,81.98093
AT11,75.44195
AT12,83.367775
AT13,75.38347
AT21,126.30321
AT22,113.24567
AT31,110.69541
DK05,78.51521
BE21,63.63249
BE22,67.17373
ES43,35.80029
ES51,74.301895
ES52,50.134937
ES53,44.492374
ES61,28.316145
ES62,36.18836
ES63,27.018808
ES64,25.163395
CH02,129.5871
CH03,114.76758
CH04,109.35159
CH05,122.04973
CH06,149.3767
CH07,173.06055
CY00,5.4634547
CZ01,61.893505
CZ02,64.526146
CZ03,70.06709
CZ04,66.29188
CZ05,75.21844
CZ06,71.33503
DE40,59.234207
EL53,45.621613
EL54,76.36816
EL61,46.986298
EL62,76.21267
EL63,55.244926
ES70,0.6627307
ITC1,126.45028
ITC2,117.95748
DE11,73.092445
DE12,78.541664
DE13,90.423836
DE14,93.000305
DE21,106.14718
DE22,78.7729
DE23,71.43023
DE24,70.44603
DE25,68.00248
DE26,68.61707
DE27,99.82076
DE30,56.95744
EL42,9.625382
LV00,71.47286
ME00,122.726616
MK00,48.190777
MT00,36.481483
NL11,81.44861
NL12,94.285194
EL64,36.050728
EL65,26.883068
ES11,66.78239
ES12,74.97232
ES13,69.675186
ES21,60.487953
ES22,56.85235
ES23,40.808422
ES24,51.104046
ES30,27.897058
IE05,83.95433
IE06,72.909775
IS00,146.0903
ITC3,107.850334
FI19,66.7061
FI1B,69.58717
FI1C,67.62519
DEA1,71.459656
DEA2,75.460655
DEA3,69.35648
DEA4,69.6563
DEA5,82.17846
DEB1,69.60146
DEB2,70.32153
DEB3,68.255196
DEC0,73.683235
DED2,70.12385
DED4,71.45608
DED5,62.016888
DEE0,62.000847
DEF0,75.825134
DEG0,66.01855
DK01,70.44099
DK02,68.46284
DK03,78.65548
DK04,79.88021
ES41,38.44671
ES42,31.604904
HU23,64.15253
HU31,56.46372
HU32,59.33919
HU33,59.662357
IE04,101.82823
EE00,74.847664
EL30,14.626708
EL41,16.234259
EL43,14.655149
EL51,36.45877
EL52,49.81283
FI20,63.507812
FR10,53.12585
FRB0,54.30306
FRC1,75.71887
FRC2,104.55967
FRD1,58.407646
FRD2,58.15083
FRE1,58.47266
FRE2,54.406
FRF1,86.74168
NL13,70.552216
NL21,68.84105
NL22,66.367325
NL23,76.02439
NL31,70.18895
NL32,91.747536
ITG2,40.060844
ITH1,102.42644
ITH2,118.98586
FRI3,53.64175
FRJ1,76.93872
FRJ2,71.6204
FRK1,82.46693
FRK2,96.6599
FRL0,73.808716
FRM0,55.199158
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,18.555727
TR32,16.983843
TR33,17.159113
HR03,112.85978
HR02,83.159035
HU11,53.890198
HU12,52.26203
HU21,60.390656
HU22,68.41246
PT16,44.11147
PT17,27.833658
FRF2,71.005905
FRF3,80.26635
FRG0,49.740604
FRH0,54.610744
FRI1,69.425896
FRI2,74.82919
ITC4,116.6962
ITF1,76.97764
ITF2,65.12062
ITF3,86.15825
ITF4,51.00507
ITF5,50.991108
ITF6,64.094444
ITG1,53.683575
LT01,69.81707
LT02,68.16886
LU00,72.592865
PL22,80.32705
PL41,60.071144
PL42,65.872345
PT18,28.879845
