nuts,March Total Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
DE50,63.034298
DE60,62.99909
DE71,74.029205
DE72,73.804855
DE73,71.584274
DE80,52.76708
DE91,64.93764
BG41,80.040085
BG42,76.85697
CH01,126.19121
AT32,119.53596
AT33,112.899956
AT34,128.56479
BE10,71.81699
BE23,68.37042
BE24,73.198456
BE25,65.7337
BE31,77.22936
BE32,76.87124
BE33,87.644135
BE34,90.60989
BE35,85.47513
BG31,64.81794
BG32,60.174923
BG33,57.36347
BG34,64.966965
DE92,66.26442
DE93,61.303032
DE94,66.22543
CZ07,65.68509
CZ08,68.33792
AL01,151.38986
AL02,123.01807
AL03,115.62598
AT11,58.320877
AT12,66.288506
AT13,56.893196
AT21,95.29742
AT22,88.81166
AT31,102.747025
DK05,54.83153
BE21,71.82549
BE22,76.69943
ES43,46.90159
ES51,57.084858
ES52,39.452965
ES53,32.304077
ES61,53.83466
ES62,35.991203
ES63,69.96834
ES64,38.342815
CH02,120.18552
CH03,104.51025
CH04,106.43408
CH05,102.12139
CH06,126.21323
CH07,108.21084
CY00,36.5475
CZ01,51.739365
CZ02,56.416653
CZ03,68.40521
CZ04,62.29821
CZ05,66.157936
CZ06,56.384212
DE40,52.98829
EL53,75.64657
EL54,125.187256
EL61,85.709496
EL62,97.75246
EL63,100.78714
ES70,1.0479248
ITC1,96.87286
ITC2,113.25266
DE11,82.32032
DE12,89.53569
DE13,98.51029
DE14,92.86634
DE21,100.251305
DE22,85.59733
DE23,77.068726
DE24,72.444954
DE25,74.57235
DE26,75.211464
DE27,99.75399
DE30,51.989483
EL42,50.92253
LV00,48.98514
ME00,148.07602
MK00,77.673996
MT00,28.774061
NL11,63.767776
NL12,64.521576
EL64,78.44335
EL65,69.84683
ES11,113.938515
ES12,105.96179
ES13,91.67269
ES21,95.33701
ES22,76.60042
ES23,58.922665
ES24,47.280483
ES30,41.540558
IE05,87.15501
IE06,76.211266
IS00,139.34468
ITC3,94.19348
FI19,39.30526
FI1B,44.09426
FI1C,42.603935
DEA1,77.845856
DEA2,84.078064
DEA3,73.43436
DEA4,73.46322
DEA5,88.16253
DEB1,76.11056
DEB2,79.84319
DEB3,70.38398
DEC0,83.40742
DED2,65.84705
DED4,71.05418
DED5,57.207283
DEE0,55.28986
DEF0,59.650406
DEG0,65.51997
DK01,47.22539
DK02,47.957527
DK03,57.84691
DK04,55.700176
ES41,55.08568
ES42,44.922626
HU23,59.733036
HU31,47.450497
HU32,52.754673
HU33,49.514454
IE04,97.03445
EE00,43.169147
EL30,53.69472
EL41,67.1007
EL43,49.178173
EL51,76.81343
EL52,73.50939
FI20,34.077553
FR10,64.36696
FRB0,64.38986
FRC1,77.06543
FRC2,110.404335
FRD1,73.459526
FRD2,70.74427
