nuts,Autumn Total Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
DE50,204.72372
DE60,225.77916
DE71,220.41129
DE72,216.17789
DE73,211.65054
DE80,181.43964
DE91,193.76161
BG41,183.29866
BG42,179.91684
CH01,404.09317
AT32,361.44403
AT33,358.277
AT34,377.03497
BE10,197.73357
BE23,205.43573
BE24,201.27628
BE25,224.48042
BE31,203.07805
BE32,207.90738
BE33,229.10223
BE34,243.49544
BE35,222.2847
BG31,164.02837
BG32,168.29163
BG33,172.86574
BG34,181.12221
DE92,195.27455
DE93,206.5216
DE94,224.49983
CZ07,196.6397
CZ08,208.3813
AL01,459.51605
AL02,336.0541
AL03,351.69327
AT11,211.48074
AT12,209.98492
AT13,194.02766
AT21,361.58896
AT22,292.37445
AT31,282.91602
DK05,253.32907
BE21,204.8717
BE22,212.1549
ES43,167.47887
ES51,222.51875
ES52,152.64262
ES53,162.75748
ES61,138.76999
ES62,112.74434
ES63,166.59721
ES64,88.85761
CH02,375.21164
CH03,318.98578
CH04,313.67392
CH05,361.67667
CH06,417.70538
CH07,473.0585
CY00,72.87031
CZ01,166.5808
CZ02,172.43011
CZ03,188.85689
CZ04,188.0223
CZ05,199.65353
CZ06,178.5023
DE40,166.63445
EL53,196.91884
EL54,381.07962
EL61,219.93352
EL62,410.233
EL63,307.77728
ES70,3.160535
ITC1,385.1074
ITC2,365.84943
DE11,241.03333
DE12,260.19614
DE13,286.31888
DE14,271.26114
DE21,289.66016
DE22,227.53506
DE23,218.5239
DE24,222.9372
DE25,221.755
DE26,221.78226
DE27,284.9833
DE30,162.27234
EL42,105.51925
LV00,219.49463
ME00,497.0609
MK00,191.86372
MT00,183.19032
NL11,239.46342
NL12,289.01544
EL64,186.8887
EL65,162.17896
ES11,343.2959
ES12,309.21335
ES13,273.10513
ES21,256.70535
ES22,217.98907
ES23,166.83524
ES24,163.64325
ES30,149.36351
IE05,301.95413
IE06,250.36853
IS00,460.7303
ITC3,386.59982
FI19,203.84697
FI1B,230.87152
FI1C,219.66946
DEA1,224.13411
DEA2,239.11485
DEA3,211.61246
DEA4,210.18587
DEA5,249.04141
DEB1,223.1387
DEB2,228.30003
DEB3,220.58066
DEC0,251.75276
DED2,197.55891
DED4,213.23189
DED5,180.78937
DEE0,171.50993
DEF0,232.43533
DEG0,197.44551
DK01,222.09346
DK02,215.80717
DK03,240.1589
DK04,245.41876
ES41,176.77864
ES42,139.74568
HU23,197.10033
HU31,171.74612
HU32,177.57007
HU33,164.4799
IE04,352.6842
EE00,235.54143
EL30,108.23663
EL41,145.01114
EL43,103.12029
EL51,188.95284
EL52,199.24675
FI20,223.15712
FR10,191.92984
FRB0,203.16843
FRC1,264.98532
FRC2,348.6304
FRD1,239.40192
FRD2,223.67288
FRE1,220.09319
FRE2,205.58641
FRF1,275.40005
NL13,208.09958
NL21,209.5099
NL22,207.07538
NL23,236.00778
NL31,210.79086
NL32,296.28134
ITG2,172.94604
ITH1,316.27658
ITH2,351.90244
FRI3,215.63107
FRJ1,303.84344
FRJ2,252.47838
FRK1,271.79163
FRK2,341.18823
FRL0,273.84378
FRM0,237.56805
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,174.85342
TR32,149.92075
TR33,109.8419
HR03,441.93558
HR02,259.86798
HU11,167.75952
