nuts,April Total Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
DE50,59.096867
DE60,56.475002
DE71,58.977077
DE72,62.262794
DE73,62.673744
DE80,51.149055
DE91,59.075283
BG41,84.71809
BG42,73.151
CH01,131.9159
AT32,119.09595
AT33,122.59579
AT34,130.45674
BE10,57.063087
BE23,59.251743
BE24,58.624813
BE25,59.34828
BE31,60.946136
BE32,63.815376
BE33,68.818085
BE34,70.74128
BE35,68.24956
BG31,79.59064
BG32,73.489655
BG33,61.322704
BG34,65.00533
DE92,60.23837
DE93,57.11652
DE94,54.907795
CZ07,60.512394
CZ08,66.03806
AL01,129.7558
AL02,101.784004
AL03,83.54975
AT11,60.976505
AT12,69.44317
AT13,55.788387
AT21,110.17706
AT22,92.66661
AT31,96.02218
DK05,48.45839
BE21,59.05101
BE22,59.834553
ES43,54.36836
ES51,69.23615
ES52,44.992275
ES53,30.551174
ES61,44.754215
ES62,30.543964
ES63,44.40692
ES64,27.871912
CH02,124.98793
CH03,109.165764
CH04,107.0639
CH05,118.199265
CH06,137.89815
CH07,155.8721
CY00,20.305967
CZ01,50.482178
CZ02,54.98979
CZ03,64.174866
CZ04,57.62834
CZ05,59.994934
CZ06,55.605427
DE40,47.902813
EL53,66.200356
EL54,79.12628
EL61,57.187206
EL62,49.07432
EL63,69.5778
ES70,0.43598935
ITC1,129.96684
ITC2,129.75485
DE11,73.46004
DE12,75.25276
DE13,90.96232
DE14,93.93569
DE21,98.31043
DE22,75.705475
DE23,66.68429
DE24,62.15309
DE25,62.623844
DE26,61.56104
DE27,100.1541
DE30,48.434658
EL42,25.871122
LV00,49.399574
ME00,128.41708
MK00,71.98787
MT00,18.120142
NL11,55.53537
NL12,50.393284
EL64,51.182632
EL65,41.32288
ES11,106.12308
ES12,111.29072
ES13,102.84383
ES21,105.43163
ES22,92.16563
ES23,76.50783
ES24,64.319916
ES30,56.59899
IE05,78.535034
IE06,71.908134
IS00,110.22686
ITC3,107.13399
FI19,41.903194
FI1B,38.490124
FI1C,39.168888
DEA1,58.499382
DEA2,65.38429
DEA3,57.5608
DEA4,62.294342
DEA5,70.63415
DEB1,62.419746
DEB2,64.99625
DEB3,60.7411
DEC0,65.98213
DED2,57.446323
DED4,63.90225
DED5,50.065426
DEE0,50.390903
DEF0,53.04907
DEG0,61.15214
DK01,41.57092
DK02,43.64246
DK03,48.597218
DK04,48.367363
ES41,68.32797
ES42,52.978477
HU23,55.578815
HU31,53.80866
HU32,57.59176
HU33,52.307938
IE04,83.23323
EE00,44.257996
EL30,26.304682
EL41,38.383884
EL43,29.345638
EL51,58.586452
EL52,56.304695
FI20,33.338646
FR10,60.046047
FRB0,68.41048
FRC1,87.80076
FRC2,107.554
FRD1,66.8187
FRD2,65.910835
FRE1,65.02223
FRE2,62.836254
FRF1,82.132385
NL13,54.10774
NL21,54.499176
NL22,56.247185
NL23,56.73542
NL31,58.474873
NL32,51.428383
ITG2,54.771435
ITH1,103.47202
ITH2,120.03327
FRI3,72.358154
FRJ1,88.04771
FRJ2,105.4366
FRK1,101.09282
FRK2,111.614655
FRL0,86.753075
FRM0,66.51739
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,57.427402
TR32,54.75888
TR33,59.97271
HR03,106.44299
HR02,77.87059
HU11,51.14461
HU12,52.352123
HU21,53.06384
HU22,55.55332
PT16,69.709145
PT17,47.869614
FRF2,71.774445
FRF3,74.20953
FRG0,64.36455
FRH0,66.80953
FRI1,98.93404
FRI2,102.494934
ITC4,111.08857
ITF1,85.28058
ITF2,71.85676
ITF3,87.64713
ITF4,45.66183
ITF5,63.38639
ITF6,64.69361
ITG1,43.15407
LT01,55.056602
LT02,52.558846
LU00,68.47698
PL22,62.16162
PL41,45.082047
PL42,49.32817
PT18,48.712326
PT20,0.0
PT30,0.0
RO11,89.40688
RO12,93.64796
RO21,76.50052
RO22,57.761566
RO31,72.10533
RO32,68.90763
ITH3,107.41656
ITH4,135.86407
ITH5,92.766235
ITI1,87.47712
ITI2,95.01115
ITI3,80.25962
ITI4,91.045525
LI00,144.48305
FI1D,40.032143
TR82,95.23382
TR83,90.459724
TR90,120.953606
TRA1,84.744896
TRA2,2.847851
PL43,49.06317
PL51,56.655457
PL52,53.49455
PL61,49.54024
PL62,51.76243
PL63,48.52992
PL71,51.553467
PL72,56.827557
PL81,56.024727
PL82,71.67689
PL84,55.402737
PL91,54.67685
PL92,53.774498
PT11,88.70457
PT15,43.91823
TRB1,105.36116
TRB2,8.012359
TRC1,60.546417
RS12,58.97019
RS21,85.20087
RS22,78.71952
SE11,35.44163
SE12,42.143562
NL33,56.825207
NL34,57.034203
NL41,55.856422
NL42,55.812
PL21,69.7244
UKM6,88.33219
TR22,55.32093
TRC2,64.04087
TRC3,12.640314
UKC1,65.63826
UKC2,63.061054
UKD1,80.30041
UKD3,77.441605
UKD4,80.87283
UKD6,68.71143
UKD7,71.07787
UKE1,62.06247
UKE2,71.91903
UKE3,69.63698
RO41,76.86443
RO42,83.77568
RS11,64.64121
TR41,62.364243
TR42,81.04697
TR51,58.493687
TR52,49.161434
TR61,63.74688
TR62,71.91904
TR63,73.09334
TR71,59.96008
TR72,87.1274
TR81,95.11273
UKK1,64.21207
UKK2,66.40622
UKK3,71.11124
UKK4,71.4379
UKL1,79.79875
UKL2,74.96165
UKM5,67.60818
UKM7,74.80915
UKM8,86.381165
UKM9,80.59332
UKN0,76.80762
SE21,41.8686
SE22,44.113655
SE23,51.17564
SE31,49.481625
SE32,52.015266
SE33,45.995754
SI03,96.18596
SI04,117.36323
SK01,53.19011
SK02,55.82127
SK03,70.914215
SK04,65.90126
TR10,48.145447
TR21,51.0401
UKE4,74.88365
UKF1,66.088974
UKF2,59.188526
UKF3,62.01981
UKG1,62.497856
UKG2,65.93967
UKG3,61.963936
UKH1,56.333252
UKH2,59.07536
UKH3,54.554604
UKI3,57.103664
UKI4,57.103664
UKI5,58.214455
UKI6,59.0591
UKI7,58.183903
UKJ1,61.254967
UKJ2,58.722397
UKJ3,62.541286
UKJ4,55.170605
NO09,79.61257
NO0A,113.557465
NO0B,52.506466
HR05,74.171394
HR06,73.94517
NO02,60.81688
NO06,86.17061
NO07,77.66735
NO08,65.05793
