nuts,May Total Precipitation (mm) ensemble median - RCP4.5 - (2011 - 2040)
DE50,72.408455
DE60,71.000824
DE71,77.93968
DE72,79.71141
DE73,81.108955
DE80,63.807236
DE91,70.48248
BG41,107.98481
BG42,92.62306
CH01,162.5354
AT32,155.67517
AT33,163.27055
AT34,173.06421
BE10,73.49281
BE23,74.449394
BE24,75.17013
BE25,71.12634
BE31,76.82292
BE32,77.59216
BE33,85.62757
BE34,87.20733
BE35,82.494865
BG31,92.84426
BG32,80.01728
BG33,66.93499
BG34,71.18398
DE92,70.91441
DE93,71.795235
DE94,69.366135
CZ07,87.782814
CZ08,98.633316
AL01,108.01428
AL02,90.47234
AL03,70.178535
AT11,88.114525
AT12,100.590126
AT13,82.59121
AT21,138.24324
AT22,132.56197
AT31,132.87149
DK05,61.765713
BE21,74.88391
BE22,75.569534
ES43,50.761906
ES51,78.88037
ES52,45.13968
ES53,29.86395
ES61,38.65036
ES62,30.867067
ES63,27.500338
ES64,22.723907
CH02,167.07729
CH03,154.27768
CH04,144.78877
CH05,151.85303
CH06,176.79369
CH07,182.69217
CY00,15.220334
CZ01,72.5625
CZ02,74.39629
CZ03,92.260956
CZ04,75.1993
CZ05,79.75279
CZ06,80.79986
DE40,62.15307
EL53,67.163536
EL54,68.51599
EL61,52.726097
EL62,27.843527
EL63,51.44673
ES70,0.4257267
ITC1,141.45296
ITC2,151.58014
DE11,99.17494
DE12,104.339905
DE13,129.88235
DE14,127.8649
DE21,139.70662
DE22,104.84115
DE23,88.02665
DE24,82.07169
DE25,89.41408
DE26,82.67572
DE27,134.89322
DE30,61.70843
EL42,11.185702
LV00,60.93697
ME00,117.426285
MK00,83.67654
MT00,7.6338573
NL11,71.48849
NL12,66.26064
EL64,43.57285
EL65,26.703032
ES11,111.176056
ES12,116.71005
ES13,97.3427
ES21,93.47788
ES22,86.08443
ES23,86.101036
ES24,70.3014
ES30,61.28105
IE05,83.17431
IE06,77.863884
IS00,84.903946
ITC3,87.92527
FI19,53.655468
FI1B,45.793594
FI1C,49.046795
DEA1,75.65185
DEA2,81.95225
DEA3,74.10072
DEA4,76.8585
DEA5,86.193085
DEB1,78.8535
DEB2,85.01741
DEB3,78.00529
DEC0,84.872894
DED2,71.01019
DED4,82.10544
DED5,64.545654
DEE0,66.10924
DEF0,71.260185
DEG0,77.1726
DK01,52.48761
DK02,53.329323
DK03,63.113396
DK04,65.02865
ES41,72.85967
ES42,52.64333
HU23,74.96789
HU31,82.43351
HU32,77.02349
HU33,68.76435
IE04,94.236
EE00,53.4991
EL30,16.036259
EL41,17.598673
EL43,15.778178
EL51,64.47034
EL52,63.789795
FI20,35.204018
FR10,72.999626
FRB0,76.73714
FRC1,100.61053
FRC2,135.49347
FRD1,72.060905
FRD2,71.808044
FRE1,73.37158
FRE2,76.70724
FRF1,113.84163
NL13,71.53607
NL21,73.487595
NL22,73.3805
NL23,72.8479
NL31,72.88592
NL32,66.04325
ITG2,41.345715
ITH1,133.82774
ITH2,153.04626
FRI3,76.886665
FRJ1,89.5641
FRJ2,107.16978
FRK1,107.659485
FRK2,123.904205
FRL0,81.45677
FRM0,49.70475
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,32.768272
TR32,36.962658
TR33,48.540733
HR03,90.98886
HR02,90.985344
HU11,71.40976
HU12,76.78544
HU21,75.03738
HU22,79.92101
PT16,72.50771
PT17,41.60673
FRF2,87.975624
FRF3,98.18702
FRG0,71.69875
FRH0,73.726105
FRI1,93.808846
FRI2,107.250374
ITC4,120.25841
ITF1,84.7848
ITF2,68.07902
ITF3,64.73104
ITF4,36.316483
ITF5,50.866386
ITF6,47.10564
ITG1,24.915293
LT01,71.178856
LT02,62.365353
LU00,85.727295
PL22,94.66217
PL41,60.119347
PL42,61.60213
PT18,42.60492
PT20,0.0
PT30,0.0
RO11,105.58011
RO12,116.42576
RO21,91.08075
RO22,67.04859
RO31,84.95539
RO32,72.02263
ITH3,122.59848
ITH4,156.38945
ITH5,85.12414
ITI1,68.43787
ITI2,80.81719
ITI3,74.26346
ITI4,72.1518
LI00,195.34534
FI1D,57.9855
TR82,88.61655
TR83,89.32851
TR90,141.1702
TRA1,96.45803
TRA2,3.4749358
PL43,62.769
PL51,72.73903
PL52,75.70212
PL61,60.27398
PL62,67.49929
PL63,64.30708
PL71,70.86055
PL72,76.64519
PL81,79.99697
PL82,98.892456
PL84,73.8818
PL91,72.219574
PL92,71.69461
PT11,94.64697
PT15,29.935987
TRB1,94.9696
TRB2,5.875353
TRC1,47.52673
RS12,71.15001
RS21,101.89795
RS22,87.913704
SE11,39.840332
SE12,53.756893
NL33,69.613335
NL34,69.29252
NL41,75.00025
NL42,73.820885
PL21,103.30878
UKM6,87.79096
TR22,41.752243
TRC2,45.55672
TRC3,8.561963
UKC1,62.002274
UKC2,64.50301
UKD1,85.814445
UKD3,80.16517
UKD4,82.16843
UKD6,73.367386
UKD7,72.52068
UKE1,59.246162
UKE2,65.95665
UKE3,66.31325
RO41,98.55615
RO42,98.19913
RS11,87.26908
TR41,53.940975
TR42,71.58166
TR51,53.664864
TR52,49.256233
TR61,49.50761
TR62,67.821175
TR63,59.82389
TR71,55.781338
TR72,85.516136
TR81,85.703
UKK1,69.11436
UKK2,66.39237
UKK3,72.433266
UKK4,72.47483
UKL1,82.35398
UKL2,83.29913
UKM5,72.332306
UKM7,85.57596
UKM8,97.691925
UKM9,84.253
UKN0,84.33994
SE21,56.121624
SE22,58.067284
SE23,66.105995
SE31,66.72064
SE32,66.96918
SE33,60.523922
SI03,112.24516
SI04,128.40907
SK01,75.82751
SK02,84.61693
SK03,107.6996
SK04,97.51644
TR10,37.001686
TR21,45.389854
UKE4,70.601906
UKF1,68.50902
UKF2,66.68254
UKF3,61.393234
UKG1,69.8408
UKG2,70.44144
UKG3,70.05563
UKH1,56.83214
UKH2,61.63731
UKH3,59.157555
UKI3,62.73845
UKI4,62.73845
UKI5,61.65454
UKI6,62.9851
UKI7,62.52624
UKJ1,65.3294
