nuts,July Total Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
DE50,91.25925
DE60,95.43726
DE71,77.30089
DE72,80.99811
DE73,83.61853
DE80,80.85782
DE91,83.538086
BG41,70.10714
BG42,66.11666
CH01,151.7573
AT32,187.9301
AT33,192.13759
AT34,189.57129
BE10,74.04186
BE23,73.217186
BE24,76.50061
BE25,67.80497
BE31,76.37248
BE32,71.121056
BE33,87.2841
BE34,85.2016
BE35,84.11553
BG31,71.5746
BG32,74.869545
BG33,63.04902
BG34,57.228294
DE92,83.65045
DE93,92.30163
DE94,89.82625
CZ07,100.763725
CZ08,112.68905
AL01,47.084538
AL02,36.079025
AL03,23.544477
AT11,76.45574
AT12,101.840546
AT13,79.37406
AT21,144.96608
AT22,138.97084
AT31,147.69786
DK05,69.319214
BE21,80.2317
BE22,80.26508
ES43,6.705095
ES51,50.896862
ES52,15.501815
ES53,5.4781575
ES61,5.7780466
ES62,7.0360126
ES63,3.3466458
ES64,2.455779
CH02,156.09665
CH03,140.37709
CH04,134.94283
CH05,162.67354
CH06,201.51591
CH07,174.12398
CY00,1.3954161
CZ01,84.598434
CZ02,89.35051
CZ03,104.73802
CZ04,91.73733
CZ05,98.805275
CZ06,89.08373
DE40,79.98472
EL53,28.255585
EL54,20.116537
EL61,25.426628
EL62,5.9269257
EL63,13.997427
ES70,0.24677838
ITC1,110.49915
ITC2,130.0243
DE11,90.552505
DE12,90.967964
DE13,108.52926
DE14,123.62671
DE21,147.52199
DE22,115.09061
DE23,99.77047
DE24,89.88966
DE25,87.93739
DE26,79.92603
DE27,142.15814
DE30,78.144775
EL42,0.4655987
LV00,91.148
ME00,58.89138
MK00,40.48167
MT00,0.31162223
NL11,94.161644
NL12,87.18126
EL64,16.742277
EL65,7.178033
ES11,37.02803
ES12,71.41641
ES13,73.08725
ES21,62.673244
ES22,50.933887
ES23,42.56619
ES24,35.0196
ES30,13.9147415
IE05,76.995544
IE06,74.78419
IS00,92.735275
ITC3,48.856167
FI19,92.75264
FI1B,76.00317
FI1C,81.506065
DEA1,84.901825
DEA2,86.16685
DEA3,85.75996
DEA4,83.39068
DEA5,93.40202
DEB1,75.782196
DEB2,78.055115
DEB3,70.511604
DEC0,75.12001
DED2,92.35613
DED4,96.80467
DED5,76.831375
DEE0,77.274536
DEF0,83.49621
DEG0,81.94831
DK01,70.216385
DK02,70.17448
DK03,79.73567
DK04,74.76886
ES41,27.766314
ES42,11.745596
HU23,57.80046
HU31,73.32694
HU32,68.70776
HU33,56.69162
IE04,95.8058
EE00,84.88403
EL30,3.797345
EL41,2.5183542
EL43,2.3925366
EL51,38.76307
EL52,35.71518
FI20,57.042114
FR10,57.914658
FRB0,58.614025
FRC1,68.87653
FRC2,100.59661
FRD1,58.57218
FRD2,62.214516
FRE1,64.687035
FRE2,61.30181
FRF1,90.48234
NL13,89.92357
NL21,88.14627
NL22,87.182816
NL23,84.98169
NL31,82.70046
NL32,79.32376
ITG2,7.5295625
ITH1,151.85474
ITH2,158.57187
FRI3,50.744442
FRJ1,49.9273
FRJ2,72.215034
FRK1,73.90475
FRK2,89.10307
FRL0,44.82891
FRM0,15.675518
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,3.769783
TR32,5.03454
TR33,11.801072
HR03,46.19243
HR02,68.53116
HU11,57.793545
HU12,61.619144
HU21,63.056564
HU22,70.53907
PT16,12.419996
PT17,4.4277387
FRF2,70.969925
FRF3,78.43208
FRG0,50.597656
FRH0,51.506535
