nuts,Annual Total Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
DE50,905.7298
DE60,944.53107
DE71,924.35815
DE72,928.9438
DE73,933.76355
DE80,803.1616
DE91,877.8371
BG41,815.1818
BG42,774.47876
CH01,1699.3035
AT32,1685.5309
AT33,1679.3346
AT34,1814.3735
BE10,851.788
BE23,842.01605
BE24,881.16425
BE25,851.44495
BE31,896.0715
BE32,889.42346
BE33,1017.7508
BE34,1050.0922
BE35,995.9863
BG31,788.72766
BG32,768.98206
BG33,692.842
BG34,716.5512
DE92,894.1584
DE93,895.7891
DE94,938.7898
CZ07,929.61536
CZ08,983.7006
AL01,1397.2598
AL02,1049.3353
AL03,1011.44745
AT11,841.20166
AT12,976.3705
AT13,811.38196
AT21,1410.8389
AT22,1300.5686
AT31,1391.5801
DK05,952.8198
BE21,890.3763
BE22,926.39026
ES43,495.96158
ES51,698.494
ES52,436.0378
ES53,390.51328
ES61,391.5512
ES62,285.76718
ES63,473.87054
ES64,220.47246
CH02,1650.2875
CH03,1452.1857
CH04,1439.6967
CH05,1590.7878
CH06,1814.9229
CH07,1729.6028
CY00,303.1013
CZ01,759.9795
CZ02,807.2278
CZ03,939.2628
CZ04,887.4281
CZ05,920.18524
CZ06,821.28156
DE40,758.82794
EL53,686.87726
EL54,1039.5831
EL61,728.1967
EL62,1026.318
EL63,874.4219
ES70,8.886195
ITC1,1345.2395
ITC2,1502.1035
DE11,1064.9908
DE12,1106.3799
DE13,1274.2073
DE14,1281.7249
DE21,1397.0582
DE22,1128.7643
DE23,1029.0487
DE24,980.9841
DE25,982.9966
DE26,955.34973
DE27,1387.5707
DE30,746.26855
EL42,397.8558
LV00,925.75195
ME00,1515.1807
MK00,731.5206
MT00,401.60538
NL11,972.4489
NL12,1026.9319
EL64,611.9012
EL65,512.1046
ES11,1136.9906
ES12,1090.8048
ES13,967.5498
ES21,961.0348
ES22,796.0538
ES23,639.76483
ES24,552.3649
ES30,448.30228
IE05,1146.8031
IE06,984.39734
IS00,1630.0029
ITC3,1111.9414
FI19,818.54663
FI1B,869.7902
FI1C,848.6423
DEA1,960.30524
DEA2,1007.26715
DEA3,932.911
DEA4,945.1483
