nuts,December Total Precipitation (mm) ensemble median - RCP4.5 - (2011 - 2040)
DE50,75.04405
DE60,76.67956
DE71,88.78381
DE72,88.00441
DE73,83.97676
DE80,63.28185
DE91,75.83652
BG41,63.582363
BG42,71.29826
CH01,149.41101
AT32,105.9461
AT33,102.52654
AT34,123.68851
BE10,78.01957
BE23,78.22564
BE24,79.93235
BE25,79.43752
BE31,81.40386
BE32,85.814705
BE33,99.61396
BE34,108.32239
BE35,98.267654
BG31,52.656654
BG32,51.16711
BG33,50.265766
BG34,65.401146
DE92,76.24406
DE93,73.88422
DE94,80.48296
CZ07,59.709274
CZ08,60.874535
AL01,177.99895
AL02,130.35777
AL03,134.47206
AT11,45.781563
AT12,56.208035
AT13,46.488323
AT21,80.61283
AT22,75.4623
AT31,91.22204
DK05,76.88292
BE21,81.05136
BE22,84.59842
ES43,84.77146
ES51,50.802956
ES52,38.10627
ES53,43.068684
ES61,72.13352
ES62,26.948326
ES63,100.41407
ES64,27.208527
CH02,135.55167
CH03,111.30462
CH04,108.17559
CH05,105.37766
CH06,130.0378
CH07,102.43495
CY00,72.25123
CZ01,49.214878
CZ02,54.88882
CZ03,64.350075
CZ04,64.23918
CZ05,66.58627
CZ06,50.343185
DE40,58.23574
EL53,79.8178
EL54,162.37721
EL61,99.615974
EL62,169.11227
EL63,147.56519
ES70,2.107913
ITC1,90.34604
ITC2,114.27113
DE11,95.12623
DE12,104.90272
DE13,114.193115
DE14,97.15896
DE21,91.9348
DE22,83.32033
DE23,84.310905
DE24,89.46734
DE25,84.52762
DE26,89.27795
DE27,99.27704
DE30,57.02706
EL42,91.26781
LV00,60.124496
ME00,177.57391
MK00,74.66256
MT00,67.82782
NL11,79.396866
NL12,90.94931
EL64,97.49084
EL65,95.14982
ES11,163.38057
ES12,128.10464
ES13,96.45202
ES21,100.846725
ES22,77.622505
ES23,58.815723
ES24,48.079548
ES30,59.419655
IE05,117.13424
IE06,93.28367
IS00,149.9807
ITC3,116.64318
FI19,55.980286
FI1B,71.11658
FI1C,64.77175
DEA1,93.07157
DEA2,98.84322
DEA3,86.48655
DEA4,82.384674
DEA5,102.58059
DEB1,90.08685
DEB2,96.58811
DEB3,82.89554
