nuts,Spring Total Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
DE50,198.57764
DE60,196.93352
DE71,216.76898
DE72,217.01848
DE73,216.24315
DE80,177.42035
DE91,198.49518
BG41,273.22897
BG42,247.32932
CH01,418.5821
AT32,407.91745
AT33,412.9423
AT34,448.36926
BE10,203.22176
BE23,205.91098
BE24,207.1665
BE25,203.74786
BE31,209.19585
BE32,214.05382
BE33,239.43973
BE34,253.47084
BE35,238.89423
BG31,242.81003
BG32,220.22171
BG33,188.21492
BG34,202.41333
DE92,198.46057
DE93,189.4937
DE94,197.53174
CZ07,221.89697
CZ08,245.22997
AL01,360.56027
AL02,301.8708
AL03,258.10468
AT11,211.84554
AT12,249.6188
AT13,202.87784
AT21,354.18628
AT22,316.0772
AT31,342.21335
DK05,176.33748
BE21,210.40747
BE22,211.8916
ES43,142.4873
ES51,202.67108
ES52,122.622314
ES53,98.351974
ES61,118.33034
ES62,93.716194
ES63,121.08068
ES64,84.05259
CH02,410.96585
CH03,366.1537
CH04,361.091
CH05,393.88312
CH06,453.45892
CH07,468.3852
CY00,66.04449
CZ01,183.63739
CZ02,198.50404
CZ03,241.74146
CZ04,210.92068
CZ05,213.95056
CZ06,200.37038
DE40,174.32458
EL53,199.37361
EL54,252.72197
EL61,191.49255
EL62,170.4177
EL63,212.35625
ES70,2.2319705
ITC1,390.34308
ITC2,405.8422
DE11,258.47388
DE12,271.01944
DE13,311.22488
DE14,319.2513
DE21,348.99252
DE22,268.56018
DE23,239.67087
DE24,227.24054
DE25,234.82686
DE26,223.27353
DE27,345.23987
DE30,171.93286
EL42,78.279854
LV00,172.61298
ME00,378.86218
MK00,227.56862
MT00,49.318935
NL11,196.57854
NL12,192.31764
EL64,167.39288
EL65,131.49715
ES11,314.61423
ES12,341.0099
ES13,301.83807
ES21,292.5807
ES22,250.86923
ES23,222.45749
ES24,178.23952
ES30,149.56151
IE05,254.46225
IE06,224.02191
IS00,339.7797
ITC3,302.05417
FI19,143.90955
FI1B,139.68427
FI1C,139.76218
DEA1,213.69292
DEA2,231.31322
DEA3,207.08551
DEA4,212.6966
DEA5,243.50671
DEB1,224.99892
DEB2,235.8906
DEB3,216.04042
DEC0,245.29712
DED2,207.65529
DED4,229.65892
DED5,181.56902
DEE0,176.0872
DEF0,186.28714
DEG0,207.49394
DK01,159.18568
DK02,156.45215
DK03,181.53574
DK04,182.01141
ES41,189.52017
ES42,135.72867
HU23,185.48961
HU31,189.92943
HU32,183.70332
HU33,172.52094
IE04,280.39044
EE00,152.31932
EL30,87.74082
EL41,116.66743
EL43,80.03421
EL51,199.91814
EL52,193.88081
FI20,121.33569
FR10,198.8111
FRB0,209.46954
FRC1,266.8036
FRC2,358.3118
FRD1,214.10039
FRD2,213.89917
FRE1,210.80725
FRE2,213.1182
FRF1,287.40976
NL13,197.08786
NL21,206.68382
NL22,207.90025
NL23,209.87677
NL31,209.67485
NL32,192.81831
ITG2,155.04434
ITH1,336.44897
ITH2,380.76218
FRI3,218.0494
FRJ1,258.57205
FRJ2,294.36185
FRK1,284.42725
FRK2,334.13144
FRL0,248.85687
FRM0,187.69562
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,156.82361
TR32,150.46141
TR33,154.40182
HR03,310.9309
HR02,244.17699
HU11,165.41585
HU12,175.1638
HU21,177.0707
HU22,190.42221
PT16,208.13632
PT17,133.89201
FRF2,238.41417
FRF3,266.67484
FRG0,201.23718
FRH0,215.36905
FRI1,265.09317
FRI2,295.38452
ITC4,339.79346
ITF1,250.82005
ITF2,224.39244
ITF3,242.2919
ITF4,141.5328
ITF5,173.57832
ITF6,183.06401
ITG1,117.53395
LT01,191.5431
LT02,179.60156
LU00,242.1305
PL22,241.71043
PL41,171.39458
PL42,181.00555
PT18,131.49046
PT20,0.0
PT30,0.0
RO11,263.82993
RO12,282.32428
RO21,226.85806
RO22,169.09181
RO31,211.22105
RO32,195.64915
ITH3,335.15427
ITH4,418.49365
ITH5,267.00336
ITI1,240.88956
ITI2,245.87665
ITI3,226.60728
ITI4,244.59192
LI00,496.6898
FI1D,153.27103
TR82,249.90656
TR83,253.73587
TR90,369.11658
TRA1,249.23227
TRA2,8.796276
PL43,179.06693
PL51,207.9913
PL52,202.8546
PL61,171.18103
PL62,185.40388
PL63,175.91652
PL71,190.76315
PL72,208.6821
PL81,205.63855
PL82,242.4424
PL84,185.36763
PL91,189.01822
PL92,188.1808
PT11,273.5512
PT15,107.49118
TRB1,275.17798
TRB2,20.361694
TRC1,162.78746
RS12,197.89137
RS21,272.55917
RS22,246.34067
SE11,131.84232
SE12,155.45384
NL33,204.55022
NL34,198.75812
NL41,209.96524
NL42,206.62814
PL21,260.72473
UKM6,301.18097
TR22,161.83437
TRC2,169.9044
TRC3,34.802055
UKC1,203.37938
UKC2,205.80954
UKD1,277.71695
UKD3,247.45102
UKD4,267.16248
UKD6,221.92738
UKD7,234.72557
UKE1,186.97395
UKE2,219.81561
UKE3,208.52266
RO41,251.44781
RO42,255.1517
RS11,213.29689
TR41,169.42575
TR42,224.41675
TR51,157.46245
TR52,135.04305
TR61,167.78046
TR62,215.0327
TR63,214.32494
TR71,166.71606
TR72,232.53177
TR81,257.15817
UKK1,201.60635
UKK2,205.00273
UKK3,226.48798
UKK4,222.86371
UKL1,267.55698
UKL2,249.90883
UKM5,226.90706
UKM7,265.01355
UKM8,307.7516
UKM9,267.7174
UKN0,249.81747
SE21,158.71306
SE22,164.01587
SE23,189.62599
SE31,179.45007
SE32,189.76015
SE33,173.28448
SI03,296.3511
SI04,369.74414
SK01,188.47784
SK02,205.87682
SK03,258.9963
SK04,233.83969
TR10,146.31865
TR21,156.46776
UKE4,231.63583
UKF1,203.14838
UKF2,188.79645
UKF3,181.30026
UKG1,198.36028
UKG2,210.38805
UKG3,199.59671
UKH1,175.85793
UKH2,186.35793
UKH3,178.07137
UKI3,182.08362
UKI4,182.08362
UKI5,181.81947
UKI6,182.91786
UKI7,180.81679
UKJ1,189.26424
UKJ2,180.35309
UKJ3,189.11954
UKJ4,180.7116
NO09,294.05344
NO0A,400.0455
NO0B,154.51689
HR05,233.32619
HR06,229.13208
NO02,225.55298
NO06,297.58282
NO07,253.21074
NO08,236.37572
