nuts,August Total Precipitation (mm) ensemble median - RCP4.5 - (2011 - 2040)
DE50,83.10523
DE60,90.06799
DE71,69.42342
DE72,76.86266
DE73,80.110146
DE80,75.919945
DE91,75.36871
BG41,54.03575
BG42,39.899254
CH01,152.48575
AT32,175.87845
AT33,181.66232
AT34,183.98836
BE10,75.20652
BE23,74.17346
BE24,76.29226
BE25,72.15897
BE31,75.46285
BE32,71.64394
BE33,88.137634
BE34,81.01248
BE35,80.08795
BG31,57.940517
BG32,52.77229
BG33,42.701607
BG34,36.505978
DE92,78.180336
DE93,82.982864
DE94,86.23433
CZ07,84.05881
CZ08,91.375336
AL01,49.0803
AL02,37.51724
AL03,28.815268
AT11,78.90979
AT12,96.36075
AT13,76.06512
AT21,140.99007
AT22,135.22498
AT31,129.53598
DK05,80.130104
BE21,77.21379
BE22,77.20575
ES43,10.821062
ES51,63.321857
ES52,29.853167
ES53,15.894109
ES61,8.938186
ES62,13.795222
ES63,9.718587
ES64,7.745246
CH02,161.64362
CH03,143.26195
CH04,136.96211
CH05,155.56978
CH06,200.29097
CH07,159.54688
CY00,0.7588201
CZ01,84.91385
CZ02,85.345436
CZ03,96.10859
CZ04,87.21528
CZ05,90.011505
CZ06,81.06153
DE40,67.35848
EL53,29.138317
EL54,21.56373
EL61,26.576874
EL62,11.611813
EL63,15.781853
ES70,0.22099768
ITC1,109.78936
ITC2,120.58418
DE11,84.30122
DE12,85.20852
DE13,104.246605
DE14,117.639984
DE21,139.13348
DE22,105.44796
DE23,91.187836
DE24,82.8298
DE25,81.263794
DE26,71.00501
DE27,132.28331
DE30,64.41285
EL42,0.70107585
LV00,89.84253
ME00,62.015774
MK00,36.349174
MT00,3.9044824
NL11,94.27537
NL12,92.98877
EL64,18.32199
EL65,10.890953
ES11,37.131065
ES12,64.72307
ES13,64.049934
ES21,56.08825
ES22,53.281574
ES23,39.893314
ES24,47.08665
ES30,16.510998
IE05,85.05957
IE06,79.98462
IS00,105.498955
ITC3,59.045517
FI19,88.48191
FI1B,83.886314
FI1C,86.42858
DEA1,79.04985
DEA2,84.524124
DEA3,78.769196
DEA4,81.57487
DEA5,92.32833
DEB1,72.89763
DEB2,74.09578
DEB3,66.47441
DEC0,70.82366
DED2,88.448166
DED4,91.823166
DED5,67.36283
DEE0,68.21908
DEF0,88.56128
DEG0,78.111946
DK01,80.50569
DK02,80.3552
DK03,87.064896
DK04,83.83769
ES41,27.17901
ES42,17.192398
HU23,61.265987
HU31,65.25339
HU32,59.742302
HU33,53.383766
IE04,108.56793
EE00,92.428795
EL30,4.4147415
EL41,1.3674045
EL43,3.013304
EL51,24.967144
EL52,30.791468
FI20,68.742424
FR10,53.196262
FRB0,48.969738
FRC1,66.26773
FRC2,101.05985
FRD1,54.073833
FRD2,60.22151
FRE1,70.952095
FRE2,64.00484
FRF1,90.546394
NL13,82.331696
NL21,79.005516
NL22,78.29038
NL23,85.4844
NL31,82.0171
NL32,89.268425
ITG2,10.634072
ITH1,143.57182
ITH2,138.92659
FRI3,48.950397
FRJ1,59.903625
FRJ2,78.94502
FRK1,76.55288
FRK2,89.18431
FRL0,45.066113
FRM0,19.739094
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,3.5199764
TR32,5.494825
TR33,9.10771
HR03,60.066654
HR02,65.23536
HU11,56.315502
HU12,60.756683
HU21,62.788685
HU22,68.627464
PT16,14.605249
PT17,5.3042593
FRF2,68.76604
FRF3,76.81064
FRG0,43.0187
FRH0,45.673824
FRI1,64.40047
FRI2,72.36695
ITC4,106.903625
ITF1,44.438686
ITF2,34.96364
ITF3,24.443613
ITF4,18.97592
ITF5,22.356071
ITF6,23.514275
ITG1,12.906864
LT01,89.24923
LT02,86.228645
LU00,74.926605
PL22,93.75673
PL41,75.52496
PL42,79.01101
PT18,6.8165965
PT20,0.0
PT30,0.0
RO11,87.604324
RO12,101.849434
RO21,75.99867
RO22,47.5798
RO31,65.25855
RO32,50.483494
ITH3,109.73634
ITH4,125.54089
ITH5,67.01871
ITI1,41.83729
ITI2,41.584427
ITI3,49.405952
ITI4,34.95574
LI00,215.79626
FI1D,87.55224
TR82,32.28294
TR83,23.118965
TR90,95.22123
TRA1,23.884317
TRA2,1.818998
PL43,73.94386
PL51,85.909256
PL52,78.55277
PL61,71.28655
PL62,78.37542
PL63,83.38218
PL71,71.54024
PL72,80.2835
PL81,80.127304
PL82,91.03841
PL84,75.30682
PL91,72.82761
PL92,71.04922
PT11,24.338873
PT15,3.6561723
TRB1,5.03245
TRB2,0.3232008
TRC1,1.7226523
RS12,50.58833
RS21,61.886086
RS22,53.67197
SE11,77.18655
SE12,84.81434
NL33,80.98002
NL34,74.9694
NL41,78.99107
NL42,76.23283
PL21,104.042015
UKM6,116.431274
TR22,8.944822
TRC2,0.8201125
TRC3,0.15243901
UKC1,77.99002
UKC2,77.921135
UKD1,107.35563
UKD3,96.002495
UKD4,106.86216
UKD6,83.15765
UKD7,95.103065
UKE1,69.186554
UKE2,81.05734
UKE3,73.59251
RO41,71.60294
RO42,76.07729
RS11,51.471066
TR41,15.4812155
TR42,34.528748
TR51,10.441658
TR52,5.057649
TR61,9.029718
TR62,15.131477
TR63,6.3471627
TR71,6.065916
TR72,8.173998
TR81,48.571354
UKK1,64.15763
UKK2,67.13361
UKK3,72.75709
UKK4,72.3699
UKL1,92.76275
UKL2,78.496864
UKM5,85.24879
UKM7,96.96314
UKM8,116.23769
UKM9,101.558846
UKN0,93.768196
SE21,79.98041
SE22,81.302956
SE23,97.92683
SE31,94.43326
SE32,99.02462
SE33,95.97311
SI03,102.71865
SI04,115.99626
SK01,73.19459
SK02,77.13629
SK03,93.29758
SK04,91.85908
TR10,28.716799
TR21,16.301867
UKE4,83.58526
UKF1,73.154144
UKF2,62.31895
UKF3,66.74416
UKG1,61.47088
UKG2,72.17127
UKG3,67.04843
UKH1,64.76904
UKH2,62.2397
UKH3,61.544575
UKI3,62.408813
UKI4,62.408813
UKI5,63.486176
UKI6,64.38708
UKI7,63.565765
UKJ1,62.60045
UKJ2,61.63226
UKJ3,61.55706
UKJ4,62.845894
NO09,117.104935
NO0A,166.286
NO0B,40.34092
HR05,76.60144
HR06,76.38616
NO02,107.465126
NO06,124.35533
NO07,105.86326
NO08,105.47497
