nuts,Autumn Total Precipitation (mm) ensemble median - RCP4.5 - (2011 - 2040)
DE50,199.32883
DE60,221.47015
DE71,211.30467
DE72,212.18463
DE73,205.61751
DE80,177.29803
DE91,193.85007
BG41,178.42746
BG42,178.65303
CH01,392.45575
AT32,357.61032
AT33,348.27325
AT34,378.874
BE10,191.39632
BE23,199.92337
BE24,198.2188
BE25,217.01721
BE31,204.45084
BE32,204.32986
BE33,232.84155
BE34,243.18144
BE35,222.9454
BG31,166.40701
BG32,170.53
BG33,163.7625
BG34,176.39864
DE92,198.27335
DE93,204.63806
DE94,224.35106
CZ07,197.2924
CZ08,205.40262
AL01,460.58932
AL02,344.8133
AL03,359.23843
AT11,203.96902
AT12,207.20865
AT13,186.14388
AT21,360.4701
AT22,285.85526
AT31,277.61414
DK05,250.07715
BE21,198.91606
BE22,211.25726
ES43,182.1785
ES51,235.87805
ES52,157.02002
ES53,161.75543
ES61,155.42548
ES62,121.02156
ES63,197.55467
ES64,99.4465
CH02,365.8629
CH03,317.2529
CH04,302.05362
CH05,348.46472
CH06,418.10098
CH07,493.87625
CY00,86.0618
CZ01,156.21281
CZ02,166.77095
CZ03,188.16365
CZ04,183.55835
CZ05,197.94713
CZ06,174.53085
DE40,164.06752
EL53,199.87628
EL54,401.6246
EL61,228.52846
EL62,423.7927
EL63,320.1643
ES70,3.5607991
ITC1,396.22058
ITC2,379.27042
DE11,230.82544
DE12,247.50114
DE13,279.4617
DE14,258.99542
DE21,280.52957
DE22,221.34943
DE23,213.54315
DE24,215.25824
DE25,211.08737
DE26,213.34763
DE27,274.60562
DE30,158.83769
EL42,110.67287
LV00,205.63214
ME00,504.2637
MK00,199.76308
MT00,164.52954
NL11,242.15346
NL12,288.21042
EL64,190.84029
EL65,180.01077
ES11,351.4235
ES12,335.04138
ES13,289.36133
ES21,280.5847
ES22,244.76999
ES23,173.79494
ES24,175.18619
ES30,153.85567
IE05,302.71088
IE06,253.27617
IS00,442.438
ITC3,401.13647
FI19,191.76285
FI1B,219.16481
FI1C,207.95668
DEA1,228.4733
DEA2,240.25198
DEA3,217.33212
DEA4,215.65599
DEA5,253.36377
DEB1,216.94064
DEB2,226.21902
DEB3,209.82478
DEC0,244.28105
DED2,191.04178
DED4,208.9178
DED5,174.3896
DEE0,169.32954
DEF0,226.3431
DEG0,188.90352
DK01,214.03915
DK02,206.77414
DK03,239.24501
DK04,242.48921
ES41,184.93935
ES42,145.11673
HU23,190.17712
HU31,167.30573
HU32,167.96988
HU33,157.52457
IE04,351.91162
EE00,218.84917
EL30,111.02135
EL41,152.18567
EL43,113.84009
EL51,193.12628
EL52,194.46574
FI20,211.04164
FR10,188.09879
FRB0,196.16727
FRC1,253.99985
FRC2,340.53476
FRD1,229.48926
FRD2,214.32968
FRE1,216.95862
FRE2,197.273
FRF1,271.99005
NL13,211.14911
NL21,214.11119
NL22,208.24306
NL23,235.27875
NL31,215.78534
NL32,290.84683
ITG2,177.16135
ITH1,312.02917
ITH2,359.91083
FRI3,216.20854
FRJ1,309.88516
FRJ2,265.62466
FRK1,268.30505
FRK2,329.12408
FRL0,274.1195
FRM0,250.33015
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,182.02124
TR32,166.99402
TR33,121.13035
HR03,448.56314
HR02,247.56993
HU11,162.94026
HU12,165.06053
HU21,183.69778
HU22,200.28036
PT16,243.34143
PT17,169.04384
FRF2,237.49449
FRF3,260.79083
FRG0,198.79517
FRH0,229.47998
FRI1,258.0121
FRI2,273.95435
ITC4,349.97647
ITF1,283.62286
ITF2,264.58368
ITF3,372.95212
ITF4,208.72256
ITF5,210.70932
ITF6,275.1995
ITG1,198.51901
LT01,182.6811
LT02,194.7799
LU00,234.57755
PL22,205.4066
PL41,153.72592
PL42,177.73073
PT18,163.09888
PT20,0.0
PT30,0.0
RO11,208.06305
RO12,182.23569
RO21,158.17752
RO22,147.40875
RO31,170.69022
RO32,165.06828
ITH3,362.90326
ITH4,516.0527
ITH5,310.07565
ITI1,346.20786
ITI2,306.77887
ITI3,264.9348
ITI4,378.34262
LI00,412.92383
FI1D,188.65779
TR82,197.52702
TR83,177.23195
TR90,370.44156
TRA1,141.92276
TRA2,6.1382074
PL43,159.28256
PL51,186.95241
PL52,181.10417
PL61,154.26947
PL62,178.95154
PL63,188.13243
PL71,165.01884
PL72,170.65346
PL81,171.42886
PL82,210.14597
PL84,166.61386
PL91,164.64638
PL92,162.15134
PT11,306.04602
PT15,144.91705
TRB1,167.30351
TRB2,11.428027
TRC1,132.31937
RS12,166.03673
RS21,206.45392
RS22,176.54842
SE11,188.03783
SE12,185.10054
NL33,248.61751
NL34,226.51498
NL41,204.65324
NL42,208.44159
PL21,214.83018
UKM6,458.7211
TR22,186.05771
TRC2,122.71918
TRC3,23.92401
UKC1,217.74135
UKC2,221.47873
UKD1,367.401
UKD3,284.63507
UKD4,350.92752
UKD6,237.30885
UKD7,295.71002
UKE1,196.2629
UKE2,234.5726
UKE3,198.87697
RO41,187.2805
RO42,197.14352
RS11,177.00417
TR41,143.17647
TR42,214.10492
TR51,102.771454
TR52,97.73471
TR61,166.0378
TR62,174.9753
TR63,154.7433
TR71,106.07461
TR72,138.49551
TR81,248.58244
UKK1,209.08293
UKK2,245.55019
UKK3,284.23962
UKK4,269.65497
UKL1,354.21304
UKL2,274.66324
UKM5,280.01624
UKM7,321.63364
UKM8,411.3894
UKM9,355.80148
UKN0,303.37796
SE21,191.6303
SE22,201.68561
SE23,242.10176
SE31,213.9869
SE32,224.24214
SE33,221.64587
SI03,337.17056
SI04,451.25296
SK01,175.43477
SK02,189.5845
SK03,219.25842
SK04,196.29608
TR10,218.86966
TR21,189.8576
UKE4,231.62483
UKF1,195.16655
UKF2,178.54335
UKF3,183.30792
UKG1,198.01057
UKG2,210.97559
UKG3,196.23723
UKH1,186.41162
UKH2,169.47876
UKH3,172.42688
UKI3,168.54013
UKI4,168.54013
UKI5,166.65594
UKI6,175.78581
UKI7,170.383
UKJ1,185.61327
UKJ2,227.17627
UKJ3,226.13853
UKJ4,203.44463
NO09,420.63892
NO0A,599.1536
NO0B,189.8953
HR05,263.75317
HR06,260.0603
NO02,258.74213
NO06,364.206
NO07,322.41803
NO08,295.32306
