nuts,Winter Total Precipitation (mm) ensemble median - RCP4.5 - (2011 - 2040)
DE50,206.7353
DE60,212.25552
DE71,226.21686
DE72,227.81984
DE73,220.77766
DE80,172.05713
DE91,200.96634
BG41,183.58658
BG42,203.33812
CH01,408.62946
AT32,299.87213
AT33,296.45117
AT34,358.6569
BE10,210.20844
BE23,206.12898
BE24,215.82442
BE25,208.25455
BE31,220.66835
BE32,229.59312
BE33,269.79352
BE34,284.47714
BE35,261.44812
BG31,157.24619
BG32,153.59598
BG33,157.45535
BG34,184.86848
DE92,205.5252
DE93,202.95345
DE94,214.30412
CZ07,167.4175
CZ08,172.98782
AL01,472.1337
AL02,350.5821
AL03,354.71075
AT11,128.43588
AT12,162.13979
AT13,134.44106
AT21,210.84425
AT22,206.68758
AT31,266.0726
DK05,208.43077
BE21,216.41928
BE22,230.65018
ES43,205.87126
ES51,143.80984
ES52,107.14445
ES53,124.15891
ES61,180.78117
ES62,84.5323
ES63,248.38335
ES64,103.79772
CH02,375.8992
CH03,301.70987
CH04,301.51733
CH05,298.45242
CH06,370.89536
CH07,275.07333
CY00,198.98297
CZ01,134.20679
CZ02,149.23643
CZ03,177.40234
CZ04,177.96811
CZ05,184.14517
CZ06,139.87053
DE40,162.57558
EL53,219.35925
EL54,438.99274
EL61,286.92014
EL62,429.21603
EL63,399.2018
ES70,4.6006875
ITC1,251.66948
ITC2,335.15793
DE11,246.77573
DE12,272.1577
DE13,298.85718
DE14,262.71378
DE21,260.44656
DE22,231.3723
DE23,226.23572
DE24,233.77705
DE25,223.95888
DE26,233.29561
DE27,274.17694
DE30,159.74606
EL42,257.60233
LV00,165.76595
ME00,473.96097
MK00,201.1212
MT00,197.70909
NL11,213.67926
NL12,235.84872
EL64,276.66986
EL65,266.37952
ES11,425.33124
ES12,353.46802
ES13,289.5656
ES21,309.96527
ES22,235.46179
ES23,175.47221
ES24,139.6973
ES30,156.41756
IE05,317.2118
IE06,243.61383
IS00,437.65515
ITC3,293.74872
FI19,140.28651
FI1B,174.30392
FI1C,158.63638
DEA1,244.9029
DEA2,265.17532
DEA3,231.42297
DEA4,225.8251
DEA5,281.95535
DEB1,231.86182
DEB2,253.76305
DEB3,215.5586
DEC0,271.59232
DED2,189.96294
DED4,211.34612
DED5,174.07979
DEE0,164.90892
DEF0,206.85042
DEG0,195.32727
DK01,180.64651
DK02,174.99347
DK03,202.94743
DK04,201.56235
ES41,193.64087
ES42,144.82475
HU23,157.61362
HU31,133.36247
HU32,144.9856
HU33,140.81367
IE04,349.7025
EE00,163.66142
EL30,188.20663
EL41,304.88712
EL43,239.9305
EL51,232.90262
EL52,211.62152
FI20,157.54889
FR10,201.72697
FRB0,211.24008
FRC1,262.3171
FRC2,375.94244
FRD1,250.35951
FRD2,226.37428
FRE1,227.53075
FRE2,221.91858
FRF1,287.7936
NL13,205.96812
NL21,211.7056
NL22,215.22421
NL23,216.9697
NL31,209.0371
NL32,238.53267
ITG2,171.64711
ITH1,204.79826
ITH2,200.62923
FRI3,237.8382
FRJ1,224.74234
FRJ2,265.90677
FRK1,251.72917
FRK2,316.47882
FRL0,217.7625
FRM0,223.60172
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,327.0498
TR32,328.63147
TR33,204.57275
HR03,365.2358
HR02,206.11417
HU11,134.91954
HU12,136.447
HU21,144.46805
HU22,141.0606
PT16,288.8108
PT17,215.52753
FRF2,262.37247
FRF3,290.55682
FRG0,225.68869
FRH0,273.96848
FRI1,273.3343
FRI2,292.40094
ITC4,207.54688
ITF1,256.33972
ITF2,252.87335
ITF3,342.17737
ITF4,195.925
ITF5,217.15782
ITF6,309.2281
ITG1,215.4977
LT01,166.18022
LT02,168.21866
LU00,263.81494
PL22,175.66916
PL41,148.64479
PL42,172.08871
PT18,196.51859
PT20,0.0
PT30,0.0
RO11,191.98631
RO12,154.8559
RO21,123.92966
RO22,124.24472
RO31,137.34612
RO32,128.97585
ITH3,204.83868
ITH4,283.50586
ITH5,219.68585
ITI1,246.1024
ITI2,241.15872
ITI3,220.02313
ITI4,290.78766
LI00,381.6205
FI1D,132.68347
TR82,233.10861
TR83,210.12213
TR90,292.56918
TRA1,167.15573
TRA2,6.4058075
PL43,157.98349
PL51,172.38638
PL52,152.4982
PL61,143.16417
PL62,163.94397
PL63,166.70912
PL71,150.57928
PL72,147.39552
PL81,152.19469
PL82,176.8934
PL84,152.67358
PL91,152.30449
PL92,149.80914
PT11,358.37457
PT15,187.7452
TRB1,289.53125
TRB2,20.366602
TRC1,289.29422
RS12,155.40326
RS21,196.27435
RS22,175.7543
SE11,147.5118
SE12,142.75511
NL33,219.4235
NL34,209.27972
NL41,215.27888
NL42,225.79303
PL21,174.4845
UKM6,443.94366
TR22,275.66074
TRC2,251.33635
TRC3,51.983974
UKC1,223.20734
UKC2,225.72528
UKD1,364.8211
UKD3,278.1533
UKD4,338.02115
UKD6,226.4591
UKD7,266.2881
UKE1,180.46571
UKE2,236.9677
UKE3,190.98717
RO41,162.4191
RO42,192.82826
RS11,164.44669
TR41,210.18759
TR42,263.87607
TR51,160.64064
TR52,184.79648
TR61,336.05484
TR62,319.50153
TR63,308.04428
TR71,164.65288
TR72,185.67534
TR81,297.80212
UKK1,204.63197
UKK2,241.66132
UKK3,308.31088
UKK4,274.04123
UKL1,352.75446
UKL2,279.2506
UKM5,247.83974
UKM7,326.13904
UKM8,418.4814
UKM9,343.33798
UKN0,288.9635
SE21,160.9112
SE22,178.3978
SE23,198.33244
SE31,158.5976
SE32,175.58131
SE33,170.29677
SI03,219.80328
SI04,282.5376
SK01,134.69345
SK02,157.99966
SK03,181.54688
SK04,160.80011
TR10,255.73904
TR21,224.34134
UKE4,237.01518
UKF1,188.43048
UKF2,164.42842
UKF3,163.4256
UKG1,188.77602
UKG2,208.13483
UKG3,183.66516
UKH1,172.26332
UKH2,162.73537
UKH3,173.43425
UKI3,171.44415
UKI4,171.44415
UKI5,168.01508
UKI6,178.4621
UKI7,169.80281
UKJ1,175.2889
UKJ2,221.31274
UKJ3,219.85599
UKJ4,201.6255
NO09,363.25232
NO0A,596.5895
NO0B,191.53441
HR05,197.74072
HR06,186.7354
NO02,198.24908
NO06,343.53644
NO07,277.18494
NO08,223.51381
