nuts,April Total Precipitation (mm) ensemble median - RCP4.5 - (2011 - 2040)
DE50,59.55577
DE60,56.193382
DE71,62.331764
DE72,63.350094
DE73,64.80901
DE80,48.632587
DE91,59.68316
BG41,81.74927
BG42,70.62231
CH01,134.80289
AT32,117.68324
AT33,118.75029
AT34,127.76128
BE10,60.733368
BE23,61.977425
BE24,60.7822
BE25,60.309322
BE31,62.59796
BE32,64.6858
BE33,70.609436
BE34,73.580574
BE35,69.39261
BG31,73.145966
BG32,66.680405
BG33,58.60609
BG34,62.829514
DE92,60.562073
DE93,56.45454
DE94,59.017185
CZ07,64.81706
CZ08,71.79101
AL01,120.33672
AL02,108.172676
AL03,85.98753
AT11,56.440098
AT12,65.85331
AT13,54.546135
AT21,106.41972
AT22,90.83043
AT31,91.4096
DK05,49.542698
BE21,59.995903
BE22,60.743034
ES43,58.755096
ES51,76.669815
ES52,46.136497
ES53,32.81977
ES61,50.12225
ES62,34.864155
ES63,51.84969
ES64,35.041595
CH02,123.10997
CH03,109.98734
CH04,108.12176
CH05,119.18361
CH06,138.67566
CH07,161.738
CY00,18.04885
CZ01,52.70557
CZ02,55.421223
CZ03,60.536034
CZ04,55.918922
CZ05,59.837746
CZ06,54.052242
DE40,47.931934
EL53,66.521286
EL54,87.76399
EL61,57.095272
EL62,52.34994
EL63,68.750046
ES70,0.6974367
ITC1,138.98878
ITC2,140.09491
DE11,74.3443
DE12,77.3518
DE13,93.4943
DE14,94.65032
DE21,98.52413
DE22,72.573166
DE23,64.88475
DE24,63.267487
DE25,64.25963
DE26,63.814583
DE27,99.70477
DE30,46.653114
EL42,23.105545
LV00,50.050945
ME00,129.45905
MK00,75.348045
MT00,17.560686
NL11,58.454235
NL12,51.860577
EL64,46.4765
EL65,38.380276
ES11,120.63699
ES12,119.538315
ES13,104.647865
ES21,102.17726
ES22,90.17297
ES23,76.18947
ES24,68.17295
ES30,57.756012
IE05,72.73863
IE06,68.60991
IS00,102.09863
ITC3,116.048355
FI19,41.720615
FI1B,41.68822
FI1C,41.070282
DEA1,62.06463
DEA2,68.84881
DEA3,62.33923
DEA4,64.29771
DEA5,72.91487
DEB1,65.53319
DEB2,68.877106
DEB3,63.831722
DEC0,69.06566
DED2,57.41365
DED4,62.293613
DED5,50.05927
