nuts,February Total Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
DE50,56.140335
DE60,58.164906
DE71,60.49463
DE72,60.616596
DE73,59.380966
DE80,49.11083
DE91,53.409157
BG41,56.55822
BG42,56.37821
CH01,115.88158
AT32,90.196236
AT33,84.52906
AT34,98.86543
BE10,57.817993
BE23,53.144585
BE24,59.856342
BE25,51.123905
BE31,62.716133
BE32,61.89257
BE33,74.24809
BE34,77.94973
BE35,73.44448
BG31,44.30736
BG32,44.33126
BG33,44.605568
BG34,51.512226
DE92,54.257984
DE93,56.781715
DE94,57.37752
CZ07,52.342342
CZ08,56.352695
AL01,139.36208
AL02,107.02309
AL03,105.43541
AT11,43.724094
AT12,50.92751
AT13,43.007393
AT21,70.01758
AT22,67.873634
AT31,76.59887
DK05,54.66323
BE21,56.9685
BE22,64.35698
ES43,52.365086
ES51,47.08924
ES52,33.83966
ES53,38.07587
ES61,48.140022
ES62,27.672127
ES63,70.00951
ES64,34.905132
CH02,104.02806
CH03,83.99981
CH04,83.98078
CH05,84.18149
CH06,106.003075
CH07,93.99769
CY00,52.388435
CZ01,38.849796
CZ02,42.555424
CZ03,49.943237
CZ04,50.19617
CZ05,53.195087
CZ06,42.64422
DE40,47.92269
EL53,65.43622
EL54,126.83592
EL61,83.327614
EL62,119.19766
EL63,116.2122
ES70,1.163203
ITC1,83.309105
ITC2,103.44647
DE11,66.99991
DE12,72.83371
DE13,80.01741
DE14,73.68174
DE21,72.24934
DE22,62.938866
DE23,60.927414
DE24,62.602177
DE25,60.738136
DE26,61.608067
DE27,74.67197
DE30,46.877792
EL42,71.01398
LV00,47.28853
ME00,146.761
MK00,64.38908
MT00,46.170567
NL11,55.849026
NL12,57.459538
EL64,82.59749
EL65,76.63413
ES11,128.80066
ES12,116.28806
ES13,97.18016
ES21,97.86543
ES22,74.75462
ES23,60.101955
ES24,43.506454
ES30,48.96286
IE05,90.48912
IE06,68.537926
IS00,139.59137
ITC3,83.092155
FI19,35.92345
FI1B,45.63702
FI1C,41.850567
DEA1,66.189026
DEA2,71.81068
DEA3,61.554596
DEA4,60.796978
DEA5,75.68163
DEB1,63.50552
DEB2,67.54382
DEB3,59.22538
DEC0,72.38806
DED2,55.31278
DED4,59.409115
DED5,48.456036
DEE0,46.16474
DEF0,56.198032
DEG0,53.320744
DK01,48.421257
DK02,47.108513
DK03,56.410194
DK04,54.864437
ES41,57.493744
ES42,43.20913
HU23,54.970005
HU31,44.438766
HU32,49.540237
HU33,50.602726
IE04,98.66356
EE00,43.789776
EL30,55.378242
EL41,84.63052
EL43,67.56254
EL51,65.17923
EL52,62.34799
FI20,34.6459
FR10,53.534912
FRB0,57.71565
FRC1,74.02509
FRC2,102.100784
FRD1,60.956573
FRD2,55.52387
FRE1,57.55851
FRE2,58.510143
FRF1,77.445496
NL13,53.877296
NL21,55.179733
NL22,57.0953
NL23,54.5486
NL31,55.287685
NL32,56.173203
ITG2,50.28884
ITH1,63.1958
ITH2,73.81674
FRI3,62.686035
FRJ1,68.07281
FRJ2,76.22255
FRK1,72.1046
FRK2,86.99785
FRL0,63.00221
FRM0,66.89031
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,88.82625
TR32,88.951355
TR33,61.66662
HR03,113.00251
HR02,70.19648
HU11,43.107956
HU12,44.45983
HU21,48.364597
HU22,46.884712
PT16,83.17812
PT17,58.439598
FRF2,70.86479
FRF3,76.13187
FRG0,58.867302
FRH0,70.71504
FRI1,75.59618
FRI2,81.15621
ITC4,70.70214
ITF1,78.75014
ITF2,76.84307
ITF3,104.775665
ITF4,62.48435
ITF5,67.05785
ITF6,90.41012
ITG1,60.163616
LT01,49.643005
LT02,49.423355
LU00,70.91077
PL22,55.780266
PL41,45.45732
PL42,50.353954
PT18,52.664158
PT20,0.0
PT30,0.0
RO11,59.302723
RO12,49.780598
RO21,38.01135
RO22,34.25689
RO31,40.35972
RO32,36.209534
ITH3,75.19178
ITH4,91.75766
ITH5,77.36095
ITI1,76.618965
ITI2,78.72996
ITI3,70.031334
ITI4,90.20815
LI00,109.29327
FI1D,36.428024
TR82,69.55427
TR83,62.764744
TR90,92.29977
TRA1,52.17997
TRA2,2.0382102
PL43,47.53374
PL51,52.623486
PL52,47.85797
PL61,43.486088
PL62,47.986702
PL63,48.657207
PL71,46.919888
PL72,46.23313
PL81,47.908695
PL82,58.112682
PL84,47.483166
PL91,47.57605
PL92,45.94974
PT11,106.73779
PT15,46.027912
TRB1,88.85963
TRB2,6.573958
TRC1,75.73392
RS12,54.822384
RS21,65.80753
RS22,56.69976
SE11,36.21753
SE12,38.671246
NL33,54.20923
NL34,51.990078
NL41,56.42377
NL42,62.370346
PL21,58.99329
UKM6,128.93295
TR22,78.406006
TRC2,71.305786
TRC3,14.873911
UKC1,64.77862
UKC2,64.65602
UKD1,102.93235
